dtype,scheme,scale_margin,signal,block,records,mean_relative_l2,p95_relative_l2,max_relative_l2,mean_cosine,mean_saturation_ratio,mean_scale_count
fp8_e4m3,channel_bucket,1.0,ffn_hidden_post_gelu,0,40,0.20508402828127145,0.2802859842777252,0.28061383962631226,0.9786257088184357,0.04097324945032597,8960.0
fp8_e4m3,channel_bucket,1.0,ffn_hidden_post_gelu,12,40,0.13041964434087278,0.16891537606716156,0.17768071591854095,0.9911177679896355,0.016998639784287662,8960.0
fp8_e4m3,channel_bucket,1.0,ffn_hidden_post_gelu,24,40,0.13192690769210458,0.2005731165409088,0.22454886138439178,0.9902135685086251,0.023828822711948305,8960.0
fp8_e4m3,channel_bucket,1.0,ffn_hidden_post_gelu,29,40,0.08441955144517124,0.15694992244243622,0.19167999923229218,0.9955145075917244,0.020622209884459154,8960.0
fp8_e4m3,channel_bucket,1.0,ffn_input,0,40,0.10379012189805507,0.12656740844249725,0.13127478957176208,0.9948263347148896,0.04071757127530873,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_input,12,40,0.062397341895848515,0.08005120605230331,0.08525330573320389,0.9980446919798851,0.021649170480668545,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_input,24,40,0.08213672367855906,0.10738491266965866,0.11275769770145416,0.9965889111161232,0.028653972316533327,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_input,29,40,0.06378101566806435,0.1013874039053917,0.10760114341974258,0.9978233724832535,0.025888062140438706,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_output,0,40,0.126751041226089,0.15427105128765106,0.15902045369148254,0.9922493055462838,0.04488525514025241,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_output,12,40,0.06174823557958007,0.07753345370292664,0.08094653487205505,0.9980801835656166,0.019511922739911824,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_output,24,40,0.07211251072585582,0.09757161885499954,0.11250624060630798,0.9973053261637688,0.027842204691842197,1536.0
fp8_e4m3,channel_bucket,1.0,ffn_output,29,40,0.03469064836390316,0.04554405435919762,0.05941915139555931,0.9993703529238701,0.02738749253912829,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_hidden_post_gelu,0,40,0.19435917139053344,0.2666480541229248,0.2679901421070099,0.9807148098945617,0.03472830669488758,8960.0
fp8_e4m3,channel_bucket,1.05,ffn_hidden_post_gelu,12,40,0.12216680431738496,0.16033634543418884,0.16897545754909515,0.9921622931957245,0.014425920887151732,8960.0
fp8_e4m3,channel_bucket,1.05,ffn_hidden_post_gelu,24,40,0.12377911200746894,0.18968956172466278,0.21261043846607208,0.9913309171795845,0.01879568925360218,8960.0
fp8_e4m3,channel_bucket,1.05,ffn_hidden_post_gelu,29,40,0.07875144360587001,0.1481878161430359,0.18161864578723907,0.9960687205195426,0.015282854367978872,8960.0
fp8_e4m3,channel_bucket,1.05,ffn_input,0,40,0.09238094640895725,0.11391652375459671,0.11820585280656815,0.9958505883812905,0.03330892021767795,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_input,12,40,0.05409925268031657,0.07032690942287445,0.07468467205762863,0.9985121980309486,0.01670125378295779,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_input,24,40,0.07258307533338666,0.0953485518693924,0.10053494572639465,0.9973047032952309,0.02297973692184314,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_input,29,40,0.05682920627295971,0.09074796736240387,0.09577781707048416,0.9982659742236137,0.02022196491016075,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_output,0,40,0.11505551980808378,0.140253946185112,0.14522738754749298,0.9935329034924507,0.0371521006571129,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_output,12,40,0.053558862674981354,0.06741993129253387,0.06990339607000351,0.9985426098108292,0.014845784852514043,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_output,24,40,0.06380366585217416,0.08672722429037094,0.10057351738214493,0.9978671610355377,0.02222493562148884,1536.0
fp8_e4m3,channel_bucket,1.05,ffn_output,29,40,0.032088822685182095,0.04003394395112991,0.051629893481731415,0.9994703933596611,0.01881612204015255,1536.0
