run_id,step,block,branch,signal,dtype,scheme,scale_margin,relative_l2,cosine,saturation_ratio,scale_count
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_global,1.0,0.028274783864617348,0.9996013641357422,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_global,1.05,0.02726167067885399,0.9996283650398254,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_global,1.1,0.026226703077554703,0.9996570944786072,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_global,1.25,0.02647055685520172,0.999649703502655,0.0,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_bucket,1.0,0.028274783864617348,0.9996013641357422,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_bucket,1.05,0.02726167067885399,0.9996283650398254,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_bucket,1.1,0.026226703077554703,0.9996570944786072,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_bucket,1.25,0.02647055685520172,0.999649703502655,0.0,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_step,1.0,0.028274783864617348,0.9996013641357422,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_step,1.05,0.02726167067885399,0.9996283650398254,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_step,1.1,0.026226703077554703,0.9996570944786072,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_step,1.25,0.02647055685520172,0.999649703502655,0.0,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_branch_bucket,1.0,0.02886825241148472,0.9995834827423096,0.00016276042151730508,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_branch_bucket,1.05,0.027420541271567345,0.9996241331100464,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_branch_bucket,1.1,0.026430200785398483,0.9996532201766968,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_branch_bucket,1.25,0.026334671303629875,0.9996532201766968,0.0,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_global,1.0,0.11229969561100006,0.9942132234573364,0.0448811873793602,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_global,1.05,0.0992843508720398,0.9954144954681396,0.0377197265625,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_global,1.1,0.08792130649089813,0.9963436722755432,0.0302734375,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_global,1.25,0.06184534728527069,0.9981384873390198,0.016357421875,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_bucket,1.0,0.12112133949995041,0.9932911396026611,0.0543619804084301,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_bucket,1.05,0.10782777518033981,0.9946107864379883,0.0458577498793602,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_bucket,1.1,0.09624910354614258,0.9956280589103699,0.0379231795668602,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,channel_bucket,1.25,0.06951756775379181,0.997653067111969,0.0211588554084301,1536
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,tensor_dynamic,1.0,0.026762839406728745,0.9996418952941895,0.0,1
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,token_dynamic,1.0,0.026316538453102112,0.9996538162231445,0.0,16
p00_seed20260724,0,0,0,ffn_input,fp8_e4m3,token_group128_dynamic,1.0,0.025026751682162285,0.9996867775917053,0.0,192
p00_seed20260724,0,0,0,ffn_input,int8,tensor_global,1.0,0.020650675520300865,0.9997869729995728,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_global,1.05,0.01966952718794346,0.9998066425323486,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_global,1.1,0.01972043327987194,0.9998055696487427,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_global,1.25,0.02210908755660057,0.9997557401657104,0.0,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_bucket,1.0,0.020650675520300865,0.9997869729995728,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_bucket,1.05,0.01966952718794346,0.9998066425323486,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_bucket,1.1,0.01972043327987194,0.9998055696487427,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_bucket,1.25,0.02210908755660057,0.9997557401657104,0.0,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_step,1.0,0.020650675520300865,0.9997869729995728,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_step,1.05,0.01966952718794346,0.9998066425323486,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_step,1.1,0.01972043327987194,0.9998055696487427,8.138021075865254e-05,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_step,1.25,0.02210908755660057,0.9997557401657104,0.0,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_branch_bucket,1.0,0.021083630621433258,0.9997779130935669,0.00016276042151730508,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_branch_bucket,1.05,0.019865017384290695,0.9998026490211487,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_branch_bucket,1.1,0.01961502619087696,0.999807596206665,0.0001220703125,1
p00_seed20260724,0,0,0,ffn_input,int8,tensor_branch_bucket,1.25,0.021787015721201897,0.9997633695602417,0.0,1
p00_seed20260724,0,0,0,ffn_input,int8,channel_global,1.0,0.11002796143293381,0.9944624900817871,0.044921875,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_global,1.05,0.09659291058778763,0.9956770539283752,0.0377604179084301,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_global,1.1,0.08471887558698654,0.9966326951980591,0.0302734375,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_global,1.25,0.056894078850746155,0.9984402656555176,0.016357421875,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_bucket,1.0,0.11905273050069809,0.9935377240180969,0.0544840507209301,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_bucket,1.05,0.10542508214712143,0.9948628544807434,0.0458984375,1536
p00_seed20260724,0,0,0,ffn_input,int8,channel_bucket,1.1,0.09337261319160461,0.9959174990653992,0.0379231795668602,1536
