run_id,step,block,branch,signal,rows,features,mean,rms,abs_mean,abs_p99,abs_p999,abs_max,max_over_rms,channel_max_p50,channel_max_p99,channel_max_ratio_p99_p50,near_zero_1e3,exact_zero
p00_seed20260723,0,0,0,ffn_input,16,1536,-0.020097749307751656,0.3053766191005707,0.22387516498565674,0.91796875,1.63165283203125,2.390625,7.8284478187561035,0.55078125,1.4882831573486328,2.7021310329437256,0.0037434895057231188,0.00048828125
p00_seed20260723,0,0,0,ffn_hidden_post_gelu,16,8960,0.012844661250710487,0.18903155624866486,0.13710114359855652,0.6640625,1.1953125,2.59375,13.721254348754883,0.376953125,1.234375,3.274611473083496,0.00405970960855484,0.0
p00_seed20260723,0,0,0,ffn_output,16,1536,-0.04110220447182655,2.0427980422973633,1.4352270364761353,7.2578125,12.454833984375,22.375,10.95311450958252,3.125,13.790626525878906,4.413000583648682,0.0008138020639307797,0.0
p00_seed20260723,0,12,0,ffn_input,16,1536,-0.0058981627225875854,0.47388970851898193,0.34592869877815247,1.4375,2.557861328125,4.03125,8.506726264953613,0.826171875,2.4375,2.95035457611084,0.0030924479942768812,0.0003662109375
p00_seed20260723,0,12,0,ffn_hidden_post_gelu,16,8960,-0.03204594552516937,0.22301483154296875,0.15381479263305664,0.875,1.6612548828125,5.84375,26.203414916992188,0.169921875,1.74859619140625,10.290589332580566,0.005984933115541935,0.00037667411379516125
p00_seed20260723,0,12,0,ffn_output,16,1536,-0.022719090804457664,0.6187275052070618,0.4719652235507965,1.7734375,2.776611328125,7.84375,12.677228927612305,1.1171875,2.895313262939453,2.591609001159668,0.0013834635028615594,0.0
p00_seed20260723,0,24,0,ffn_input,16,1536,-0.013024047017097473,0.3303244709968567,0.24823148548603058,0.98046875,1.805694580078125,2.53125,7.662919998168945,0.5625,1.5988283157348633,2.8423614501953125,0.003173828125,0.0006510416860692203
p00_seed20260723,0,24,0,ffn_hidden_post_gelu,16,8960,-0.03143434599041939,0.16002196073532104,0.12498238682746887,0.53125,1.03125,2.359375,14.744070053100586,0.169921875,1.03125,6.068965435028076,0.00382254458963871,0.0
p00_seed20260723,0,24,0,ffn_output,16,1536,0.011170442216098309,0.38336774706840515,0.28285112977027893,1.197265625,2.4039306640625,3.71875,9.700216293334961,0.62109375,1.7550783157348633,2.8257863521575928,0.0026448566932231188,0.0
p00_seed20260723,0,29,0,ffn_input,16,1536,0.011672351509332657,0.36455869674682617,0.25283780694007874,1.109375,2.9212646484375,4.15625,11.40077018737793,0.490234375,1.59375,3.2509961128234863,0.0035400390625,0.00028483071946538985
p00_seed20260723,0,29,0,ffn_hidden_post_gelu,16,8960,0.017531245946884155,0.26802486181259155,0.17433109879493713,1.09375,2.150634765625,3.625,13.52486515045166,0.169921875,1.625,9.563218116760254,0.0030343192629516125,0.0
p00_seed20260723,0,29,0,ffn_output,16,1536,0.07959821075201035,1.914724349975586,0.9649574160575867,6.2890625,20.30322265625,41.5,21.67413902282715,1.18359375,7.298442840576172,6.166341304779053,0.0010579427471384406,0.0
p00_seed20260723,0,0,1,ffn_input,16,1536,-0.019978327676653862,0.3050677180290222,0.22359567880630493,0.91796875,1.63165283203125,2.421875,7.938811302185059,0.546875,1.4859390258789062,2.7171456813812256,0.0041910805739462376,0.0005289713735692203
p00_seed20260723,0,0,1,ffn_hidden_post_gelu,16,8960,0.010660172440111637,0.18606838583946228,0.13585661351680756,0.65234375,1.15625,2.53125,13.603869438171387,0.376953125,1.203125,3.1917097568511963,0.004220145288854837,0.0
p00_seed20260723,0,0,1,ffn_output,16,1536,-0.03710048273205757,2.028151035308838,1.4231939315795898,7.21875,12.276611328125,22.125,10.908950805664062,3.09375,13.790626525878906,4.457576274871826,0.0006917317514307797,0.0
