layer,calibration_threshold_ratio_mean,calibration_threshold_ratio_max,calibration_passing_steps,evaluation_threshold_ratio_mean,evaluation_threshold_ratio_max,evaluation_passing_steps
0,2.5086741661652923,2.7533876709640026,0,2.0025386940687895,2.1967172622680664,0
1,2.7976531418971717,3.254585899412632,0,2.248165151104331,2.5874940678477287,0
2,3.0243421788327396,3.3375872299075127,0,2.4443821981549263,2.708750031888485,0
3,2.4467831826768816,2.7285118121653795,0,1.93776348605752,2.202139236032963,0
4,2.2518778569065034,2.511192113161087,0,1.7726262100040913,1.9727380946278572,0
5,2.4161668843589723,2.4949777871370316,0,1.9638707861304283,2.0299749448895454,0
6,1.742532680509612,1.9338781712576747,0,1.4113018289208412,1.5609266236424446,0
7,1.6575646004639566,1.7754290020093322,0,1.3271115021780133,1.4187335968017578,0
8,1.789855130482465,1.819302560761571,0,1.446069241501391,1.4814099296927452,0
9,1.551453024148941,1.6534231835976243,0,1.273942505940795,1.3741751201450825,0
10,1.178045233245939,1.2246477417647839,0,0.9439225774258375,1.0161956772208214,3
11,1.4327153912745416,1.4784670202061534,0,1.150155789218843,1.2331798672676086,0
12,1.700912049273029,1.781927072443068,0,1.3649431057274342,1.407623291015625,0
13,1.2534419656731188,1.273459754884243,0,0.9853186318650842,1.0465925559401512,2
14,1.4379078638739884,1.4757192693650723,0,1.11737169791013,1.19262570515275,0
15,1.3520729844458401,1.3874332653358579,0,1.007528300397098,1.083756610751152,1
16,1.2887350749224424,1.337083405815065,0,0.9440022753551602,0.9715761058032513,4
17,1.885991165181622,1.9862689077854156,0,1.439359039068222,1.5754679217934608,0
18,2.1068170899525285,2.2239619866013527,0,1.685674348846078,1.873718947172165,0
19,2.4209311231970787,2.471905667334795,0,2.0228595472872257,2.0859483629465103,0
20,2.6069345185533166,2.786095719784498,0,2.124521601945162,2.22831591963768,0
21,2.5357937556691468,2.657662844285369,0,2.012583799660206,2.084118500351906,0
22,2.037872123764828,2.1339883096516132,0,1.6242928337305784,1.7072468996047974,0
23,2.3257150314748287,2.433489076793194,0,1.7872581258416176,1.879369094967842,0
24,2.2559950593858957,2.392544411122799,0,1.7435801681131124,1.8376005813479424,0
25,1.9406390783842653,2.0002429373562336,0,1.5084718819707632,1.6074635088443756,0
26,2.3923193803057075,2.491795225068927,0,1.8438270315527916,1.9416771829128265,0
27,3.0300315702334046,3.064183285459876,0,2.4737996514886618,2.5470715016126633,0
28,7.235812256112695,7.745353039354086,0,6.4728399738669395,6.988576054573059,0
29,11.04139571543783,14.01465479284525,0,10.625039413571358,13.68446946144104,0
