method,pairs,successful_pairs,paired_speedup_geomean,paired_speedup_min,candidate_seconds_mean,frame_ssim_mean,frame_ssim_min,frame_ssim_p05_mean,pixel_psnr_db_mean,cached_model_forward_fraction_mean,hybrid_residual_calls_mean,peak_allocated_mib_mean
fp8_middle1,2,2,1.0150232211472634,1.0068159587696346,5.959449832487735,0.9472127024642132,0.9291821401991099,0.9436645630705471,30.867466021160826,0.0,0.0,21533.6728515625
hybrid_middle1,2,2,1.0178983273031086,1.0158425145213472,5.942717379497481,0.9302858481551675,0.8941809249735344,0.9170566707232806,29.52146308279585,0.0,120.0,21532.7978515625
