block,method,rank,clip,sparse_ratio,validation_relative_l2,test_relative_l2,defect_energy_captured_test,subspace_overlap,estimated_stored_bits,estimated_extra_ops
0,ptq_only,0,0.65,0.0,0.0310834813863039,0.030287127941846848,0.0,0.0,55050240,0
0,ptq_weight_svd,16,0.65,0.0,0.0,0.029722457751631737,0.03694278102183135,0.0,57737216,214958080
0,ptq_activation_lr,16,0.65,0.0,0.0,0.026174888014793396,0.2531175202901682,0.2268468737602234,57737216,214958080
0,joint_shaped_ptq_lr_block_sparse,16,0.65,0.02,0.009139749221503735,0.025756960734725,0.25015196241010607,0.2261440008878708,62194752,571473920
0,joint_residual_shaped_ptq_lr,16,0.65,0.0,0.009237616322934628,0.026100434362888336,0.7105853560443862,0.5153321027755737,57737216,214958080
0,joint_residual_shaped_ptq_lr_block_sparse,16,0.65,0.02,0.008987591601908207,0.025552870705723763,0.710850017479951,0.5143305063247681,62194752,571473920
24,ptq_only,0,0.55,0.0,0.12133006006479263,0.11950286477804184,0.0,0.0,55050240,0
24,ptq_weight_svd,16,0.55,0.0,0.0,0.1164301186800003,0.05076783625840897,0.0,57737216,214958080
24,ptq_activation_lr,16,0.55,0.0,0.0,0.08182429522275925,0.5311823268930931,0.38690656423568726,57737216,214958080
24,joint_shaped_ptq_lr_block_sparse,16,0.55,0.02,0.054030001163482666,0.08075109869241714,0.5195022351684343,0.3693636357784271,62194752,571473920
24,joint_residual_shaped_ptq_lr,16,0.55,0.0,0.054614655673503876,0.08132262527942657,0.8906824657632775,0.6738475561141968,57737216,214958080
24,joint_residual_shaped_ptq_lr_block_sparse,16,0.55,0.02,0.05369363725185394,0.08014238625764847,0.890859356900631,0.6764071583747864,62194752,571473920
