split,head_role,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,diffuse,centroid,moment,0.125,16,59,0.16356188759546703,0.3837350551996974,0.8321850334329022,0.49614200829449345,0.19533536143705624,5.1194007712844884
calibration,diffuse,centroid,moment,0.125,4,59,0.14067012530547351,0.3374760920728343,0.6784905847334743,0.49614200829449345,0.35938308395935487,2.782546103681099
calibration,diffuse,centroid,moment,0.125,8,59,0.1555667282977061,0.3618764109385122,0.7833082260539141,0.49614200829449345,0.2500087953477781,3.9998592793862975
calibration,diffuse,centroid,moment,0.25,16,59,0.11745739356662185,0.3027535639250972,0.6929541593599617,0.6310186391159639,0.31252664473003466,3.199727181225829
calibration,diffuse,centroid,moment,0.25,4,59,0.10080791130019631,0.2443425686764056,0.5649232060916632,0.6310186391159639,0.45313735228989416,2.2068363928653825
calibration,diffuse,centroid,moment,0.25,8,59,0.11170502613756833,0.2836888731879664,0.651841298373417,0.6310186391159639,0.35938877506674066,2.7825020406224263
calibration,diffuse,centroid,moment,0.375,16,59,0.08401189626531871,0.25880805647668165,0.5636264836890144,0.7241991480528298,0.42971792802301234,2.327107934734452
calibration,diffuse,centroid,moment,0.375,4,59,0.07087451917933307,0.2090298628756839,0.45774150537016356,0.7241991480528298,0.5468916206204341,1.8285158563327895
calibration,diffuse,centroid,moment,0.375,8,59,0.07950586053590998,0.24224820747760212,0.5290257691331023,0.7241991480528298,0.46876875478570357,2.1332479816346708
calibration,diffuse,centroid,oracle_mass,0.125,16,59,0.15007993789669394,0.3905904295874745,0.7982378415845766,0.5035626772096602,0.19533950042424605,5.119292297912918
calibration,diffuse,centroid,oracle_mass,0.125,4,59,0.12484949547873747,0.3170325788941618,0.6479254036387476,0.5035626772096602,0.3593861881997472,2.7825220691124586
calibration,diffuse,centroid,oracle_mass,0.125,8,59,0.1410950659527845,0.36070514261645015,0.7500571569919331,0.5035626772096602,0.25001241696156923,3.999801338481982
calibration,diffuse,centroid,oracle_mass,0.25,16,59,0.10821393283636557,0.30280533860287984,0.6565037011106977,0.6392618852146601,0.3125473396659838,3.1995153152437323
calibration,diffuse,centroid,oracle_mass,0.25,4,59,0.09005453988403173,0.24465225068714946,0.5336956734890144,0.6392618852146601,0.45315287349185607,2.206760805231817
calibration,diffuse,centroid,oracle_mass,0.25,8,59,0.10187215859430761,0.28367829298208747,0.6154715104509241,0.6392618852146601,0.35940688313569624,2.7823618492649844
calibration,diffuse,centroid,oracle_mass,0.375,16,59,0.08022423162850499,0.2531302000615391,0.5321250001086064,0.7316507065700273,0.42973034498458185,2.327040693474599
calibration,diffuse,centroid,oracle_mass,0.375,4,59,0.06644053971518163,0.20502240916216546,0.43061152410578807,0.7316507065700273,0.5469009333416112,1.8284847200569123
calibration,diffuse,centroid,oracle_mass,0.375,8,59,0.07543569176809586,0.23723355053533163,0.4985668236566446,0.7316507065700273,0.4687796196270768,2.1331985396368536
calibration,localized,centroid,moment,0.125,16,30,0.014117024697184346,0.05352867158586952,0.07511629669065276,0.9829785843690236,0.19536019536019547,5.118749999999997
calibration,localized,centroid,moment,0.125,4,30,0.011677240022279928,0.0508412660285483,0.06521203104858445,0.9829785843690236,0.3594017094017092,2.7824019024970292
calibration,localized,centroid,moment,0.125,8,30,0.012987775919726347,0.05232669761505253,0.07000550622016881,0.9829785843690236,0.2500305250305248,3.999511659138082
calibration,localized,centroid,moment,0.25,16,30,0.009907475424478444,0.04644533393631385,0.05072498238156479,0.9898627460002899,0.31255189255189253,3.199468708492851
calibration,localized,centroid,moment,0.25,4,30,0.008961515423320542,0.041914080181699925,0.05128625098913784,0.9898627460002899,0.45315628815628795,2.206744176647313
calibration,localized,centroid,moment,0.25,8,30,0.009447841278641126,0.04406971712407128,0.05091197567267314,0.9898627460002899,0.35941086691086677,2.782331009062111
calibration,localized,centroid,moment,0.375,16,30,0.007468070827038645,0.034374793058263804,0.05149461790433803,0.993078867594401,0.4297110297110299,2.327145292669065
calibration,localized,centroid,moment,0.375,4,30,0.007075511387989031,0.032617716264089026,0.051843326647084714,0.993078867594401,0.546886446886447,1.8285331547220356
calibration,localized,centroid,moment,0.375,8,30,0.007282982030556414,0.033536513793666026,0.051644162035478856,0.993078867594401,0.4687627187627189,2.133275450401562
calibration,localized,centroid,oracle_mass,0.125,16,30,0.011069081432940182,0.03962008839442656,0.067716087519405,0.9876503725846608,0.19536019536019547,5.118749999999997
