split,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,centroid,moment,0.125,16,108,0.09182980441107143,0.3600112698070169,0.8321850334329022,0.7037835252229814,0.19534436756658943,5.119164747143875
calibration,centroid,moment,0.125,4,108,0.078729041912943,0.3072058361000957,0.6784905847334743,0.7037835252229814,0.35938983855650486,2.7824938067712663
calibration,centroid,moment,0.125,8,108,0.08709886546987702,0.34627228143155764,0.7833082260539141,0.7037835252229814,0.2500166757111198,3.9997332064179743
calibration,centroid,moment,0.25,16,108,0.06552455078872994,0.24475371115749534,0.6929541593599617,0.7876908792941658,0.3125401347623566,3.199589072809357
calibration,centroid,moment,0.25,4,108,0.0562462751840112,0.21366111769386267,0.5649232060916632,0.7876908792941658,0.453147469814136,2.2067871203389093
calibration,centroid,moment,0.25,8,108,0.06226244493681502,0.2322202995418845,0.651841298373417,0.7876908792941658,0.35940057884502274,2.7824106550234866
calibration,centroid,moment,0.375,16,108,0.046958349605958086,0.18823845282821453,0.5636264836890144,0.8424776971892074,0.4297223352778902,2.327084067793046
calibration,centroid,moment,0.375,4,108,0.03972608558863637,0.1583517099935253,0.45774150537016356,0.8424776971892074,0.5468949260615924,1.828504804755453
calibration,centroid,moment,0.375,8,108,0.044449308550309624,0.17823913287044102,0.5290257691331023,0.8424776971892074,0.4687726111337217,2.1332304325150533
calibration,centroid,oracle_mass,0.125,16,108,0.08382206068075886,0.3482998066585975,0.7982378415845766,0.7106274313948773,0.19534888979333387,5.119046241101925
calibration,centroid,oracle_mass,0.125,4,108,0.06942703400571437,0.2830830750212926,0.6479254036387476,0.7106274313948773,0.3593932302265632,2.782467547787684
calibration,centroid,oracle_mass,0.125,8,108,0.07855958407223636,0.3268681004209534,0.7500571569919331,0.7106274313948773,0.2500206326595212,3.9996699046906374
calibration,centroid,oracle_mass,0.25,16,108,0.06006531738735811,0.25446702475226574,0.6565037011106977,0.7945911823599426,0.3125582236693344,3.199403900688701
calibration,centroid,oracle_mass,0.25,4,108,0.04988014051402488,0.20509535287912894,0.5336956734890144,0.7945911823599426,0.4531610364943694,2.2067210538133395
calibration,centroid,oracle_mass,0.25,8,108,0.05645775050856627,0.23841074464037426,0.6154715104509241,0.7945911823599426,0.3594164066386283,2.7822881246638254
calibration,centroid,oracle_mass,0.375,16,108,0.044429359186530286,0.19691113402765403,0.5321250001086064,0.8485917076468468,0.4297359019581235,2.3270106021941053
calibration,centroid,oracle_mass,0.375,4,108,0.036764266715040184,0.16647176105920045,0.43061152410578807,0.8485917076468468,0.5469051010717674,1.8284707859559266
calibration,centroid,oracle_mass,0.375,8,108,0.041742993726008135,0.1860549006505615,0.4985668236566446,0.8485917076468468,0.46878448197892586,2.1331764135591733
test,centroid,moment,0.125,16,216,0.09634360303644117,0.3446067037337832,0.8174831004391345,0.6740995165374544,0.1953387147831587,5.119312887412403
test,centroid,moment,0.125,4,216,0.08155279519982009,0.2886949183823178,0.6578354963677383,0.6740995165374544,0.359385598968932,2.7825266311977277
test,centroid,moment,0.125,8,216,0.0907017130101864,0.32426925573414844,0.7615476089275435,0.6740995165374544,0.25001172952561806,3.9998123363949314
test,centroid,moment,0.25,16,216,0.0672646756649524,0.26156606283715134,0.6766251086590703,0.7705059631003274,0.3125344819789259,3.199646943492877
test,centroid,moment,0.25,4,216,0.057018728451842554,0.21408354080003486,0.5448787232479847,0.7705059631003274,0.4531432302265631,2.206807766939426
test,centroid,moment,0.25,8,216,0.06339741428043653,0.24469831036986756,0.6297625353337333,0.7705059631003274,0.35939563265952107,2.7824489479741823
test,centroid,moment,0.375,16,216,0.05055055251710923,0.22585698408472354,0.5580335600209523,0.8319033004895404,0.42973137973137904,2.3270350902116816
test,centroid,moment,0.375,4,216,0.04302826874511912,0.18303702633689728,0.44891388419311873,0.8319033004895404,0.5469017094017091,1.8284821254151211
test,centroid,moment,0.375,8,216,0.047752442319265155,0.21322272021510988,0.5201346020025643,0.8319033004895404,0.4687805250305245,2.1331944195738193
test,centroid,oracle_mass,0.125,16,216,0.08895471037741313,0.341790930652194,0.7840946146489629,0.6852618191667177,0.19534662867996153,5.119105493437057
test,centroid,oracle_mass,0.125,4,216,0.07300575487528936,0.2780124811526608,0.6299808697096807,0.6852618191667177,0.35939153439153415,2.7824806772175212
test,centroid,oracle_mass,0.125,8,216,0.08279484955948925,0.3195435386501714,0.7295926008095615,0.6852618191667177,0.2500186541853205,3.999701555303843
test,centroid,oracle_mass,0.25,16,216,0.0624899424052159,0.2596451944097276,0.6536914112250144,0.7795472556242237,0.31255483199927586,3.1994386188287014
test,centroid,oracle_mass,0.25,4,216,0.051344373488319404,0.20972890352029316,0.526079033573831,0.7795472556242237,0.4531584927418255,2.2067334409855635
test,centroid,oracle_mass,0.25,8,216,0.058249739696112725,0.24170962360293974,0.6084530801399496,0.7795472556242237,0.3594134389273272,2.7823110982842194
test,centroid,oracle_mass,0.375,16,216,0.046251390500314016,0.2190495775714858,0.529323301929145,0.8390618376433849,0.4297505991950427,2.326931019696261
test,centroid,oracle_mass,0.375,4,216,0.03800182965459515,0.17917254154053655,0.4244039504020376,0.8390618376433849,0.5469161239994568,1.8284339336848539
test,centroid,oracle_mass,0.375,8,216,0.04315218841894231,0.2038359652920947,0.49295118076880806,0.8390618376433849,0.46879734206123014,2.1331178961108295
