retention_rate,method,samples,top_k,block_spearman_mean,block_spearman_median,marginal_spearman_mean,topk_recall_mean,topk_recall_median
0.125,energy,48,8,-0.011039887019307517,0.025508554589150828,-0.025971281549924043,0.052083333333333336,0.0
0.125,logic,48,8,0.029442754437756086,0.00626571218325379,0.2716847025461576,0.0234375,0.0
0.125,mlp,48,8,0.009089757619974059,-0.013431992446784159,0.21735622243616848,0.015625,0.0
0.125,risk,48,8,-0.008270211051346607,0.027336776150148772,-0.024693849875678242,0.049479166666666664,0.0
0.25,energy,48,16,-0.01661139741645685,-0.0017581254291599909,-0.018269430996646435,0.08463541666666667,0.0625
0.25,logic,48,16,0.036893943880577186,0.004632518855147184,0.27179622383645813,0.07291666666666667,0.0625
0.25,mlp,48,16,0.0149774154554818,-0.0097308451590753,0.21828906314829502,0.057291666666666664,0.0625
0.25,risk,48,16,-0.013554377551117722,-0.0012735322728313118,-0.017106421594159243,0.08463541666666667,0.0625
