dataset,scope,method,retention_rate,samples,feature_nmse_mean,feature_nmse_median,feature_cosine_mean,boundary_mse_mean,fisher_weighted_nmse_mean,oracle_first_order_abs_mean,oracle_samples,stream_bits_mean,shared_bits_mean,effective_bits_mean,stream_bits_per_original_vector_mean,effective_bits_per_original_vector_mean,stream_bits_per_original_value_mean,effective_bits_per_original_value_mean,effective_compression_ratio_mean,break_even_samples_max,residual_budget_bits_mean,residual_spent_bits_mean,budget_error_bits_mean,budget_absolute_relative_error_mean,mode_drop,mode_rvq1,mode_rvq2,mode_exact,mode_drop_fraction,mode_rvq1_fraction,mode_rvq2_fraction,mode_exact_fraction,mean_rvq_depth_all_blocks,mean_rvq_depth_given_vq
all,ablation,base_vq_residual_rvq_unweighted,0.125,360,0.7540758315059873,0.7388230860233307,0.49982087016105653,2.1466810574962034,0.6641620544923676,0.22117888082478507,48,1401.0,75825664.0,212027.84444444443,1.3681640625,207.05844184027777,0.0006680488586425781,0.10110275480482313,158.254837179142,3,249,249,0,0.0,89280,0,2880,0,0.96875,0.0,0.03125,0.0,0.0625,2.0
all,ablation,base_vq_residual_rvq_unweighted,0.25,360,0.7146752028001679,0.697432816028595,0.5366379004385736,1.9639684224294292,0.6237662335236868,0.19816121621018587,48,2793.0,75825664.0,213419.84444444443,2.7275390625,208.41781684027777,0.0013318061828613281,0.10176651212904188,157.22264294281496,3,489,489,0,0.0,86400,0,5760,0,0.9375,0.0,0.0625,0.0,0.125,2.0
all,baseline,tile_energy_exception,0.125,360,0.48533033149109944,0.4863322675228119,0.7169919302066167,1.3159137370685736,0.4326212618086073,0.3212108590135661,48,4194377.0,0.0,4194377.0,4096.0712890625,4096.0712890625,2.000034809112549,2.000034809112549,7.999860765973112,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,baseline,tile_energy_exception,0.25,360,0.35789829707807963,0.3584234416484833,0.8012116794784864,0.8834072729365693,0.3193178061809805,0.36851750446658116,48,8388745.0,0.0,8388745.0,8192.1337890625,8192.1337890625,4.000065326690674,4.000065326690674,3.999934674376203,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,baseline,tile_lowpass,0.125,360,0.5067230010198223,0.5120329260826111,0.7016195625066757,1.3221445223523511,0.45233178900347815,0.30496743419401656,48,4194304.0,0.0,4194304.0,4096.0,4096.0,2.0,2.0,8.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,baseline,tile_lowpass,0.25,360,0.38340477057629163,0.3839198648929596,0.7848506541715727,0.8674855327026711,0.3433791990081469,0.3251988582681709,48,8388608.0,0.0,8388608.0,8192.0,8192.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,baseline,tile_risk_exception,0.125,360,0.4853679748872916,0.4863322675228119,0.7169647061162525,1.3150763568778834,0.4326743673947122,0.32307876482567127,48,4194377.0,0.0,4194377.0,4096.0712890625,4096.0712890625,2.000034809112549,2.000034809112549,7.999860765973112,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,baseline,tile_risk_exception,0.25,360,0.357949591262473,0.3585067242383957,0.8011785445941819,0.8851905188626713,0.319388998258445,0.36854021942417603,48,8388745.0,0.0,8388745.0,8192.1337890625,8192.1337890625,4.000065326690674,4.000065326690674,3.999934674376203,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,main,base_scalar_quant,0.125,360,0.6190830445951886,0.6159234642982483,0.6280941257874171,1.6690915345317787,0.5347516267663903,0.37023549712466775,48,1052672.0,0.0,1052672.0,1028.0,1028.0,0.501953125,0.501953125,31.875486381322958,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,main,base_scalar_quant,0.25,360,0.5076364098323716,0.5067736804485321,0.7117508694529533,1.2485318349053462,0.4344606826702754,0.3950766494817799,48,2105344.0,0.0,2105344.0,2056.0,2056.0,1.00390625,1.00390625,15.937743190661479,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,main,base_vq,0.125,360,0.7640941154625681,0.750801146030426,0.4906147392259704,2.1479499518043466,0.6745618532101313,0.20160219913426167,48,1536.0,8454400.0,25020.444444444445,1.5,24.43402777777778,0.000732421875,0.011930677625868056,1341.0805741082847,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,main,base_vq,0.25,360,0.7288051697942945,0.7153708636760712,0.5247664401100741,1.9756901623474228,0.638283780713876,0.18069833954117107,48,3072.0,8454400.0,26556.444444444445,3.0,25.93402777777778,0.00146484375,0.012663099500868056,1263.513723390012,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
all,main,base_vq_logic_router,0.125,360,0.7684768161839909,0.7563183903694153,0.48577122820748225,2.1986805815663604,0.6789199743005965,0.20809537755849306,48,1400.588888888889,75843975.0,212078.29722222223,1.3677625868055556,207.1077121310764,0.0006678528255886502,0.10112681256400215,158.21718884014106,3,249,248.5888888888889,-0.4111111111111111,0.001651048639000446,89206,296,2658,0,0.9679470486111111,0.0032118055555555554,0.028841145833333335,0.0,0.06089409722222222,1.899796885578876
all,main,base_vq_logic_router,0.25,360,0.7305352338486247,0.717379093170166,0.5225017918480768,2.0227816777096854,0.6398439009984335,0.17912030895240605,48,2793.0,75844029.0,213470.85833333334,2.7275390625,208.46763509114584,0.0013318061828613281,0.10179083744684855,157.18507088965265,3,489,489,0,0.0,86400,0,5760,0,0.9375,0.0,0.0625,0.0,0.125,2.0
all,main,base_vq_mlp_router,0.125,360,0.7694543538822068,0.7571263611316681,0.48484386917617583,2.1953915525641707,0.6800462052226066,0.20095628654720107,48,1401.0,75885984.0,212195.4,1.3681640625,207.2220703125,0.0006680488586425781,0.10118265151977539,158.12987463441715,3,249,249,0,0.0,89280,0,2880,0,0.96875,0.0,0.03125,0.0,0.0625,2.0
all,main,base_vq_mlp_router,0.25,360,0.7321074315243297,0.7181779444217682,0.5210614596803983,2.0237494871020316,0.64162491377857,0.17592508144055805,48,2793.0,75885984.0,213587.4,2.7275390625,208.5814453125,0.0013318061828613281,0.10184640884399414,157.09930454699108,3,489,489,0,0.0,86400,0,5760,0,0.9375,0.0,0.0625,0.0,0.125,2.0
all,main,base_vq_residual_rvq,0.125,360,0.7550499573349952,0.738991916179657,0.49886257126927375,2.15078019094136,0.6641798845595783,0.21710788180644158,48,1401.0,75825664.0,212027.84444444443,1.3681640625,207.05844184027777,0.0006680488586425781,0.10110275480482313,158.254837179142,3,249,249,0,0.0,89280,0,2880,0,0.96875,0.0,0.03125,0.0,0.0625,2.0
all,main,base_vq_residual_rvq,0.25,360,0.7161371231079101,0.6986231505870819,0.535321246749825,1.9697909815443886,0.6237971011135314,0.16409902025285797,48,2793.0,75825664.0,213419.84444444443,2.7275390625,208.41781684027777,0.0013318061828613281,0.10176651212904188,157.22264294281496,3,489,489,0,0.0,86400,0,5760,0,0.9375,0.0,0.0625,0.0,0.125,2.0
all,main,logic_router_fixed_slots,0.125,360,0.7687975868582726,0.75641730427742,0.4852739430136151,2.155153561797407,0.6796294859713978,0.2019221460504923,48,1336.0,75844039.0,212013.88611111112,1.3046875,207.04481065538195,0.000637054443359375,0.10109609895282322,158.2652561842811,3,249,184,-65,0.26104417670682734,89280,0,2880,0,0.96875,0.0,0.03125,0.0,0.0625,2.0
all,main,logic_router_fixed_slots,0.25,360,0.7297823616200023,0.7163921296596527,0.5229052573442459,1.9706040573616823,0.6400432045261065,0.1581311154489716,48,2672.0,75844157.0,213350.2138888889,2.609375,208.34981825086805,0.00127410888671875,0.10173330969280667,157.2739552887202,3,489,368,-121,0.2474437627811861,86400,0,5760,0,0.9375,0.0,0.0625,0.0,0.125,2.0
all,main,logic_router_fixed_slots_exact_fallback,0.125,360,0.7601711147361332,0.7476739883422852,0.49402632589141526,2.123846019307772,0.6723466952641804,0.19945310586869405,48,525544.0,75844039.0,736221.8861111111,513.2265625,718.966685655382,0.2505989074707031,0.351057951980167,45.57652065634998,3,524457,524392,-65,0.00012393771081327927,89280,0,1440,1440,0.96875,0.0,0.015625,0.015625,0.03125,2.0
all,main,logic_router_fixed_slots_exact_fallback,0.25,360,0.7210816077060169,0.7076300084590912,0.5311712365183565,1.9494466510911783,0.6327098064952427,0.14997440054624653,48,526880.0,75844157.0,737558.213888889,514.53125,720.2716932508681,0.2512359619140625,0.35169516272015044,45.49394389234594,3,524697,524576,-121,0.00023060928497780625,86400,0,4320,1440,0.9375,0.0,0.046875,0.015625,0.09375,2.0
all,reference,none,,360,0.0,0.0,1.0000000034769376,0.0,0.0,0.0,48,33554432.0,0.0,33554432.0,32768.0,32768.0,16.0,16.0,1.0,,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chartqa,ablation,base_vq_residual_rvq_unweighted,0.125,120,0.7392686247825623,0.7311072945594788,0.5111782004435858,0.5546752599378427,0.6777788127462069,0.11617729713907465,16,1401.0,75825664.0,212027.84444444443,1.3681640625,207.05844184027777,0.0006680488586425781,0.10110275480482313,158.254837179142,3,249,249,0,0.0,29760,0,960,0,0.96875,0.0,0.03125,0.0,0.0625,2.0
chartqa,ablation,base_vq_residual_rvq_unweighted,0.25,120,0.6963466326395671,0.6885825395584106,0.5510425416131814,0.5100051544606685,0.6328623786568641,0.08988683670759201,16,2793.0,75825664.0,213419.84444444443,2.7275390625,208.41781684027777,0.0013318061828613281,0.10176651212904188,157.22264294281496,3,489,489,0,0.0,28800,0,1920,0,0.9375,0.0,0.0625,0.0,0.125,2.0
chartqa,baseline,tile_energy_exception,0.125,120,0.5029038866360982,0.5013084411621094,0.7049616749087969,0.35802925104896227,0.46679505134622257,0.0721584553248249,16,4194377.0,0.0,4194377.0,4096.0712890625,4096.0712890625,2.000034809112549,2.000034809112549,7.999860765973112,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chartqa,baseline,tile_energy_exception,0.25,120,0.36699173698822657,0.36594513058662415,0.7956988294919332,0.2370657365769148,0.34065844540794693,0.08839665086998139,16,8388745.0,0.0,8388745.0,8192.1337890625,8192.1337890625,4.000065326690674,4.000065326690674,3.999934674376203,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chartqa,baseline,tile_lowpass,0.125,120,0.5325215520958105,0.5309257507324219,0.6834904655814171,0.3677711270749569,0.495361931870381,0.06348480095039122,16,4194304.0,0.0,4194304.0,4096.0,4096.0,2.0,2.0,8.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chartqa,baseline,tile_lowpass,0.25,120,0.40173574114839233,0.3995032012462616,0.7733514964580536,0.2431335274130106,0.3745430834591389,0.1002512400445994,16,8388608.0,0.0,8388608.0,8192.0,8192.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chartqa,baseline,tile_risk_exception,0.125,120,0.5029427111148834,0.5013084411621094,0.7049335787693659,0.35713229353229203,0.46686175366242727,0.072303464228753,16,4194377.0,0.0,4194377.0,4096.0712890625,4096.0712890625,2.000034809112549,2.000034809112549,7.999860765973112,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
