dataset,scope,method,retention_rate,samples,answer_score_mean,prediction_agreement_mean,teacher_nll_mean,teacher_nll_token_weighted,supervised_tokens
all,ablation,base_vq_residual_rvq_unweighted,0.125,360,0.6277777777777778,0.7777777777777778,0.9504999504088321,1.0347816472507856,1609
all,ablation,base_vq_residual_rvq_unweighted,0.25,360,0.6305555555555555,0.7777777777777778,0.9479528167692479,1.0309370127549966,1609
all,baseline,tile_energy_exception,0.125,360,0.6416666666666667,0.8111111111111111,0.8801070602093306,0.9677400095518528,1609
all,baseline,tile_energy_exception,0.25,360,0.6601851851851852,0.8416666666666667,0.8671733118629265,0.9497383965316505,1609
all,baseline,tile_lowpass,0.125,360,0.6342592592592593,0.825,0.8795680829116868,0.9732121173714937,1609
all,baseline,tile_lowpass,0.25,360,0.6703703703703704,0.8305555555555556,0.8587433480871065,0.9463659482876405,1609
all,baseline,tile_risk_exception,0.125,360,0.6444444444444445,0.8166666666666667,0.8738509380536723,0.9617119044316683,1609
all,baseline,tile_risk_exception,0.25,360,0.662962962962963,0.8472222222222222,0.8674045870154967,0.9493242156783882,1609
all,main,base_scalar_quant,0.125,360,0.6416666666666667,0.8138888888888889,0.8846602674166206,0.9764342015014986,1609
all,main,base_scalar_quant,0.25,360,0.65,0.8222222222222222,0.8693791260680882,0.9566014418608554,1609
all,main,base_vq,0.125,360,0.6277777777777778,0.775,0.9583772063973205,1.0417611818793047,1609
all,main,base_vq,0.25,360,0.6194444444444445,0.7666666666666667,0.9685863140621223,1.048196136575792,1609
all,main,base_vq_logic_router,0.125,360,0.6277777777777778,0.7916666666666666,0.9497869890228483,1.0320955415370927,1609
all,main,base_vq_logic_router,0.25,360,0.6333333333333333,0.7805555555555556,0.9454609068634454,1.0271146074605955,1609
all,main,base_vq_mlp_router,0.125,360,0.6287037037037037,0.7805555555555556,0.948164296167023,1.0301950894035121,1609
all,main,base_vq_mlp_router,0.25,360,0.6324074074074074,0.7861111111111111,0.9380370944557298,1.0218638436819008,1609
all,main,base_vq_residual_rvq,0.125,360,0.6287037037037037,0.7888888888888889,0.9505558337589416,1.0339432841773457,1609
all,main,base_vq_residual_rvq,0.25,360,0.6305555555555555,0.7861111111111111,0.9453566157666501,1.0282464935169355,1609
all,main,logic_router_fixed_slots,0.125,360,0.6314814814814815,0.7805555555555556,0.9469617672445666,1.0286797722023053,1609
all,main,logic_router_fixed_slots,0.25,360,0.6351851851851852,0.7777777777777778,0.9322978620986557,1.0169673502272154,1609
