dataset,dataset_index,sample_id,retention_rate,method,top_k,block_spearman,marginal_spearman,topk_recall
chartqa,0,0,0.125,energy,8,-0.03172851338979171,0.0065818286824581,0.0
chartqa,0,0,0.125,risk,8,-0.023676756694895853,0.008664788100508993,0.0
chartqa,0,0,0.125,mlp,8,-0.17487554360265503,0.19786351294611368,0.0
chartqa,0,0,0.125,logic,8,-0.07537214330065252,0.2595881192612449,0.0
chartqa,0,0,0.25,energy,16,-0.02593986037994964,0.00732091173318557,0.0
chartqa,0,0,0.25,risk,16,-0.014778124284733346,0.012113325629066168,0.0
chartqa,0,0,0.25,mlp,16,-0.1754155699244678,0.17992230313883437,0.0625
chartqa,0,0,0.25,logic,16,-0.07049463690044537,0.23187148457984313,0.0625
chartqa,17,17,0.125,energy,8,0.02789754520485236,-0.002952756577702002,0.125
chartqa,17,17,0.125,risk,8,0.03170991645685511,-0.0012492275525352755,0.125
chartqa,17,17,0.125,mlp,8,-0.1371831368734264,0.15867512827107655,0.0
chartqa,17,17,0.125,logic,8,-0.012124224628235022,0.26710979368463905,0.0
chartqa,17,17,0.25,energy,16,0.04298037308308537,-0.009873452266520592,0.1875
chartqa,17,17,0.25,risk,16,0.04397960059510184,-0.011795225786383617,0.1875
chartqa,17,17,0.25,mlp,16,-0.12747696841382464,0.16070352907795962,0.0
chartqa,17,17,0.25,logic,16,-0.005120445339282685,0.25856447766065205,0.1875
chartqa,31,31,0.125,energy,8,0.284038109407187,0.09044856303032685,0.0
chartqa,31,31,0.125,risk,8,0.28303673609521623,0.09029759102929193,0.0
chartqa,31,31,0.125,mlp,8,0.10465066376745248,0.23752893762320287,0.0
chartqa,31,31,0.125,logic,8,0.10499856470427,0.2853643787387259,0.0
chartqa,31,31,0.25,energy,16,0.3054553387502861,0.12324662983513222,0.125
chartqa,31,31,0.25,risk,16,0.3055039768825818,0.12279852084728088,0.125
chartqa,31,31,0.25,mlp,16,0.06131837949187456,0.24374904667481792,0.1875
chartqa,31,31,0.25,logic,16,0.0719091753184295,0.2863411747189458,0.1875
chartqa,41,41,0.125,energy,8,0.22796549553673603,0.047517876229721236,0.25
chartqa,41,41,0.125,risk,8,0.2297543774319066,0.04860557790706986,0.25
chartqa,41,41,0.125,mlp,8,-0.055079823758297085,0.16699427305448689,0.0
chartqa,41,41,0.125,logic,8,0.049682855979129754,0.25791151858214695,0.0
chartqa,41,41,0.25,energy,16,0.2273239013504234,0.07558224645022737,0.1875
chartqa,41,41,0.25,risk,16,0.2301220244907301,0.0779485803284794,0.1875
chartqa,41,41,0.25,mlp,16,-0.08510242618448156,0.18791933783950862,0.0
chartqa,41,41,0.25,logic,16,0.051393331678003015,0.29612103749663377,0.1875
chartqa,43,43,0.125,energy,8,-0.060791943236438536,-0.013357920154484563,0.125
chartqa,43,43,0.125,risk,8,-0.05753891050583656,-0.012830394794223023,0.125
chartqa,43,43,0.125,mlp,8,-0.0016472590981918057,0.26991891061339224,0.0
chartqa,43,43,0.125,logic,8,-0.01462413503448724,0.3352182960221993,0.0
chartqa,43,43,0.25,energy,16,-0.050904812314030656,0.015817369702432305,0.125
chartqa,43,43,0.25,risk,16,-0.047611009384298464,0.017095416020781143,0.125
chartqa,43,43,0.25,mlp,16,-0.012393425268940259,0.2980090539455327,0.125
chartqa,43,43,0.25,logic,16,0.030837346404617015,0.40263870833339926,0.125
chartqa,57,57,0.125,energy,8,0.034602454795147626,-0.007083706843006337,0.125
chartqa,57,57,0.125,risk,8,0.03345945868619821,-0.006903722430444015,0.125
chartqa,57,57,0.125,mlp,8,0.06877288853284504,0.24094087751642845,0.125
chartqa,57,57,0.125,logic,8,0.13283371633607938,0.3481882722203978,0.125
chartqa,57,57,0.25,energy,16,-0.00645027466239414,-0.009500659757636008,0.125
chartqa,57,57,0.25,risk,16,-0.007908703364614328,-0.01004282659776921,0.125
chartqa,57,57,0.25,mlp,16,0.02284490157930876,0.2528262460741676,0.0625
chartqa,57,57,0.25,logic,16,0.09418965793042007,0.356023561639559,0.0625
chartqa,97,97,0.125,energy,8,0.14425712405584798,0.05845941660396649,0.0
chartqa,97,97,0.125,risk,8,0.14531214236667425,0.05852114507615331,0.0
chartqa,97,97,0.125,mlp,8,0.1628104257267109,0.29227060677062555,0.0
chartqa,97,97,0.125,logic,8,0.10718073327250438,0.31431509316929623,0.0
chartqa,97,97,0.25,energy,16,0.14966310940718697,0.06195571552095172,0.125
chartqa,97,97,0.25,risk,16,0.14849436369878688,0.06126716657101625,0.125
chartqa,97,97,0.25,mlp,16,0.17467169260700385,0.27160752412233025,0.25
chartqa,97,97,0.25,logic,16,0.08214120110627673,0.29467138536363174,0.25
chartqa,100,100,0.125,energy,8,0.05695167658503089,-0.01570551120145569,0.0
chartqa,100,100,0.125,risk,8,0.05836289768825818,-0.014552522746915078,0.0
chartqa,100,100,0.125,mlp,8,0.046400778210116726,0.22924980920001561,0.0
chartqa,100,100,0.125,logic,8,-0.006318155948611597,0.26141215940246354,0.0
chartqa,100,100,0.25,energy,16,0.0681620508125429,0.020591252859764493,0.0625
chartqa,100,100,0.25,risk,16,0.0677021343556878,0.020609215545806994,0.0625
chartqa,100,100,0.25,mlp,16,0.07196655413138016,0.2210086809340604,0.0
chartqa,100,100,0.25,logic,16,0.020278221938498604,0.22762985738467717,0.0
chartqa,122,122,0.125,energy,8,-0.10515063515678644,-0.01639052550747997,0.0
chartqa,122,122,0.125,risk,8,-0.09892924582284274,-0.012937429650080596,0.0
chartqa,122,122,0.125,mlp,8,-0.13465896086060883,0.155023739684995,0.0
chartqa,122,122,0.125,logic,8,-0.1867060485092098,0.1783475987595,0.0
chartqa,122,122,0.25,energy,16,-0.16218242160677498,-0.023883797524480086,0.0
chartqa,122,122,0.25,risk,16,-0.1504484721904326,-0.019371488109288366,0.0
chartqa,122,122,0.25,mlp,16,-0.17058322842755777,0.16366007981936406,0.0
chartqa,122,122,0.25,logic,16,-0.24197253261880364,0.18510887361110093,0.0
chartqa,132,132,0.125,energy,8,0.13206325818265044,0.022328796438555284,0.0
chartqa,132,132,0.125,risk,8,0.12921578164339664,0.020467552108113567,0.0
chartqa,132,132,0.125,mlp,8,4.9353398947127476e-05,0.17859404250814695,0.0
chartqa,132,132,0.125,logic,8,-0.04600656753754976,0.20730716328437088,0.0
chartqa,132,132,0.25,energy,16,0.11865916113527121,0.03931403161423192,0.125
chartqa,132,132,0.25,risk,16,0.1170777065690089,0.03884332313826576,0.125
chartqa,132,132,0.25,mlp,16,0.009504463263904783,0.1906679321156401,0.125
chartqa,132,132,0.25,logic,16,-0.04401933098417082,0.2205756172460967,0.125
chartqa,145,145,0.125,energy,8,0.1870429446097505,0.0821360633084686,0.125
chartqa,145,145,0.125,risk,8,0.18279139963378344,0.08048114972471093,0.125
chartqa,145,145,0.125,mlp,8,0.27505436026550695,0.29307963586637087,0.0
chartqa,145,145,0.125,logic,8,0.3566085451852993,0.3381555643643087,0.125
chartqa,145,145,0.25,energy,16,0.17697055962462804,0.09403139810806645,0.1875
chartqa,145,145,0.25,risk,16,0.17556291485465778,0.09214927140643042,0.1875
chartqa,145,145,0.25,mlp,16,0.25596317807278546,0.3001284409959186,0.125
chartqa,145,145,0.25,logic,16,0.32469305511527197,0.3575418834716744,0.25
chartqa,151,151,0.125,energy,8,0.21366874570840005,0.05711360712263032,0.125
chartqa,151,151,0.125,risk,8,0.2123061627374685,0.055643402267014974,0.125
chartqa,151,151,0.125,mlp,8,0.16329895284962231,0.2352719732126549,0.125
chartqa,151,151,0.125,logic,8,0.17472389561913645,0.32942402641576807,0.125
chartqa,151,151,0.25,energy,16,0.21012245365072094,0.04070033958760321,0.125
chartqa,151,151,0.25,risk,16,0.20953665026321808,0.038568082582371085,0.125
chartqa,151,151,0.25,mlp,16,0.15948300526436254,0.214430280966075,0.1875
chartqa,151,151,0.25,logic,16,0.17763223819548413,0.3104979263475608,0.1875
chartqa,156,156,0.125,energy,8,0.11316092662096172,0.00020280017190440767,0.0
chartqa,156,156,0.125,risk,8,0.10832355802243074,-0.001595785835665163,0.0
chartqa,156,156,0.125,mlp,8,0.060180390249484995,0.21668575054110412,0.0
chartqa,156,156,0.125,logic,8,0.021659285752813215,0.2858831127311364,0.0
chartqa,156,156,0.25,energy,16,0.045921549553673606,-0.00018347687309412672,0.0
chartqa,156,156,0.25,risk,16,0.04103198672465095,-0.002074631574294039,0.0
chartqa,156,156,0.25,mlp,16,0.0007181277180132752,0.2266476815630413,0.0
chartqa,156,156,0.25,logic,16,-0.04093664012855293,0.2835857854104691,0.0625
chartqa,166,166,0.125,energy,8,0.19117074845502396,0.07047311552113622,0.125
chartqa,166,166,0.125,risk,8,0.19291742961776148,0.0714319130660057,0.125
chartqa,166,166,0.125,mlp,8,0.16971417944609749,0.2548407076090906,0.0
chartqa,166,166,0.125,logic,8,0.15039654739676905,0.2818927164819668,0.0
chartqa,166,166,0.25,energy,16,0.22287136644541083,0.07751275935805226,0.125
chartqa,166,166,0.25,risk,16,0.22292930304417483,0.07742280251472046,0.125
chartqa,166,166,0.25,mlp,16,0.17257596131837946,0.24930356592410388,0.125
chartqa,166,166,0.25,logic,16,0.18679620335707617,0.29756933692088444,0.0625
chartqa,176,176,0.125,energy,8,0.1343685626001373,0.044798414325313125,0.0
chartqa,176,176,0.125,risk,8,0.1290341039139391,0.04353120370494965,0.0
chartqa,176,176,0.125,mlp,8,0.05535806248569466,0.238821368864956,0.0
chartqa,176,176,0.125,logic,8,0.04171918558950921,0.2865887684444961,0.0
chartqa,176,176,0.25,energy,16,0.1313351167315175,0.0653908520536402,0.0
chartqa,176,176,0.25,risk,16,0.12962992103456167,0.06565335438134647,0.0
chartqa,176,176,0.25,mlp,16,0.0630164225223163,0.2759856696925967,0.0
chartqa,176,176,0.25,logic,16,0.014302460324572566,0.2990521329481537,0.0625
chartqa,187,187,0.125,energy,8,0.15740086404211487,0.06305393280087553,0.125
chartqa,187,187,0.125,risk,8,0.1540062085145342,0.06124075230574795,0.125
chartqa,187,187,0.125,mlp,8,0.1422844186312657,0.27280241662669985,0.0
chartqa,187,187,0.125,logic,8,0.161124168707696,0.31882906832864905,0.0
chartqa,187,187,0.25,energy,16,0.17330982490272367,0.0737392582188189,0.0625
chartqa,187,187,0.25,risk,16,0.1720466639963378,0.07320371284850007,0.0625
chartqa,187,187,0.25,mlp,16,0.16031557564660104,0.3023597754856032,0.0625
chartqa,187,187,0.25,logic,16,0.17096978900810658,0.335571279390154,0.0625
gqa,8,08369253,0.125,energy,8,0.1500121595330739,0.07493717389557132,0.125
gqa,8,08369253,0.125,risk,8,0.1536507209887846,0.07710544588364909,0.125
gqa,8,08369253,0.125,mlp,8,-0.08048609521629663,0.15989642519636732,0.0
gqa,8,08369253,0.125,logic,8,0.015801475351049362,0.2624940658313731,0.0
gqa,8,08369253,0.25,energy,16,0.14661106660563053,0.06473641898987345,0.1875
gqa,8,08369253,0.25,risk,16,0.14965595674067292,0.06551170568579467,0.1875
gqa,8,08369253,0.25,mlp,16,-0.06334687571526665,0.18536784564266068,0.0
gqa,8,08369253,0.25,logic,16,-0.04040118546750204,0.24578531476740273,0.0625
gqa,21,13571728,0.125,energy,8,-0.04218213550011444,0.02293960285529666,0.125
gqa,21,13571728,0.125,risk,8,-0.03515034905012589,0.026898863168938664,0.0
gqa,21,13571728,0.125,mlp,8,-0.02633254177157244,0.1822163999849038,0.0
gqa,21,13571728,0.125,logic,8,-0.027618211352850832,0.22757928824932996,0.0
gqa,21,13571728,0.25,energy,16,-0.06485465781643394,-0.0007857400449451845,0.1875
gqa,21,13571728,0.25,risk,16,-0.05655470359349965,0.0035074846017863325,0.1875
gqa,21,13571728,0.25,mlp,16,0.016139276722362095,0.19084507138608012,0.0625
gqa,21,13571728,0.25,logic,16,-0.03113592439504369,0.2187850086734735,0.0625
gqa,46,02315424,0.125,energy,8,0.1430247196154726,0.001284292261073586,0.125
gqa,46,02315424,0.125,risk,8,0.14630278667887386,0.0015961250766810772,0.125
gqa,46,02315424,0.125,mlp,8,-0.2618398088807507,0.15159946600767826,0.0
gqa,46,02315424,0.125,logic,8,-0.1511946567312416,0.26811601258739026,0.0
gqa,46,02315424,0.25,energy,16,0.11518439574273287,-0.010616121440079928,0.125
gqa,46,02315424,0.25,risk,16,0.11902323186083769,-0.010188910524216478,0.125
gqa,46,02315424,0.25,mlp,16,-0.2727919718471045,0.15736943748020876,0.0
gqa,46,02315424,0.25,logic,16,-0.13848929229568688,0.29474524644201827,0.0
gqa,49,04819662,0.125,energy,8,-0.039248826962691684,-0.07400267888586577,0.0
gqa,49,04819662,0.125,risk,8,-0.030043345159075297,-0.06986502985217236,0.0
gqa,49,04819662,0.125,mlp,8,-0.11893167772945752,0.18964037038041287,0.0
gqa,49,04819662,0.125,logic,8,-0.1268097662307657,0.19159383394465468,0.0
gqa,49,04819662,0.25,energy,16,-0.04807450217441061,-0.07125958469228218,0.0
gqa,49,04819662,0.25,risk,16,-0.03839765964751659,-0.0681982990643,0.0
gqa,49,04819662,0.25,mlp,16,-0.10858606088349736,0.2116832646043309,0.0
gqa,49,04819662,0.25,logic,16,-0.09592746242688088,0.2325650670097446,0.0
gqa,71,18924900,0.125,energy,8,-0.03157759212634469,-0.02402745298095833,0.375
gqa,71,18924900,0.125,risk,8,-0.02944323643854429,-0.02288814843976656,0.375
gqa,71,18924900,0.125,mlp,8,0.07248154612039368,0.24302550974880474,0.0
gqa,71,18924900,0.125,logic,8,0.014839984062341091,0.27955152106192843,0.0
gqa,71,18924900,0.25,energy,16,-0.038342584115358194,-0.050696958504368214,0.25
gqa,71,18924900,0.25,risk,16,-0.03424911306935225,-0.049076496641791735,0.25
gqa,71,18924900,0.25,mlp,16,0.12600494964522774,0.2395441507138781,0.0
gqa,71,18924900,0.25,logic,16,0.0489797277768638,0.2612324908176946,0.0
gqa,79,18435808,0.125,energy,8,0.023119563973449296,-0.026800226979701646,0.0
gqa,79,18435808,0.125,risk,8,0.025218156328679325,-0.025597381572566854,0.0
gqa,79,18435808,0.125,mlp,8,-0.06692320897230487,0.1716555828241754,0.0
gqa,79,18435808,0.125,logic,8,0.008024645642656219,0.2586499255255533,0.0
gqa,79,18435808,0.25,energy,16,0.0029340238040741584,-0.03815274550079691,0.0625
gqa,79,18435808,0.25,risk,16,0.005361638818951704,-0.0384336864090822,0.0625
gqa,79,18435808,0.25,mlp,16,-0.03817521171892881,0.19522316577150123,0.0625
gqa,79,18435808,0.25,logic,16,0.04984397566686039,0.29518569890218693,0.0625
gqa,83,12661982,0.125,energy,8,0.22918073357747767,0.05759338351962573,0.0
gqa,83,12661982,0.125,risk,8,0.23398303387502856,0.05946600827578623,0.0
gqa,83,12661982,0.125,mlp,8,-0.1492446784161135,0.1821507629234218,0.0
gqa,83,12661982,0.125,logic,8,-0.1607658766096952,0.2371321427229224,0.0
gqa,83,12661982,0.25,energy,16,0.24653810940718696,0.06418908678258012,0.25
gqa,83,12661982,0.25,risk,16,0.2511394197756924,0.06706191692575757,0.25
gqa,83,12661982,0.25,mlp,16,-0.14076018539711604,0.15419831540582976,0.0
gqa,83,12661982,0.25,logic,16,-0.13764831393474156,0.18778041802169057,0.0625
gqa,84,01125115,0.125,energy,8,0.04030885214007782,-0.06611965055792356,0.0
gqa,84,01125115,0.125,risk,8,0.043451018539711596,-0.0641565223930522,0.0
gqa,84,01125115,0.125,mlp,8,-0.09442592698558022,0.21031104742298934,0.0
gqa,84,01125115,0.125,logic,8,-0.09857120362109006,0.2674367811343631,0.0
gqa,84,01125115,0.25,energy,16,0.03180075532158388,-0.042110612988637476,0.0625
gqa,84,01125115,0.25,risk,16,0.03475409132524604,-0.04076546288628271,0.0625
gqa,84,01125115,0.25,mlp,16,-0.08318265049210345,0.2269375148016931,0.0625
gqa,84,01125115,0.25,logic,16,-0.09551204404045421,0.2875538470483893,0.0
gqa,108,121037755,0.125,energy,8,0.004640650034332798,-0.04156618965361668,0.0
gqa,108,121037755,0.125,risk,8,0.007046091783016707,-0.039665659592621895,0.0
gqa,108,121037755,0.125,mlp,8,-0.07018339436942092,0.20539675314718694,0.0
gqa,108,121037755,0.125,logic,8,-0.03929591284725148,0.2429295262642253,0.125
gqa,108,121037755,0.25,energy,16,-0.012082284275577932,-0.0335470982769855,0.125
gqa,108,121037755,0.25,risk,16,-0.010610265506981001,-0.031996907861784454,0.0625
gqa,108,121037755,0.25,mlp,16,-0.04452677958342869,0.21707700148974707,0.0
gqa,108,121037755,0.25,logic,16,-0.017551280646977006,0.27649576481329396,0.0625
gqa,109,17528426,0.125,energy,8,0.0497661078049897,-0.017858193182388356,0.0
gqa,109,17528426,0.125,risk,8,0.052814574273289075,-0.01841767116256048,0.0
gqa,109,17528426,0.125,mlp,8,-0.08361681734950789,0.2065349075137738,0.0
gqa,109,17528426,0.125,logic,8,-0.0692719019072489,0.23974365549176122,0.0
gqa,109,17528426,0.25,energy,16,0.01243848706797894,0.0002322437954520498,0.125
gqa,109,17528426,0.25,risk,16,0.017945325017166395,0.0006297270639518905,0.125
gqa,109,17528426,0.25,mlp,16,-0.033986610208285646,0.21783911980901283,0.0625
gqa,109,17528426,0.25,logic,16,-0.04014531241085368,0.25260013113268753,0.0
gqa,118,05107346,0.125,energy,8,0.08605945296406499,0.0038289018947402576,0.0
gqa,118,05107346,0.125,risk,8,0.09195396543831538,0.005661447636362029,0.0
gqa,118,05107346,0.125,mlp,8,-0.09256837949187456,0.1929931038873042,0.0
gqa,118,05107346,0.125,logic,8,-0.04571360267499478,0.27067702280479305,0.0
gqa,118,05107346,0.25,energy,16,0.043302958342870214,-0.003410949332332505,0.0625
gqa,118,05107346,0.25,risk,16,0.04837634470130464,-0.0020197905172750475,0.0625
gqa,118,05107346,0.25,mlp,16,-0.05799811169604028,0.171040183617202,0.0625
gqa,118,05107346,0.25,logic,16,-0.04977520695682618,0.2373399774295999,0.0
gqa,135,10464328,0.125,energy,8,-0.279793717097734,-0.13409357578736095,0.0
gqa,135,10464328,0.125,risk,8,-0.2749549382009613,-0.1326096579500422,0.0
gqa,135,10464328,0.125,mlp,8,0.16872138933394365,0.28666370642288325,0.0
gqa,135,10464328,0.125,logic,8,0.16372238952954868,0.30203697445106037,0.0
gqa,135,10464328,0.25,energy,16,-0.2410791943236438,-0.12163869501403056,0.0625
gqa,135,10464328,0.25,risk,16,-0.23467684252689403,-0.11959771704608887,0.0625
gqa,135,10464328,0.25,mlp,16,0.16191777294575416,0.274752381141802,0.0625
gqa,135,10464328,0.25,logic,16,0.17860324692963198,0.31052296876759966,0.125
gqa,150,1654868,0.125,energy,8,-0.07855487525749599,-0.06118881941689878,0.0
gqa,150,1654868,0.125,risk,8,-0.07434266994735636,-0.059983336527169806,0.0
gqa,150,1654868,0.125,mlp,8,0.004322356374456398,0.22541832595408795,0.0
gqa,150,1654868,0.125,logic,8,0.10616684506373762,0.3167546820941391,0.125
gqa,150,1654868,0.25,energy,16,-0.060544460975051485,-0.014075978574528593,0.0
gqa,150,1654868,0.25,risk,16,-0.05579079880979628,-0.012352493116992404,0.0
gqa,150,1654868,0.25,mlp,16,-0.007068265049210343,0.1985643205260464,0.0625
gqa,150,1654868,0.25,logic,16,0.1190370451264999,0.27588346099972816,0.125
gqa,151,08228442,0.125,energy,8,0.029898861295490953,-0.029313231543208376,0.0
gqa,151,08228442,0.125,risk,8,0.02945539597161822,-0.029406628790768823,0.0
gqa,151,08228442,0.125,mlp,8,-0.21002088578622108,0.1510078506537778,0.0
gqa,151,08228442,0.125,logic,8,-0.14619820747911397,0.20356859326470336,0.0
gqa,151,08228442,0.25,energy,16,0.01919418059052414,-0.004764997459190161,0.125
gqa,151,08228442,0.25,risk,16,0.020157644769970243,-0.004724313930982231,0.125
gqa,151,08228442,0.25,mlp,16,-0.15196912909132523,0.12976966066976764,0.0
gqa,151,08228442,0.25,logic,16,-0.08792829432548363,0.19682682067608737,0.0
gqa,175,06438181,0.125,energy,8,0.10561913481345846,0.010074980028927294,0.0
gqa,175,06438181,0.125,risk,8,0.10633297093156327,0.012169228771869153,0.0
gqa,175,06438181,0.125,mlp,8,-0.1058487354085603,0.19454754531499355,0.0
gqa,175,06438181,0.125,logic,8,-0.05018729572246463,0.2575434784972311,0.125
gqa,175,06438181,0.25,energy,16,0.11241917486839093,-0.007249630281724455,0.0
gqa,175,06438181,0.25,risk,16,0.1136987869077592,-0.006678263963739681,0.0
gqa,175,06438181,0.25,mlp,16,-0.08320267795834285,0.20695440128332754,0.0625
gqa,175,06438181,0.25,logic,16,-0.020218628519921487,0.2527395745220047,0.0
gqa,179,08749240,0.125,energy,8,-0.035393539711604485,-0.04738814671034057,0.0
gqa,179,08749240,0.125,risk,8,-0.029499027237354078,-0.04397764744062035,0.0
gqa,179,08749240,0.125,mlp,8,-0.04673123140306705,0.19182360964550416,0.0
gqa,179,08749240,0.125,logic,8,-0.017712930590089482,0.24549614451018203,0.0
gqa,179,08749240,0.25,energy,16,-0.040673638132295714,-0.025450292928398004,0.0
gqa,179,08749240,0.25,risk,16,-0.03337863355458914,-0.02216605192272763,0.0625
gqa,179,08749240,0.25,mlp,16,-0.039387588693064766,0.17077779165064122,0.0
gqa,179,08749240,0.25,logic,16,-0.022658905023211037,0.1959570066752578,0.0
textvqa,8,34610,0.125,energy,8,0.057511015106431675,0.025743908065346537,0.0
textvqa,8,34610,0.125,risk,8,0.06862768940260927,0.02809813982112622,0.0
textvqa,8,34610,0.125,mlp,8,0.03388504234378576,0.3097739383490497,0.125
textvqa,8,34610,0.125,logic,8,0.0985085092856788,0.34098778052716117,0.0
textvqa,8,34610,0.25,energy,16,0.06958471618219271,0.05202060140830435,0.0625
textvqa,8,34610,0.25,risk,16,0.08044460975051497,0.053881193821068936,0.0625
textvqa,8,34610,0.25,mlp,16,0.051580024032959484,0.2969221881810538,0.0625
textvqa,8,34610,0.25,logic,16,0.1550460309517147,0.35423338061287496,0.0625
textvqa,40,34642,0.125,energy,8,-0.022981517509727625,-0.03774109122614712,0.0
textvqa,40,34642,0.125,risk,8,-0.025635872053101395,-0.03851735927767728,0.0
textvqa,40,34642,0.125,mlp,8,-0.07214966239414052,0.1345110637917692,0.0
textvqa,40,34642,0.125,logic,8,-0.05454580983283155,0.20550265638924614,0.0
textvqa,40,34642,0.25,energy,16,-0.02412665941863126,-0.016237619590748553,0.125
textvqa,40,34642,0.25,risk,16,-0.03015850308995193,-0.018404971018060528,0.125
textvqa,40,34642,0.25,mlp,16,-0.06653124284733347,0.13886911389455045,0.0625
textvqa,40,34642,0.25,logic,16,-0.028906613821235577,0.20698274640745076,0.0625
textvqa,56,34658,0.125,energy,8,0.08231217097734034,0.040210338387096645,0.125
textvqa,56,34658,0.125,risk,8,0.07951833943694207,0.03868263714717542,0.125
textvqa,56,34658,0.125,mlp,8,0.014820325017166397,0.1924982459393243,0.0
textvqa,56,34658,0.125,logic,8,-0.009840704004467266,0.20955889929635638,0.0
textvqa,56,34658,0.25,energy,16,0.07677314602883954,0.060636495766741225,0.0625
textvqa,56,34658,0.25,risk,16,0.07435411421377888,0.05859771599282712,0.0625
textvqa,56,34658,0.25,mlp,16,0.023506523231860834,0.16186687640358094,0.0
textvqa,56,34658,0.25,logic,16,-0.024058961127817247,0.18058327216141679,0.0625
textvqa,57,34659,0.125,energy,8,-0.01714565690089265,0.009187466589527757,0.125
textvqa,57,34659,0.125,risk,8,-0.013236724650949872,0.010863236822388687,0.125
textvqa,57,34659,0.125,mlp,8,0.09971818493934538,0.20295908502928942,0.0
textvqa,57,34659,0.125,logic,8,0.03484057229822397,0.22237852814471532,0.0
textvqa,57,34659,0.25,energy,16,-0.030153496223392074,-0.014129245531804122,0.0625
textvqa,57,34659,0.25,risk,16,-0.026551413366903174,-0.013233869561747621,0.0625
textvqa,57,34659,0.25,mlp,16,0.09309410048065918,0.21058135224451774,0.0625
