dataset,method,retention_rate,component_scope,component,samples,bits_mean,bits_min,bits_max
all,base_scalar_quant,0.125,stream,base_scalar_codes,360,1048576,1048576,1048576
all,base_scalar_quant,0.125,stream,base_scalar_scales,360,4096,4096,4096
all,base_scalar_quant,0.25,stream,base_scalar_codes,360,2097152,2097152,2097152
all,base_scalar_quant,0.25,stream,base_scalar_scales,360,8192,8192,8192
all,base_vq,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq,0.125,stream,base_code_indices,360,1024,1024,1024
all,base_vq,0.125,stream,base_scale_indices,360,512,512,512
all,base_vq,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq,0.25,stream,base_code_indices,360,2048,2048,2048
all,base_vq,0.25,stream,base_scale_indices,360,1024,1024,1024
all,base_vq_logic_router,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_logic_router,0.125,shared,logic_router,360,10119,10119,10119
all,base_vq_logic_router,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_logic_router,0.125,shared,router_curvature_prior,360,8192,8192,8192
all,base_vq_logic_router,0.125,stream,base_code_indices,360,768,768,768
all,base_vq_logic_router,0.125,stream,base_scale_indices,360,384,384,384
all,base_vq_logic_router,0.125,stream,exact_fallback_payload,360,0,0,0
all,base_vq_logic_router,0.125,stream,residual_code_indices,360,124.71111111111111,96,128
all,base_vq_logic_router,0.125,stream,residual_count_header,360,9,9,9
all,base_vq_logic_router,0.125,stream,residual_modes,360,16.41111111111111,16,20
all,base_vq_logic_router,0.125,stream,residual_positions,360,65.64444444444445,64,80
all,base_vq_logic_router,0.125,stream,residual_scale_indices,360,32.82222222222222,32,40
all,base_vq_logic_router,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_logic_router,0.25,shared,logic_router,360,10173,10173,10173
all,base_vq_logic_router,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_logic_router,0.25,shared,router_curvature_prior,360,8192,8192,8192
all,base_vq_logic_router,0.25,stream,base_code_indices,360,1536,1536,1536
all,base_vq_logic_router,0.25,stream,base_scale_indices,360,768,768,768
all,base_vq_logic_router,0.25,stream,exact_fallback_payload,360,0,0,0
all,base_vq_logic_router,0.25,stream,residual_code_indices,360,256,256,256
all,base_vq_logic_router,0.25,stream,residual_count_header,360,9,9,9
all,base_vq_logic_router,0.25,stream,residual_modes,360,32,32,32
all,base_vq_logic_router,0.25,stream,residual_positions,360,128,128,128
all,base_vq_logic_router,0.25,stream,residual_scale_indices,360,64,64,64
all,base_vq_mlp_router,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_mlp_router,0.125,shared,mlp_router_normalizer,360,832,832,832
all,base_vq_mlp_router,0.125,shared,mlp_router_parameters,360,51296,51296,51296
all,base_vq_mlp_router,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_mlp_router,0.125,shared,router_curvature_prior,360,8192,8192,8192
all,base_vq_mlp_router,0.125,stream,base_code_indices,360,768,768,768
all,base_vq_mlp_router,0.125,stream,base_scale_indices,360,384,384,384
all,base_vq_mlp_router,0.125,stream,exact_fallback_payload,360,0,0,0
all,base_vq_mlp_router,0.125,stream,residual_code_indices,360,128,128,128
all,base_vq_mlp_router,0.125,stream,residual_count_header,360,9,9,9
all,base_vq_mlp_router,0.125,stream,residual_modes,360,16,16,16
all,base_vq_mlp_router,0.125,stream,residual_positions,360,64,64,64
all,base_vq_mlp_router,0.125,stream,residual_scale_indices,360,32,32,32
all,base_vq_mlp_router,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_mlp_router,0.25,shared,mlp_router_normalizer,360,832,832,832
all,base_vq_mlp_router,0.25,shared,mlp_router_parameters,360,51296,51296,51296
all,base_vq_mlp_router,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_mlp_router,0.25,shared,router_curvature_prior,360,8192,8192,8192
all,base_vq_mlp_router,0.25,stream,base_code_indices,360,1536,1536,1536
all,base_vq_mlp_router,0.25,stream,base_scale_indices,360,768,768,768
all,base_vq_mlp_router,0.25,stream,exact_fallback_payload,360,0,0,0
all,base_vq_mlp_router,0.25,stream,residual_code_indices,360,256,256,256
all,base_vq_mlp_router,0.25,stream,residual_count_header,360,9,9,9
all,base_vq_mlp_router,0.25,stream,residual_modes,360,32,32,32
all,base_vq_mlp_router,0.25,stream,residual_positions,360,128,128,128
all,base_vq_mlp_router,0.25,stream,residual_scale_indices,360,64,64,64
all,base_vq_residual_rvq,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_residual_rvq,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_residual_rvq,0.125,stream,base_code_indices,360,768,768,768
all,base_vq_residual_rvq,0.125,stream,base_scale_indices,360,384,384,384
all,base_vq_residual_rvq,0.125,stream,exact_fallback_payload,360,0,0,0
all,base_vq_residual_rvq,0.125,stream,residual_code_indices,360,128,128,128
all,base_vq_residual_rvq,0.125,stream,residual_count_header,360,9,9,9
all,base_vq_residual_rvq,0.125,stream,residual_modes,360,16,16,16
all,base_vq_residual_rvq,0.125,stream,residual_positions,360,64,64,64
all,base_vq_residual_rvq,0.125,stream,residual_scale_indices,360,32,32,32
all,base_vq_residual_rvq,0.25,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_residual_rvq,0.25,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_residual_rvq,0.25,stream,base_code_indices,360,1536,1536,1536
all,base_vq_residual_rvq,0.25,stream,base_scale_indices,360,768,768,768
all,base_vq_residual_rvq,0.25,stream,exact_fallback_payload,360,0,0,0
all,base_vq_residual_rvq,0.25,stream,residual_code_indices,360,256,256,256
all,base_vq_residual_rvq,0.25,stream,residual_count_header,360,9,9,9
all,base_vq_residual_rvq,0.25,stream,residual_modes,360,32,32,32
all,base_vq_residual_rvq,0.25,stream,residual_positions,360,128,128,128
all,base_vq_residual_rvq,0.25,stream,residual_scale_indices,360,64,64,64
all,base_vq_residual_rvq_unweighted,0.125,shared,base_codebook,360,8454400,8454400,8454400
all,base_vq_residual_rvq_unweighted,0.125,shared,residual_codebooks,360,67371264,67371264,67371264
all,base_vq_residual_rvq_unweighted,0.125,stream,base_code_indices,360,768,768,768
all,base_vq_residual_rvq_unweighted,0.125,stream,base_scale_indices,360,384,384,384
all,base_vq_residual_rvq_unweighted,0.125,stream,exact_fallback_payload,360,0,0,0
all,base_vq_residual_rvq_unweighted,0.125,stream,residual_code_indices,360,128,128,128
all,base_vq_residual_rvq_unweighted,0.125,stream,residual_count_header,360,9,9,9
all,base_vq_residual_rvq_unweighted,0.125,stream,residual_modes,360,16,16,16
all,base_vq_residual_rvq_unweighted,0.125,stream,residual_positions,360,64,64,64
all,base_vq_residual_rvq_unweighted,0.125,stream,residual_scale_indices,360,32,32,32
