component,method,retention_rate,samples,trials_per_sample,p50_ms_median,p50_ms_mean,p95_ms_median,peak_allocated_bytes_max,peak_reserved_bytes_max
base_vq_search,base_vq,0.125,6,50,0.806656002998352,0.7926613291104635,0.8313600122928619,7568379904,8327790592
base_vq_search,base_vq,0.25,6,50,0.7825920134782791,0.7788373380899429,0.8144640028476715,7591611392,8327790592
codec_plus_prefill_first_logits,base_vq_logic_router,0.125,6,10,359.736328125,361.48360951741535,362.91388549804685,8110071808,8327790592
codec_plus_prefill_first_logits,base_vq_logic_router,0.25,6,10,654.6795501708984,649.6294453938802,658.8755477905274,8110071808,8327790592
codec_plus_prefill_first_logits,logic_router_fixed_slots,0.125,6,10,175.52460479736328,174.45367304484049,177.196134185791,8110071808,8327790592
codec_plus_prefill_first_logits,logic_router_fixed_slots,0.25,6,10,257.4382095336914,255.5106989542643,258.07754592895503,8110104576,8327790592
codec_roundtrip,base_vq_logic_router,0.125,6,50,296.7020721435547,298.47857666015625,302.1240478515625,7644746752,8327790592
codec_roundtrip,base_vq_logic_router,0.25,6,50,589.7566223144531,585.3687795003256,594.5742340087891,7648286720,8327790592
codec_roundtrip,logic_router_fixed_slots,0.125,6,50,111.45423316955566,109.46591250101726,113.86590347290038,7644746752,8327790592
codec_roundtrip,logic_router_fixed_slots,0.25,6,50,193.21526336669922,191.67742538452148,194.58028755187988,7648286720,8327790592
layout_pack,base_vq_logic_router,0.125,6,50,0.12339199706912041,0.1186986646304528,0.1294080004096031,7584540672,8327790592
layout_pack,base_vq_logic_router,0.25,6,50,0.11980799958109856,0.1186133325099945,0.1280512023717165,7590296576,8327790592
layout_pack,logic_router_fixed_slots,0.125,6,50,0.11878399923443794,0.11289599910378456,0.13002240099012852,7584524288,8327790592
layout_pack,logic_router_fixed_slots,0.25,6,50,0.11980799958109856,0.11878399923443794,0.12400640100240706,7590296576,8327790592
logic_router,base_vq_logic_router,0.125,6,50,4.628992080688477,4.621568004290263,4.827187240123749,7576020992,8327790592
logic_router,base_vq_logic_router,0.25,6,50,4.631040096282959,4.600746711095174,4.817792010307311,7584813568,8327790592
prefill_first_logits,base_vq_logic_router,0.125,6,10,65.3120002746582,65.2876803080241,66.80353317260742,8100629504,8327790592
prefill_first_logits,base_vq_logic_router,0.25,6,10,65.31763076782227,65.24671936035156,66.53798332214356,8100629504,8327790592
prefill_first_logits,logic_router_fixed_slots,0.125,6,10,65.14175796508789,65.17734336853027,66.21780395507812,8100629504,8327790592
prefill_first_logits,logic_router_fixed_slots,0.25,6,10,65.39724922180176,65.42122650146484,66.8166404724121,8100629504,8327790592
prefill_first_logits,none,,6,10,65.22419166564941,65.2400639851888,66.7472110748291,8091187200,8327790592
residual_decode_scatter,base_vq_logic_router,0.125,6,50,9.261312246322632,9.136298735936483,9.2929025888443,7617946624,8327790592
residual_decode_scatter,base_vq_logic_router,0.25,6,50,8.986112117767334,8.885589361190796,9.282278180122375,7619388416,8327790592
residual_decode_scatter,logic_router_fixed_slots,0.125,6,50,9.248512029647827,9.082197268803915,9.33007357120514,7617946624,8327790592
residual_decode_scatter,logic_router_fixed_slots,0.25,6,50,9.128704071044922,8.967935959498087,9.277439713478088,7619388416,8327790592
residual_rvq_search,base_vq_residual_rvq,0.125,6,50,1.4318079948425293,1.410559982061386,1.4663935869932174,7609571840,8327790592
residual_rvq_search,base_vq_residual_rvq,0.25,6,50,1.3928959965705872,1.3887999951839447,1.4479871988296509,7619426304,8327790592
ttft,base_vq_logic_router,0.125,6,5,839.2423969926313,837.6150388115396,860.7211197959259,8126341120,8327790592
ttft,base_vq_logic_router,0.25,6,5,1122.0930306008086,1120.9291838652764,1138.4719732915983,8126341120,8327790592
ttft,logic_router_fixed_slots,0.125,6,5,640.9663030644879,647.6312888553366,676.851674541831,8126341120,8327790592
ttft,logic_router_fixed_slots,0.25,6,5,722.2746050683782,723.6294608640795,739.4103147089481,8126341120,8327790592
ttft,none,,6,5,542.1379969920963,543.8858928003659,556.0942569281906,8116890624,8327790592
