scope,method,retention_rate,effective_bits_per_original_value,stream_bits_per_original_value,effective_bits_per_original_vector,shared_bits,feature_nmse,feature_cosine,fisher_weighted_nmse,teacher_nll,answer_score,prediction_agreement
main,base_scalar_quant,0.125,0.501953125,0.501953125,1028.0,0.0,0.6190830445951886,0.6280941257874171,0.5347516267663903,0.9764342015014986,0.6416666666666667,0.8138888888888889
main,base_scalar_quant,0.25,1.00390625,1.00390625,2056.0,0.0,0.5076364098323716,0.7117508694529533,0.4344606826702754,0.9566014418608554,0.65,0.8222222222222222
main,base_vq,0.125,0.011930677625868056,0.000732421875,24.43402777777778,8454400.0,0.7640941154625681,0.4906147392259704,0.6745618532101313,1.0417611818793047,0.6277777777777778,0.775
main,base_vq,0.25,0.012663099500868056,0.00146484375,25.93402777777778,8454400.0,0.7288051697942945,0.5247664401100741,0.638283780713876,1.048196136575792,0.6194444444444445,0.7666666666666667
main,base_vq_logic_router,0.125,0.10112681256400215,0.0006678528255886502,207.1077121310764,75843975.0,0.7684768161839909,0.48577122820748225,0.6789199743005965,1.0320955415370927,0.6277777777777778,0.7916666666666666
main,base_vq_logic_router,0.25,0.10179083744684855,0.0013318061828613281,208.46763509114584,75844029.0,0.7305352338486247,0.5225017918480768,0.6398439009984335,1.0271146074605955,0.6333333333333333,0.7805555555555556
main,base_vq_mlp_router,0.125,0.10118265151977539,0.0006680488586425781,207.2220703125,75885984.0,0.7694543538822068,0.48484386917617583,0.6800462052226066,1.0301950894035121,0.6287037037037037,0.7805555555555556
main,base_vq_mlp_router,0.25,0.10184640884399414,0.0013318061828613281,208.5814453125,75885984.0,0.7321074315243297,0.5210614596803983,0.64162491377857,1.0218638436819008,0.6324074074074074,0.7861111111111111
main,base_vq_residual_rvq,0.125,0.10110275480482313,0.0006680488586425781,207.05844184027777,75825664.0,0.7550499573349952,0.49886257126927375,0.6641798845595783,1.0339432841773457,0.6287037037037037,0.7888888888888889
main,base_vq_residual_rvq,0.25,0.10176651212904188,0.0013318061828613281,208.41781684027777,75825664.0,0.7161371231079101,0.535321246749825,0.6237971011135314,1.0282464935169355,0.6305555555555555,0.7861111111111111
ablation,base_vq_residual_rvq_unweighted,0.125,0.10110275480482313,0.0006680488586425781,207.05844184027777,75825664.0,0.7540758315059873,0.49982087016105653,0.6641620544923676,1.0347816472507856,0.6277777777777778,0.7777777777777778
ablation,base_vq_residual_rvq_unweighted,0.25,0.10176651212904188,0.0013318061828613281,208.41781684027777,75825664.0,0.7146752028001679,0.5366379004385736,0.6237662335236868,1.0309370127549966,0.6305555555555555,0.7777777777777778
main,logic_router_fixed_slots,0.125,0.10109609895282322,0.000637054443359375,207.04481065538195,75844039.0,0.7687975868582726,0.4852739430136151,0.6796294859713978,1.0286797722023053,0.6314814814814815,0.7805555555555556
main,logic_router_fixed_slots,0.25,0.10173330969280667,0.00127410888671875,208.34981825086805,75844157.0,0.7297823616200023,0.5229052573442459,0.6400432045261065,1.0169673502272154,0.6351851851851852,0.7777777777777778
main,logic_router_fixed_slots_exact_fallback,0.125,0.351057951980167,0.2505989074707031,718.966685655382,75844039.0,0.7601711147361332,0.49402632589141526,0.6723466952641804,1.0103218417333681,0.6435185185185185,0.7805555555555556
main,logic_router_fixed_slots_exact_fallback,0.25,0.35169516272015044,0.2512359619140625,720.2716932508681,75844157.0,0.7210816077060169,0.5311712365183565,0.6327098064952427,1.0048769775308053,0.6370370370370371,0.7972222222222223
reference,none,,16.0,16.0,32768.0,0.0,0.0,1.0000000034769376,0.0,0.8822392383426824,0.6805555555555556,1.0
baseline,tile_energy_exception,0.125,2.000034809112549,2.000034809112549,4096.0712890625,0.0,0.48533033149109944,0.7169919302066167,0.4326212618086073,0.9677400095518528,0.6416666666666667,0.8111111111111111
baseline,tile_energy_exception,0.25,4.000065326690674,4.000065326690674,8192.1337890625,0.0,0.35789829707807963,0.8012116794784864,0.3193178061809805,0.9497383965316505,0.6601851851851852,0.8416666666666667
baseline,tile_lowpass,0.125,2.0,2.0,4096.0,0.0,0.5067230010198223,0.7016195625066757,0.45233178900347815,0.9732121173714937,0.6342592592592593,0.825
baseline,tile_lowpass,0.25,4.0,4.0,8192.0,0.0,0.38340477057629163,0.7848506541715727,0.3433791990081469,0.9463659482876405,0.6703703703703704,0.8305555555555556
baseline,tile_risk_exception,0.125,2.000034809112549,2.000034809112549,4096.0712890625,0.0,0.4853679748872916,0.7169647061162525,0.4326743673947122,0.9617119044316683,0.6444444444444445,0.8166666666666667
baseline,tile_risk_exception,0.25,4.000065326690674,4.000065326690674,8192.1337890625,0.0,0.357949591262473,0.8011785445941819,0.319388998258445,0.9493242156783882,0.662962962962963,0.8472222222222222
