selector,layer_index,selected_mass,visual_mean,visual_p95,visual_worst,full_mean,bound_log10_looseness
centroid_score,0,0.6110025818149248,0.13803830898056424,0.23169449865818018,0.2390574961900711,0.06720763056849437,5.524420718352
quest_box_bound,0,0.5920111040274302,0.16540172385672725,0.2839954823255538,0.345979630947113,0.0736792602886756,5.348156889279683
exact_mass,0,0.6409876296917597,0.09691858384758228,0.1205644000321626,0.1242771670222282,0.06651401255900656,5.624463200569153
oracle_local,0,0.6327160224318504,0.09713428219159438,0.119448621943593,0.1209688410162925,0.06861250133564069,5.633010069529216
centroid_score,13,0.5019198954105377,0.4254026872416337,0.5631494641304016,0.5783714056015015,0.03269695932976897,9.902625997861227
quest_box_bound,13,0.465474055459102,0.41549675290783245,0.4790313348174095,0.5455436110496521,0.02988710789941247,9.492990056673685
exact_mass,13,0.6158102378249168,0.2511754718919595,0.28344096690416337,0.3309401273727417,0.0211205537974213,9.919933517773947
oracle_local,13,0.607159989575545,0.24351132474839685,0.26935073435306545,0.3165604472160339,0.021668315244217657,9.930985371271769
centroid_score,27,0.5288247143228849,0.4259252039094766,0.6149048805236815,0.6529281735420227,0.035076121489206906,16.0515562693278
quest_box_bound,27,0.4024050148824851,0.5971848294138908,0.7969656497240065,0.8140140771865845,0.04327546199783677,14.995229005813599
exact_mass,27,0.5973863303661346,0.31996366257468856,0.3763785496354103,0.3795407116413116,0.030346889980137307,16.336284796396892
oracle_local,27,0.5845311631759008,0.33861266697446507,0.3942961037158966,0.4512360394001007,0.030686882479737165,16.340688347816467
