cluster_family,prototype_count,visual_mean_oracle_local,visual_mean_prototype_mass,visual_p95_oracle_local,visual_p95_prototype_mass,visual_worst_oracle_local,visual_worst_prototype_mass,visual_mean_penalty_ratio
key,32,0.1202704752277996,0.206206199609571,0.2257323384284973,0.4318277537822728,0.2591332495212555,0.62706458568573,1.7145205356427162
key,64,0.090961540557651,0.1650113224362333,0.1608902402222156,0.4613107115030289,0.1696641892194748,0.5717938542366028,1.8140779215546583
key,128,0.0754414045044945,0.138437922216124,0.1305875070393085,0.4189322978258134,0.1383370459079742,0.5854519605636597,1.835039036261267
key_value,32,0.2045369552862313,0.2903661001473665,0.3628085508942604,0.6327462613582612,0.417157381772995,0.6754024624824524,1.4196265889507593
key_value,64,0.1485636946227815,0.2544370525413089,0.2528840944170952,0.5848913609981538,0.3074129521846771,0.6093690991401672,1.712646236937973
key_value,128,0.1197035106726818,0.224823935681747,0.2064398549497128,0.5513838440179826,0.2326134741306305,0.65999835729599,1.878173283459558
