topology,selector,exact_fraction,exact_group_count,cell_count,active_read_ratio,leaf_only_read_ratio,visual_mean,visual_p95,visual_worst,visual_worst_head,full_mean,full_p95,full_worst,selected_visual_mass_mean,upper_tail_fraction_mean,tail_bound_log10_looseness_mean
spatial_7x7,centroid_score,0.125,4,72,7.39622641509434,8.0,0.4986439713587363,0.7948589712381363,0.8913443684577942,1.7072110176086426,0.062413759684811,0.1117290943861007,0.1359889060258865,0.3619717552016179,0.99988471219937,10.485913190576763
spatial_7x7,centroid_score,0.25,8,72,3.843137254901961,4.0,0.3297887333772248,0.5709037035703659,0.6529281735420227,1.4458017349243164,0.0449935704624901,0.0779020953923464,0.0926879495382309,0.5472490638494492,0.9997213921613164,10.492867661847008
spatial_7x7,centroid_score,0.5,16,72,1.96,2.0,0.158926643922718,0.3082711637020112,0.4646220803260803,1.038261890411377,0.0231757866891307,0.0390803748741746,0.0463329143822193,0.782072568933169,0.9990784542428124,10.483528912067412
spatial_7x7,centroid_score,0.625,20,72,1.57429718875502,1.6,0.1124062003153893,0.23991080224514,0.4213683307170868,1.038261890411377,0.0156333447084762,0.026375083066523,0.0301699750125408,0.8577770193417867,0.9983749861518542,10.432839261160956
spatial_7x7,centroid_score,0.75,24,72,1.3154362416107384,1.3333333333333333,0.0700531031729446,0.1502952940762043,0.3886522650718689,1.0239263772964478,0.0094410625105309,0.0159018654376268,0.0174431577324867,0.9190354181660546,0.9967811240090264,10.358693579832712
spatial_7x7,centroid_score,1.0,32,72,0.98989898989899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
spatial_7x7,exact_mass,0.125,4,72,0.8888888888888888,8.0,0.3974325505809651,0.6656415045261384,0.7057252526283264,2.106938600540161,0.0572857257599631,0.1111487876623869,0.1348944157361984,0.4328084550797939,0.9998843760954008,10.575076474083794
spatial_7x7,exact_mass,0.25,8,72,0.8,4.0,0.2226859061047434,0.3598748862743378,0.3795407116413116,1.0431824922561646,0.0393271521121884,0.0772451404482126,0.0920990854501724,0.6180613992942704,0.9997180700302124,10.626893838246664
spatial_7x7,exact_mass,0.5,16,72,0.6666666666666666,2.0,0.0922648259955975,0.1503130443394184,0.168719083070755,0.3606342077255249,0.0188596492904859,0.0384606085717678,0.0456251688301563,0.8304021648234792,0.999065496855312,10.662013332049051
spatial_7x7,exact_mass,0.625,20,72,0.6153846153846154,1.6,0.0581152593561758,0.0944162379950285,0.1076169535517692,0.2278396040201187,0.0122087951943588,0.0258882823400199,0.0296228192746639,0.8956834433807267,0.9983551510506206,10.642637179957497
spatial_7x7,exact_mass,0.75,24,72,0.5714285714285714,1.3333333333333333,0.0336722410154632,0.0575098952278494,0.0657478049397468,0.1528481245040893,0.0071178286840828,0.0152040787506848,0.0175482034683227,0.9439996323651738,0.9967364602618748,10.614550272623696
