reader,method,aggregate_kl_reduction,ci95_low,ci95_high,p95_ratio,top1_delta,positive_tasks
LLaVA-v1.5,Fisher,0.7206515782337013,0.515779808208558,0.8325025175597495,0.19664853227235146,0.025000000000000022,5
LLaVA-v1.5,Mixed,0.7592902717956895,0.6010027113241028,0.8487469106617319,0.1359846603703381,0.025000000000000022,5
LLaVA-OneVision,Fisher,0.44236596863683764,-0.9359279008228861,0.8802732535207316,0.6134091274704462,-0.050000000000000044,3
LLaVA-OneVision,Mixed,0.5434348955613171,-0.44117585743809246,0.8879200482851445,0.5769082267843332,-0.050000000000000044,3
