method,exact_group_count,visual_token_retention,visual_mean,visual_p95,full_mean,full_p95
shared_exact_local,0,0.25,0.5005281325429678,0.7296553492546082,0.040417687475888225,0.08267649933695789
shared_exact_local,49,0.34375,0.1467391622977124,0.2507324531674385,0.016588004920372892,0.02872195066884159
shared_exact_local,98,0.4375,0.08647275778154528,0.15391925349831578,0.010162265706134701,0.01825331309810276
shared_exact_local,147,0.53125,0.05477678343757155,0.09633318744599817,0.006634502290075388,0.011929786670952985
shared_exact_local,196,0.625,0.03450376846982783,0.06432692334055899,0.00423777331565761,0.007464138860814226
shared_exact_local,392,1.0,0.0,0.0,0.0,0.0
headwise_attention_mass,0,0.25,0.5005281325429678,0.7296553492546082,0.040417687475888225,0.08267649933695789
headwise_attention_mass,49,0.34375,0.08629587240931055,0.14749065339565273,0.009808244351814968,0.015379372844472482
headwise_attention_mass,98,0.4375,0.045294942580059956,0.08327333554625506,0.005369553593077857,0.008655248815193747
headwise_attention_mass,147,0.53125,0.025975348065710682,0.049804530665278395,0.003239176753494421,0.005135734356008405
headwise_attention_mass,196,0.625,0.014925127564411972,0.02905312422662969,0.0019730796064120373,0.00315860188566142
headwise_attention_mass,392,1.0,0.0,0.0,0.0,0.0
headwise_exact_local,0,0.25,0.5005281325429678,0.7296553492546082,0.040417687475888225,0.08267649933695789
headwise_exact_local,49,0.34375,0.08298844080935747,0.14707741364836693,0.00902668141578836,0.01474894857965408
headwise_exact_local,98,0.4375,0.04166097985580559,0.07862061187624926,0.004606225178576958,0.007444508769549415
headwise_exact_local,147,0.53125,0.022620046187916517,0.045237176306545696,0.002588828188082568,0.004275662847794545
headwise_exact_local,196,0.625,0.012220126528215235,0.024931606557220137,0.0014519021986213639,0.0023876517079770153
headwise_exact_local,392,1.0,0.0,0.0,0.0,0.0
headwise_exact_greedy,0,0.25,0.5005281325429678,0.7296553492546082,0.040417687475888225,0.08267649933695789
headwise_exact_greedy,49,0.34375,0.10176700622671175,0.18540256917476655,0.0193962980411015,0.03806439749896528
headwise_exact_greedy,98,0.4375,0.09399314408397505,0.1792049780488014,0.017562098742928307,0.03377380827441806
headwise_exact_greedy,147,0.53125,0.09258102660533035,0.17772103548049925,0.017003253432145912,0.032704803626984344
headwise_exact_greedy,196,0.625,0.0916517302135212,0.16934615150094032,0.016174274748967293,0.0289662380702793
headwise_exact_greedy,392,1.0,0.0,0.0,0.0,0.0
