role,method,topk_recall,risk_mass_capture
validation,fixed_controller,0.31462585034013607,0.3237221408635378
validation,joint_writer_controller,0.3210034013605442,0.32958025361100834
validation,query_cosine,0.28231292517006806,0.26660585465530556
validation,residual_energy,0.2848639455782313,0.3206613690902789
validation,target_gradient_risk,1.0,0.796191523472468
validation,writer_dot,0.318452380952381,0.30967905434469384
prospective,fixed_controller,0.302295918367347,0.3022010928640763
prospective,joint_writer_controller,0.30697278911564624,0.3193413596600294
prospective,query_cosine,0.27891156462585037,0.2761962879449129
prospective,residual_energy,0.2916666666666667,0.2945743886133035
prospective,target_gradient_risk,1.0,0.8095081895589828
prospective,writer_dot,0.30017006802721086,0.3161000677694877
