method,selected_group_count,agreement,mismatch_count,harmful_count,candidate_kl_mean,candidate_kl_p95,token_retention
positioned_equal_mass,0,0.7916666666666666,5,1,0.033483716853273414,0.09814378023147574,0.25
positioned_equal_mass,49,0.875,3,1,0.03162418189458549,0.07117632925510406,0.34375
positioned_equal_mass,98,0.875,3,2,0.0248662243441989,0.08612643666565413,0.4375
positioned_equal_mass,147,0.8333333333333334,4,1,0.009455893188714981,0.02977672014385461,0.53125
positioned_equal_mass,196,0.9583333333333334,1,1,0.010536012627805272,0.040102164633572024,0.625
positioned_group_mass,0,0.7083333333333334,7,3,0.0546418409794569,0.23258125111460667,0.25
positioned_group_mass,49,0.9166666666666666,2,0,0.021571009303443134,0.06893137171864509,0.34375
positioned_group_mass,98,0.7916666666666666,5,2,0.02217550053804492,0.08285316899418818,0.4375
positioned_group_mass,147,0.9166666666666666,2,1,0.0081031635539451,0.03329609949141738,0.53125
positioned_group_mass,196,0.9166666666666666,2,1,0.009511446948939314,0.028101184777915473,0.625
static_empty_support_singleton,0,0.75,6,3,0.03916286812939992,0.09740630388259883,0.25
static_empty_support_singleton,49,0.8333333333333334,4,1,0.0364837673259899,0.13692761771380899,0.34375
static_empty_support_singleton,98,0.7916666666666666,5,2,0.03807979931783242,0.1601345464587211,0.4375
static_empty_support_singleton,196,0.875,3,0,0.03685351196327247,0.13923772200942033,0.625
