topology,rank,selector,exact_fraction,exact_group_count,cell_count,active_read_ratio,visual_mean,visual_p95,visual_worst,visual_worst_head,full_mean,full_p95,full_worst
spatial_7x7,0,oracle_local,0.25,8,72,3.69811320754717,0.1550476824243863,0.2527623906731605,0.2960835099220276,0.7765433192253113,0.0174689034206999,0.0253479486331343,0.0420641712844371
spatial_7x7,2,oracle_local,0.25,8,72,3.2114695340501798,0.1983245086028344,0.8420987993478779,1.1166898012161257,3.783488750457764,0.0143161241883515,0.0213320598937571,0.0351113826036453
temporal2_spatial_7x7,0,oracle_local,0.25,4,72,3.843137254901961,0.2033154856310122,0.3215387284755707,0.355954498052597,0.885802149772644,0.0221067546064861,0.0329659700393676,0.0534776896238327
temporal2_spatial_7x7,2,oracle_local,0.25,4,72,3.562624254473161,0.22576250648126,0.707150572538376,1.303979754447937,3.5176002979278564,0.0185302471573878,0.0282656285911798,0.0482576377689838
spatial_7x7,0,oracle_local,0.125,4,72,6.87719298245614,0.2614831746452384,0.4205287665128708,0.4553712904453277,1.2921150922775269,0.0265738753239727,0.0384817132726311,0.0677883401513099
spatial_7x7,0,compact_mass,0.25,8,72,3.69811320754717,0.3002558350045647,0.5338638663291931,0.6120038032531738,1.4458017349243164,0.0252461637266808,0.043116133660078,0.0522319264709949
spatial_7x7,2,compact_mass,0.25,8,72,3.2114695340501798,0.3051955334635244,0.8658841133117681,1.1378824710845947,3.783488750457764,0.0197904823322056,0.035438417084515,0.0545199699699878
temporal2_spatial_7x7,0,oracle_local,0.125,2,72,7.39622641509434,0.3319006622251537,0.5034118354320526,0.5870434045791626,1.286733865737915,0.0318593411680517,0.0501524502411484,0.080370619893074
temporal2_spatial_7x7,2,compact_mass,0.25,4,72,3.562624254473161,0.3374885531763236,0.7601439565420153,1.3314104080200195,3.5176002979278564,0.0236005184965001,0.0384345835074782,0.0579559803009033
temporal2_spatial_7x7,0,compact_mass,0.25,4,72,3.843137254901961,0.3668426187295053,0.6539462804794313,0.7399138808250427,1.51586651802063,0.0293770266903771,0.0522722601890564,0.0646063759922981
spatial_7x7,2,oracle_local,0.125,4,72,5.365269461077844,0.3920261742443674,1.0146429598331452,1.1302272081375122,3.97155237197876,0.0224022309218222,0.0325797986239195,0.0573171079158782
spatial_7x7,0,compact_mass,0.125,4,72,6.87719298245614,0.4209483214136627,0.6966718435287476,0.7590705156326294,1.4511089324951172,0.0334883640235703,0.0565369153395295,0.0845820009708404
temporal2_spatial_7x7,2,oracle_local,0.125,2,72,6.422939068100359,0.4324452996047007,1.0822734773159028,1.8512428998947144,5.136931419372559,0.0585427018425737,0.0558379117399454,1.44736647605896
temporal2_spatial_7x7,4,oracle_local,0.25,4,72,3.320275277924828,0.4591430843704276,1.196977984905243,1.398523211479187,4.369588851928711,0.0679878831207234,0.0664401078596712,1.1016281843185425
spatial_7x7,4,oracle_local,0.25,8,72,2.838009049773756,0.4618125916976068,1.1291988492012026,1.4470170736312866,5.752755165100098,0.0908362655577042,0.8339840888977053,1.295132398605347
spatial_7x7,2,compact_mass,0.125,4,72,5.365269461077844,0.4779165714151329,1.0804691016674044,1.3082664012908936,3.97155237197876,0.0275894964320792,0.0435566544532775,0.0756188035011291
spatial_7x7,4,compact_mass,0.25,8,72,2.838009049773756,0.4907294115465548,1.0793268382549286,1.3587971925735474,4.500753402709961,0.0812926757239943,0.6647080421447754,1.2174359560012815
temporal2_spatial_7x7,0,compact_mass,0.125,2,72,7.39622641509434,0.4926260830834508,0.7552886664867402,0.7723959684371948,1.5547964572906494,0.0378797465107507,0.0625290177762508,0.0876073017716407
temporal2_spatial_7x7,4,compact_mass,0.25,4,72,3.320275277924828,0.505920619600349,1.189822000265122,1.4071804285049438,4.369588851928711,0.081918524720499,0.3461426924914138,1.3055682182312012
temporal2_spatial_7x7,2,compact_mass,0.125,2,72,6.422939068100359,0.5263098450377584,1.1165691375732425,1.877475023269653,5.136931419372559,0.0630504432677601,0.0706574063748121,1.4476231336593628
temporal2_spatial_7x7,8,compact_mass,0.25,4,72,2.92264678471575,0.5447152836455239,1.2180605351924898,1.564991116523743,4.248921871185303,0.5416681684501883,1.3040474474430086,1.6132913827896118
spatial_7x7,8,compact_mass,0.25,8,72,2.302496328928047,0.561245328022374,1.399559807777405,1.939183235168457,5.203924655914307,0.6019232278663872,1.4396106958389283,2.1427905559539795
temporal2_spatial_7x7,16,compact_mass,0.25,4,72,2.357894736842105,0.5620333018402258,1.252927315235138,1.4415041208267212,5.786617279052734,0.5972107104413832,1.410811561346054,1.5375816822052002
spatial_7x7,4,oracle_local,0.125,4,72,4.3983169705469845,0.5798450240658389,1.4093221187591554,1.703526258468628,5.08296012878418,0.3200338999740779,1.418948787450791,1.6648554801940918
temporal2_spatial_7x7,4,oracle_local,0.125,2,72,5.676018099547512,0.5803662656495968,1.337544280290604,2.0014820098876958,5.119434833526611,0.2914366809806476,1.4411469221115112,2.003342866897583
spatial_7x7,4,compact_mass,0.125,4,72,4.3983169705469845,0.6073568295687437,1.4082120299339296,1.5100088119506836,4.829948425292969,0.3076263757603656,1.3589157402515415,1.599949836730957
temporal2_spatial_7x7,8,oracle_local,0.25,4,72,2.92264678471575,0.6089764446434047,1.5534165501594546,2.021820306777954,5.680599689483643,0.6333145523353273,1.79367408156395,2.248692512512207
temporal2_spatial_7x7,4,compact_mass,0.125,2,72,5.676018099547512,0.6172116138041019,1.2731399059295656,2.1936092376708984,5.846742630004883,0.2975893356294061,1.3922479033470156,2.123586654663086
spatial_7x7,8,oracle_local,0.25,8,72,2.302496328928047,0.6225834711351328,1.7542084574699404,1.8807350397109983,5.854435443878174,0.6934417826188211,1.8981741547584536,2.0622692108154297
spatial_7x7,16,compact_mass,0.125,4,72,2.1132075471698117,0.6332055437895987,1.3867851197719574,1.4953322410583496,4.206303596496582,0.6453528663712658,1.4498752653598783,1.6083451509475708
spatial_7x7,8,compact_mass,0.125,4,72,3.232989690721649,0.6425302568823099,1.3921771049499512,1.780756950378418,4.917238235473633,0.6411301791279888,1.4449869334697725,1.7761112451553345
spatial_7x7,0,oracle_local,0.0,0,72,49.0,0.6521576276669899,0.9300257533788682,0.9503626227378844,1.4002094268798828,0.049354070616472,0.0942566305398941,0.1336956322193145
spatial_7x7,0,compact_mass,0.0,0,72,49.0,0.6521576276669899,0.9300257533788682,0.9503626227378844,1.4002094268798828,0.049354070616472,0.0942566305398941,0.1336956322193145
temporal2_spatial_7x7,8,compact_mass,0.125,2,72,4.604992657856094,0.6574158678866096,1.3566170990467077,2.5685393810272217,6.472689151763916,0.6183845366661748,1.4361628115177154,2.5026533603668213
temporal2_spatial_7x7,16,compact_mass,0.125,2,72,3.343283582089552,0.6638098965502448,1.440639233589173,2.418898105621338,6.063536643981934,0.6594947710012397,1.556063187122345,2.3734638690948486
temporal2_spatial_7x7,0,oracle_local,0.0,0,72,98.0,0.6664829198271036,0.9358702778816224,0.9809041023254396,1.4345985651016235,0.051723481207672,0.0963096432387829,0.1367435157299041
temporal2_spatial_7x7,0,compact_mass,0.0,0,72,98.0,0.6664829198271036,0.9358702778816224,0.9809041023254396,1.4345985651016235,0.051723481207672,0.0963096432387829,0.1367435157299041
spatial_7x7,8,oracle_local,0.125,4,72,3.232989690721649,0.6684621690462033,1.7242112636566165,2.000729322433472,5.854435443878174,0.7139723378673403,1.876187026500702,2.0622894763946533
temporal2_spatial_7x7,16,oracle_local,0.25,4,72,2.357894736842105,0.6691991343266435,1.5209997475147248,2.115837574005127,5.973984241485596,0.730061288897155,1.7138271331787112,2.3562307357788086
temporal2_spatial_7x7,8,oracle_local,0.125,2,72,4.604992657856094,0.6728568457894855,1.5776047527790074,2.0495481491088867,5.680599689483643,0.6757487625452794,1.7937589347362524,2.248915910720825
temporal2_spatial_7x7,16,oracle_local,0.125,2,72,3.343283582089552,0.7121791336685419,1.5433058679103853,2.12990140914917,5.973984241485596,0.7322630578807244,1.7140265524387364,2.356391906738281
spatial_7x7,16,oracle_local,0.125,4,72,2.1132075471698117,0.7425680752429697,1.7494574844837192,2.109464168548584,5.676178455352783,0.7916803903515555,1.9120394349098209,2.2014381885528564
temporal2_spatial_7x7,4,compact_mass,0.0,0,72,19.53894080996885,0.8214265099830098,1.4794786751270297,2.077159881591797,5.490379333496094,0.5643879674737238,1.5304085314273836,2.175644397735596
temporal2_spatial_7x7,4,oracle_local,0.0,0,72,19.53894080996885,0.8214265099830098,1.4794786751270297,2.077159881591797,5.490379333496094,0.5643879674737238,1.5304085314273836,2.175644397735596
temporal2_spatial_7x7,2,compact_mass,0.0,0,72,32.58181818181818,0.8335353123644987,1.5460759103298187,2.1204206943511963,5.562702655792236,0.2681491971533332,1.6045693814754487,2.235703706741333
temporal2_spatial_7x7,2,oracle_local,0.0,0,72,32.58181818181818,0.8335353123644987,1.5460759103298187,2.1204206943511963,5.562702655792236,0.2681491971533332,1.6045693814754487,2.235703706741333
temporal2_spatial_7x7,8,compact_mass,0.0,0,72,10.85121107266436,0.8363539150191678,1.6603154063224794,2.12983512878418,5.680599689483643,0.7253421539854672,1.7945210516452794,2.250065326690674
temporal2_spatial_7x7,8,oracle_local,0.0,0,72,10.85121107266436,0.8363539150191678,1.6603154063224794,2.12983512878418,5.680599689483643,0.7253421539854672,1.7945210516452794,2.250065326690674
temporal2_spatial_7x7,16,oracle_local,0.0,0,72,5.743589743589744,0.839738899221023,1.628222543001175,2.2048285007476807,5.973984241485596,0.7517323168770721,1.746640467643738,2.3594443798065186
temporal2_spatial_7x7,16,compact_mass,0.0,0,72,5.743589743589744,0.839738899221023,1.628222543001175,2.2048285007476807,5.973984241485596,0.7517323168770721,1.746640467643738,2.3594443798065186
spatial_7x7,2,compact_mass,0.0,0,72,16.29090909090909,0.8597538984484143,1.687926435470581,1.9212090969085691,4.980417251586914,0.4712228167077733,1.72326038479805,1.944391250610352
spatial_7x7,2,oracle_local,0.0,0,72,16.29090909090909,0.8597538984484143,1.687926435470581,1.9212090969085691,4.980417251586914,0.4712228167077733,1.72326038479805,1.944391250610352
spatial_7x7,8,compact_mass,0.0,0,72,5.42560553633218,0.8682113728589482,1.7780007541179657,2.031418561935425,5.854434490203857,0.7776450897670455,1.8766253113746645,2.062333583831787
spatial_7x7,8,oracle_local,0.0,0,72,5.42560553633218,0.8682113728589482,1.7780007541179657,2.031418561935425,5.854434490203857,0.7776450897670455,1.8766253113746645,2.062333583831787
spatial_7x7,16,compact_mass,0.0,0,72,2.871794871794872,0.8879285955594646,1.8308918535709384,2.1466825008392334,5.676178455352783,0.8205602282347778,1.9759097814559936,2.201704263687134
spatial_7x7,16,oracle_local,0.0,0,72,2.871794871794872,0.8879285955594646,1.8308918535709384,2.1466825008392334,5.676178455352783,0.8205602282347778,1.9759097814559936,2.201704263687134
spatial_7x7,4,compact_mass,0.0,0,72,9.769470404984425,0.8905686450501283,1.9017908036708835,2.186056613922119,5.43994140625,0.7286512077165147,1.8968718171119687,2.162587404251098
spatial_7x7,4,oracle_local,0.0,0,72,9.769470404984425,0.8905686450501283,1.9017908036708835,2.186056613922119,5.43994140625,0.7286512077165147,1.8968718171119687,2.162587404251098
