method,refined_group_count,token_retention,agreement,candidate_kl_mean,candidate_kl_p95,harmful_count
"Dense-gradient, original positions",0,0.25,0.75,0.03916286812939992,0.09740630388259883,3
"Dense-gradient, original positions",128,0.49489795918367346,0.9583333333333334,0.025526076400031645,0.09712694957852354,1
"Dense-gradient, original positions",160,0.5561224489795918,0.9583333333333334,0.019163800752721727,0.05421582646667954,1
"Dense-gradient, original positions",196,0.625,1.0,0.021253494429402053,0.04679934307932851,0
"Dense-gradient, original positions",245,0.71875,1.0,0.012233489687787369,0.02451908998191356,0
"Dense-gradient, original positions",294,0.8125,0.9583333333333334,0.00990223782719113,0.025668088160455224,1
"Dense-gradient, original positions",343,0.90625,0.875,0.009050121361118121,0.03862762642092997,2
"Dense-gradient, original positions",392,1.0,1.0,0.0,0.0,0
"Dense-gradient, original positions",49,0.34375,0.9583333333333334,0.027827389324860025,0.06435283161699772,1
"Dense-gradient, original positions",98,0.4375,0.9583333333333334,0.020739765216906864,0.071140156686306,1
"Reader singleton, original positions",0,0.25,0.75,0.03916286812939992,0.09740630388259883,3
"Reader singleton, original positions",49,0.34375,0.8333333333333334,0.0364837673259899,0.13692761771380899,1
"Reader singleton, original positions",98,0.4375,0.7916666666666666,0.03807979931783242,0.1601345464587211,2
"Reader singleton, original positions",128,0.49489795918367346,0.8333333333333334,0.040228689196131505,0.12627391070127486,0
"Reader singleton, original positions",160,0.5561224489795918,0.7916666666666666,0.04616648220689967,0.1482399336993694,1
"Reader singleton, original positions",196,0.625,0.875,0.03685351196327247,0.13923772200942033,0
"Reader singleton, original positions",245,0.71875,0.875,0.04269713844405487,0.15268440470099442,0
"Reader singleton, original positions",294,0.8125,0.875,0.02741907552505533,0.11690122224390503,0
"Reader singleton, original positions",343,0.90625,0.9166666666666666,0.014113134714231515,0.07291179299354551,0
"Reader singleton, original positions",392,1.0,1.0,0.0,0.0,0
