layer_index,shared_visual_mean,headwise_visual_mean,relative_improvement
0,0.012999309110455161,0.003998114814748937,0.6924363609806532
13,0.03337517458324627,0.011415930503668839,0.6579514370720497
27,0.05713682171578205,0.02124633426622793,0.628149875540603
