sample_id,sample_position,layer_index,method,visual_relative_l2,full_relative_l2
vsi_question_3132,73,0,exact_local_score,0.0127497054636478,0.0050042341463267
vsi_question_3132,73,13,exact_local_score,0.0296908449381589,0.0024792843032628
vsi_question_3132,73,27,exact_greedy_oracle,0.0458318181335926,0.0118855386972427
vsi_question_5084,74,0,exact_local_score,0.0135651417076587,0.0037859766744077
vsi_question_5084,74,13,exact_local_score,0.030436597764492,0.0015288998838514
vsi_question_5084,74,27,exact_local_score,0.0545975863933563,0.0068284147419035
vsi_question_1569,75,0,exact_local_score,0.0132790300995111,0.0052086315117776
vsi_question_1569,75,13,exact_local_score,0.0312599688768386,0.0023287467192858
vsi_question_1569,75,27,exact_greedy_oracle,0.0570656470954418,0.0058832820504903
vsi_question_3722,76,0,exact_local_score,0.0121766086667776,0.0070661855861544
vsi_question_3722,76,13,attention_mass,0.0388648323714733,0.0029554003849625
vsi_question_3722,76,27,exact_local_score,0.045633066445589,0.0067982100881636
vsi_question_5105,77,0,exact_local_score,0.0115554677322506,0.0029743036720901
vsi_question_5105,77,13,exact_greedy_oracle,0.0261538717895746,0.0027408758178353
vsi_question_5105,77,27,exact_greedy_oracle,0.0502538979053497,0.0064948569051921
vsi_question_2957,78,0,exact_local_score,0.0129854595288634,0.0051314434967935
vsi_question_2957,78,13,exact_greedy_oracle,0.0301167983561754,0.0031557227484881
vsi_question_2957,78,27,exact_greedy_oracle,0.0568991899490356,0.0141081558540463
vsi_question_1880,79,0,exact_local_score,0.0121132740750908,0.0041799033060669
vsi_question_1880,79,13,exact_greedy_oracle,0.0284191593527793,0.002360297832638
vsi_question_1880,79,27,exact_local_score,0.0561648309230804,0.0045332629233598
vsi_question_1053,80,0,exact_local_score,0.0146965002641081,0.0042207930237054
vsi_question_1053,80,13,exact_greedy_oracle,0.0267060920596122,0.0023374636657536
vsi_question_1053,80,27,exact_greedy_oracle,0.063320018351078,0.0087966183200478
vsi_question_1039,81,0,exact_local_score,0.0119375614449381,0.0035450858995318
vsi_question_1039,81,13,exact_local_score,0.0260777715593576,0.0017530319746583
vsi_question_1039,81,27,exact_local_score,0.0587328821420669,0.0075227906927466
vsi_question_5150,82,0,exact_local_score,0.0140740573406219,0.0032819928601384
vsi_question_5150,82,13,exact_local_score,0.0322006568312644,0.0016802429454401
vsi_question_5150,82,27,exact_greedy_oracle,0.0469564534723758,0.0031308666802942
vsi_question_5067,83,0,exact_local_score,0.014278351329267,0.0034119733609259
vsi_question_5067,83,13,exact_local_score,0.0404330566525459,0.0017877251375466
vsi_question_5067,83,27,exact_greedy_oracle,0.0555426366627216,0.0054787350818514
vsi_question_1976,84,0,exact_local_score,0.0121398922055959,0.0048072752542793
vsi_question_1976,84,13,exact_local_score,0.0386099964380264,0.0032962337136268
vsi_question_1976,84,27,exact_greedy_oracle,0.04299246519804,0.0070731681771576
vsi_question_1077,85,0,exact_local_score,0.0143334371969103,0.004506351891905
vsi_question_1077,85,13,exact_local_score,0.0370449498295784,0.0020662907045334
vsi_question_1077,85,27,exact_greedy_oracle,0.0498641729354858,0.0066906148567795
vsi_question_3092,86,0,exact_local_score,0.012508625164628,0.0057675344869494
vsi_question_3092,86,13,exact_local_score,0.0332319550216198,0.0029862185474485
vsi_question_3092,86,27,exact_greedy_oracle,0.0444407425820827,0.0063009690493345
vsi_question_5025,87,0,exact_local_score,0.0129142133519053,0.0029622900765389
vsi_question_5025,87,13,exact_local_score,0.0260373055934906,0.0014000152004882
vsi_question_5025,87,27,exact_greedy_oracle,0.0533356592059135,0.0052454303950071
vsi_question_5074,88,0,exact_local_score,0.0149724800139665,0.0038951223250478
vsi_question_5074,88,13,exact_greedy_oracle,0.0348235517740249,0.0018331236205995
vsi_question_5074,88,27,exact_local_score,0.0608415715396404,0.0033607354853302
vsi_question_5086,89,0,exact_local_score,0.0122947609052062,0.0040540434420108
vsi_question_5086,89,13,exact_local_score,0.0351445488631725,0.0017933583585545
vsi_question_5086,89,27,exact_greedy_oracle,0.0403004176914691,0.0047475672326982
vsi_question_1058,90,0,exact_local_score,0.0126678561791777,0.0039669345133006
vsi_question_1058,90,13,exact_greedy_oracle,0.0235130824148654,0.0021919396240264
vsi_question_1058,90,27,exact_greedy_oracle,0.0509927719831466,0.0044502173550426
vsi_question_994,91,0,exact_local_score,0.0139043992385268,0.0040908097289502
vsi_question_994,91,13,exact_local_score,0.0340471528470516,0.0021153194829821
vsi_question_994,91,27,exact_greedy_oracle,0.058150727301836,0.0078480578958988
vsi_question_1950,92,0,exact_local_score,0.0112942373380064,0.0047194785438477
vsi_question_1950,92,13,exact_local_score,0.0383213497698307,0.0027915546670556
vsi_question_1950,92,27,exact_local_score,0.0531654208898544,0.0071257627569139
vsi_question_2991,93,0,exact_local_score,0.0112403957173228,0.004316636826843
vsi_question_2991,93,13,exact_local_score,0.0361065790057182,0.002824502531439
vsi_question_2991,93,27,exact_local_score,0.0625648126006126,0.0068410225212574
vsi_question_1071,94,0,exact_local_score,0.0129368649795651,0.0041194376535713
vsi_question_1071,94,13,exact_local_score,0.0289713870733976,0.0019370701629668
vsi_question_1071,94,27,exact_greedy_oracle,0.0430578365921974,0.0035350676625967
vsi_question_1224,95,0,exact_local_score,0.013571529649198,0.0049799089320003
vsi_question_1224,95,13,exact_local_score,0.032014213502407,0.0033976158592849
vsi_question_1224,95,27,exact_greedy_oracle,0.053157202899456,0.007858358323574
vsi_question_5089,96,0,exact_local_score,0.0137935690581798,0.004828218370676
vsi_question_5089,96,13,exact_greedy_oracle,0.0392002873122692,0.0045816297642886
vsi_question_5089,96,27,exact_local_score,0.0480047166347503,0.0052561666816473
