method,layer_index,visual_mean,visual_p95,visual_worst,full_mean,full_p95
shared_exact_local,0,0.012999309110455161,0.01464204080402843,0.0149724800139665,0.004367690232659946,0.005683699040673629
headwise_attention_mass,0,0.0062797177039707166,0.0071514786686747685,0.0074706496670842,0.0025819713288607253,0.00318052745424206
headwise_exact_local,0,0.003998114814748937,0.00458912821486592,0.0048146182671189,0.0016841638086285624,0.002121775760315275
headwise_exact_greedy,0,0.0341428238122413,0.08080723099410521,0.096538096666336,0.01054536708397786,0.014113228162750563
shared_exact_local,13,0.03337517458324627,0.04041840229183432,0.0438316278159618,0.002220605592204525,0.003249731438700054
headwise_attention_mass,13,0.013804515241645212,0.016799634788185303,0.0175232253968715,0.0010280942854781542,0.0015353475639130851
headwise_exact_local,13,0.011415930503668839,0.01424475680105384,0.0151110840961337,0.0007657090379021834,0.0011471161269582398
headwise_exact_greedy,13,0.10544213807831203,0.14313849955797187,0.1463983356952667,0.02028353663627054,0.028276836685836283
shared_exact_local,27,0.05713682171578205,0.07160581313073631,0.0739477276802063,0.006125024122108358,0.010521286632865624
headwise_attention_mass,27,0.02469114974761999,0.030609210953116386,0.0327975563704967,0.0023091732048972336,0.0034883605083450035
headwise_exact_local,27,0.02124633426622793,0.02651979820802803,0.0270049776881933,0.001905833749333346,0.0030822054599411435
headwise_exact_greedy,27,0.13537022875001029,0.20308355689048763,0.2134338766336441,0.01769392052665348,0.041088248230516836
