method,layer_index,visual_mean,visual_p95,visual_worst,full_mean,full_p95,full_worst
analytic_remainder,0,0.05581711504297948,0.18703187480568872,0.2185690999031067,0.007865433542368263,0.011587153328582582,0.0119139151647686
attention_mass,0,0.01577678800094869,0.019051579199731324,0.0193425919860601,0.005113096112230121,0.0074756565270944885,0.0079411575570702
exact_local_score,0,0.012999309110455161,0.01464204080402843,0.0149724800139665,0.004367690232659946,0.005683699040673629,0.0070661855861544
exact_greedy_oracle,0,0.0406344525981694,0.09056535772979257,0.1078924685716629,0.008498583726274418,0.01177000147290519,0.0126500101760029
fixed_random,0,0.12558849404255545,0.27936665266752236,0.3319700956344604,0.0125609474877516,0.01728136986494059,0.0181307401508092
analytic_remainder,13,0.03974053341274456,0.04643948022276156,0.0585704408586025,0.002555760302736071,0.0037090926198288347,0.0037541016936302
attention_mass,13,0.03593785890067613,0.04490676671266546,0.0468604937195777,0.0024393241813716253,0.0033910867408849,0.0037947767414152
exact_local_score,13,0.03337517458324627,0.04041840229183432,0.0438316278159618,0.002220605592204525,0.003249731438700054,0.0033976158592849
exact_greedy_oracle,13,0.05477009147095178,0.08331536725163458,0.0980560034513473,0.006022393640402342,0.009721296094357899,0.0176011305302381
fixed_random,13,0.24595633770028746,0.33407180607318876,0.3400693535804748,0.023299825494177594,0.0359590493142604,0.0370191931724548
analytic_remainder,27,0.07005571589494741,0.0868570990860462,0.0881623998284339,0.007796694563391258,0.01416354686953119,0.0176802203059196
attention_mass,27,0.06958841547990834,0.09104755334556099,0.0941638872027397,0.007349554070969996,0.011797690717503336,0.0164616610854864
exact_local_score,27,0.05713682171578205,0.07160581313073631,0.0739477276802063,0.006125024122108358,0.010521286632865624,0.0123643931001424
exact_greedy_oracle,27,0.11583045730367299,0.40414507091045365,0.4117628931999206,0.008469373045954808,0.01616913927718996,0.022195603698492
fixed_random,27,0.3826854433864355,0.611335802078247,0.6537485718727112,0.026728406432084698,0.055411136895418094,0.0571120344102382
