cluster_family,prototype_count,selector,cell_count,active_token_count_mean,active_token_count_max,active_read_ratio,exact_token_fraction_mean,selected_visual_mass_mean,visual_mean,visual_p95,visual_worst,visual_worst_head,full_mean,full_p95,full_worst
key,128,oracle_local,72,391.7713517083062,392,4.002343131436242,0.1853586596747239,0.681420213646359,0.0754414045044945,0.1305875070393085,0.1383370459079742,0.3485898673534393,0.0086135611798252,0.0141254321672022,0.0224181395024061
key,64,oracle_local,72,390.67313385009766,392,4.013695120811462,0.2184567590140634,0.6929755012194315,0.090961540557651,0.1608902402222156,0.1696641892194748,0.4143002331256866,0.0100138347350164,0.0164208679459989,0.0271010845899581
key_value,128,oracle_local,72,391.9910986158583,392,4.000091400411394,0.1904882188472483,0.6218793106575807,0.1197035106726818,0.2064398549497128,0.2326134741306305,0.6910737156867981,0.0120786535294933,0.02081851484254,0.0294000320136547
key,32,oracle_local,72,385.6195602416992,392,4.0672756632169085,0.2308866530656814,0.6717098015877936,0.1202704752277996,0.2257323384284973,0.2591332495212555,0.5655579566955566,0.0126642943424586,0.0218328509479761,0.0354330167174339
key,128,prototype_mass,72,391.76093249850805,392,4.002449214458466,0.18541180404524,0.6783871120876737,0.138437922216124,0.4189322978258134,0.5854519605636597,1.564638614654541,0.0111862253462378,0.0179859710857272,0.0269165225327014
key_value,64,oracle_local,72,391.4742206997341,392,4.00539763768514,0.2210438408785396,0.619762960407469,0.1485636946227815,0.2528840944170952,0.3074129521846771,0.7891345024108887,0.0138517807677595,0.0228593353182077,0.0345919206738472
key,64,prototype_mass,72,390.57541317409937,392,4.014718731244405,0.2181230114979876,0.6848574098613527,0.1650113224362333,0.4613107115030289,0.5717938542366028,1.567602038383484,0.0129962589837507,0.0272089220583439,0.0339009873569011
key_value,32,oracle_local,72,388.3531922234429,392,4.038057214683956,0.2342434101220634,0.5764988044069873,0.2045369552862313,0.3628085508942604,0.417157381772995,0.9565647840499878,0.0172492331864001,0.0285466205328702,0.0415772087872028
key,32,prototype_mass,72,385.8174777560764,392,4.065237641334534,0.2308613440642754,0.6619891126950582,0.206206199609571,0.4318277537822728,0.62706458568573,1.4759161472320557,0.016129806663634,0.033403636328876,0.0488306954503059
key_value,128,prototype_mass,72,391.9707594977485,392,4.000299493471782,0.1922331876638862,0.6000041419433223,0.224823935681747,0.5513838440179826,0.65999835729599,1.4910171031951904,0.0145653622199056,0.0244088783860206,0.0354929529130458
key_value,64,prototype_mass,72,391.27878824869794,392,4.007407757971022,0.2211542450305488,0.5996961138314671,0.2544370525413089,0.5848913609981538,0.6093690991401672,1.4465677738189695,0.0164665620735225,0.0308668810874223,0.0422398447990417
key_value,32,prototype_mass,72,387.9816640218099,392,4.042028023136987,0.2337344067378176,0.5695111999909083,0.2903661001473665,0.6327462613582612,0.6754024624824524,1.4571460485458374,0.0198854251260248,0.0414229486137628,0.0558874905109405
