method,exact_group_count,visual_token_retention,visual_mean,visual_p95,visual_worst,full_mean,full_p95,full_worst
analytic_remainder,0,0.25,0.5005281325429678,0.7296553492546082,0.7679744362831116,0.040417687475888225,0.08267649933695789,0.1163923665881156
analytic_remainder,49,0.34375,0.1949761403828031,0.3008917316794395,0.3891984224319458,0.02053888715130996,0.040872481279075085,0.063612975180149
analytic_remainder,98,0.4375,0.11925209541287685,0.1916346490383148,0.2332780212163925,0.013040816514856241,0.022750886529684034,0.0466032512485981
analytic_remainder,147,0.53125,0.08479938412913013,0.1605567529797555,0.2369053065776825,0.008867421313576972,0.014845001418143485,0.0271530672907829
analytic_remainder,196,0.625,0.05520445478355715,0.10474424846470357,0.2185690999031067,0.00607262946949853,0.011024448601528949,0.0176802203059196
analytic_remainder,392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_mass,0,0.25,0.5005281325429678,0.7296553492546082,0.7679744362831116,0.040417687475888225,0.08267649933695789,0.1163923665881156
attention_mass,49,0.34375,0.1543298894539475,0.2537676408886909,0.2726514041423797,0.01777571891175785,0.03303737603127949,0.0590302050113678
attention_mass,98,0.4375,0.09731707481356953,0.1785212405025959,0.1902891099452972,0.011470512273566127,0.02187782172113651,0.0405425950884819
attention_mass,147,0.53125,0.0632498758172409,0.12143598943948743,0.1318063139915466,0.007637262418736755,0.013915636483579855,0.0260582864284515
attention_mass,196,0.625,0.04043435412717771,0.08488796763122078,0.0941638872027397,0.004967324788190581,0.009378814045339785,0.0164616610854864
attention_mass,392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_local_score,0,0.25,0.5005281325429678,0.7296553492546082,0.7679744362831116,0.040417687475888225,0.08267649933695789,0.1163923665881156
exact_local_score,49,0.34375,0.1467391622977124,0.2507324531674385,0.2691780030727386,0.016588004920372892,0.02872195066884159,0.0516371168196201
exact_local_score,98,0.4375,0.08647275778154528,0.15391925349831578,0.16932213306427,0.010162265706134701,0.01825331309810276,0.0320360325276851
exact_local_score,147,0.53125,0.05477678343757155,0.09633318744599817,0.1123523563146591,0.006634502290075388,0.011929786670952985,0.0203664992004632
exact_local_score,196,0.625,0.03450376846982783,0.06432692334055899,0.0739477276802063,0.00423777331565761,0.007464138860814226,0.0123643931001424
exact_local_score,392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_greedy_oracle,0,0.25,0.5005281325429678,0.7296553492546082,0.7679744362831116,0.040417687475888225,0.08267649933695789,0.1163923665881156
exact_greedy_oracle,49,0.34375,0.13929627406307388,0.3033061988651757,0.4487260282039642,0.02001891629252992,0.03619248121976851,0.0675734058022499
exact_greedy_oracle,98,0.4375,0.10350673218878602,0.2669839650392537,0.4216860234737396,0.014254741998027136,0.02404123973101375,0.045373436063528
exact_greedy_oracle,147,0.53125,0.0845908395066443,0.2518469512462621,0.4155215919017792,0.010611881537543975,0.019019461516290883,0.0298466850072145
exact_greedy_oracle,196,0.625,0.07041166712426472,0.24504509195685437,0.4117628931999206,0.007663450137543855,0.014996838336810451,0.022195603698492
exact_greedy_oracle,392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_random,0,0.25,0.5005281325429678,0.7296553492546082,0.7679744362831116,0.040417687475888225,0.08267649933695789,0.1163923665881156
fixed_random,49,0.34375,0.44700254934529465,0.7084799170494079,0.774837076663971,0.03557190446493522,0.07099272087216375,0.1019789054989814
fixed_random,98,0.4375,0.36599211032605833,0.6793501824140549,0.7218962907791138,0.030225979668709095,0.06359670013189317,0.0846150889992713
fixed_random,147,0.53125,0.2981051083447204,0.6015132427215577,0.6684163808822632,0.025611559666382726,0.05439406093209981,0.0703714936971664
fixed_random,196,0.625,0.2514100917097595,0.5550440490245819,0.6537485718727112,0.020863059804671298,0.043079826794564735,0.0571120344102382
fixed_random,392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
