method,refined_group_count,token_retention,agreement,mismatch_count,harmful_count,candidate_kl_mean,candidate_kl_p95
compact_contiguous,0,0.25,0.7083333333333334,7,2,0.060022935387678444,0.21541569903492916
compact_contiguous,49,0.34375,0.875,3,2,0.03046915412414819,0.14886507391929604
compact_contiguous,98,0.4375,0.875,3,2,0.0277494574256707,0.08817315734922884
compact_contiguous,128,0.49489795918367346,0.9166666666666666,2,2,0.030147575385247666,0.09119044244289391
compact_contiguous,160,0.5561224489795918,0.875,3,2,0.021215283622344334,0.08240084536373607
compact_contiguous,196,0.625,0.9166666666666666,2,1,0.012182370914767185,0.03738975413143634
compact_contiguous,245,0.71875,0.9166666666666666,2,1,0.010521936763931686,0.026336490921676156
compact_contiguous,294,0.8125,0.9166666666666666,2,1,0.009985275789707279,0.031187039241194717
compact_contiguous,343,0.90625,0.7916666666666666,5,2,0.008776110684266314,0.02831359915435314
compact_contiguous,392,1.0,1.0,0,0,0.0,0.0
compact_original_position,0,0.25,0.75,6,3,0.03916286812939992,0.09740630388259883
compact_original_position,49,0.34375,0.9583333333333334,1,1,0.027827389324860025,0.06435283161699772
compact_original_position,98,0.4375,0.9583333333333334,1,1,0.020739765216906864,0.071140156686306
compact_original_position,128,0.49489795918367346,0.9583333333333334,1,1,0.025526076400031645,0.09712694957852354
compact_original_position,160,0.5561224489795918,0.9583333333333334,1,1,0.019163800752721727,0.05421582646667954
compact_original_position,196,0.625,1.0,0,0,0.021253494429402053,0.04679934307932851
compact_original_position,245,0.71875,1.0,0,0,0.012233489687787369,0.02451908998191356
compact_original_position,294,0.8125,0.9583333333333334,1,1,0.00990223782719113,0.025668088160455224
compact_original_position,343,0.90625,0.875,3,2,0.009050121361118121,0.03862762642092997
compact_original_position,392,1.0,1.0,0,0,0.0,0.0
fixed_repeated,0,1.0,0.8333333333333334,4,1,0.03571994662828123,0.12637620046734796
fixed_repeated,49,1.0,0.9583333333333334,1,0,0.027524488570634276,0.09257422126829622
fixed_repeated,98,1.0,0.9166666666666666,2,1,0.03184376209780263,0.14743428081274026
fixed_repeated,128,1.0,0.9583333333333334,1,1,0.032133980304934084,0.16212312281131724
fixed_repeated,160,1.0,0.9583333333333334,1,1,0.034249804370726146,0.16728238798677897
fixed_repeated,196,1.0,1.0,0,0,0.0329492106102407,0.16310721933841676
fixed_repeated,245,1.0,1.0,0,0,0.023900246431973454,0.11334250085055814
fixed_repeated,294,1.0,0.9583333333333334,1,1,0.013690555012241626,0.0484499162063002
fixed_repeated,343,1.0,0.875,3,2,0.009844176995102316,0.024776557181030508
fixed_repeated,392,1.0,1.0,0,0,0.0,0.0
target_risk_run1,0,0.25,0.7083333333333334,7,2,0.060022935387678444,0.21541569903492916
target_risk_run1,49,0.34375,0.875,3,2,0.03341562079731375,0.15246395915746672
target_risk_run1,98,0.4375,0.9166666666666666,2,2,0.026967153380004067,0.08743948638439177
target_risk_run1,128,0.49489795918367346,0.9166666666666666,2,2,0.02523067852598615,0.07580226920545095
target_risk_run1,160,0.5561224489795918,0.875,3,2,0.02063880387383203,0.08240084536373607
target_risk_run1,196,0.625,0.9583333333333334,1,1,0.011311350429120163,0.032125806994736196
target_risk_run1,245,0.71875,0.9583333333333334,1,0,0.010647180742428949,0.026336490921676156
target_risk_run1,294,0.8125,0.9166666666666666,2,1,0.010924192368596172,0.03374596554785966
target_risk_run1,343,0.90625,0.9166666666666666,2,1,0.010362560366047546,0.03289398252964018
target_risk_run1,392,1.0,1.0,0,0,0.0,0.0
