label,family,token_retention,candidate_kl_mean,agreement,harmful_count,fallback_rate
Quotient pool,coarse,0.25,0.12060277641285211,0.5416666666666666,3,0.0
Oracle frame-1,frame oracle,0.34375,0.03553922265564324,0.8333333333333334,1,0.0
Oracle frame-2,frame oracle,0.4375,0.016963239293545485,0.875,0,0.0
Residual groups,group proxy,0.4375,0.07995948000461794,0.7083333333333334,3,0.0
Query groups,group proxy,0.4375,0.06351428855365764,0.9166666666666666,1,0.0
Gradient-risk groups,risk oracle,0.4375,0.041168810217641294,0.9583333333333334,1,0.0
Query+fallback eval,transfer,0.8125,0.00999195029726252,0.9166666666666666,0,0.6666666666666666
