layer_index,visual_relative_l2,full_relative_l2,method
0,0.23598216225703553,0.025477048009633976,Whole visual additive state
13,0.2606194832672675,0.01858390266230946,Whole visual additive state
27,0.44866616775592166,0.041830565586375656,Whole visual additive state
0,0.09801173241188123,0.05202343656371033,Exact mass only
13,0.06848826693991815,0.0069811180971251835,Exact mass only
27,0.11033580700556433,0.0150103759563838,Exact mass only
0,0.015608214423991691,0.005648189437730804,Exact mass boundary + tail
13,0.016637774223151252,0.0011315262042140668,Exact mass boundary + tail
27,0.038792578193048585,0.004374679895893942,Exact mass boundary + tail
0,0.016307219203251056,0.006047144677722779,Exact effect boundary + tail
13,0.017058424302376758,0.0011313444847473291,Exact effect boundary + tail
27,0.038163155938188184,0.0045702505643323834,Exact effect boundary + tail
