role,method,topk_recall,risk_mass_capture
validation,query_cosine,0.28571428571428575,0.2792239213983218
validation,residual_energy,0.2865646258503401,0.2963623081644376
validation,tiny_controller,0.31079931972789115,0.3353536731253068
prospective,query_cosine,0.28316326530612246,0.26659922301769257
prospective,residual_energy,0.28613945578231287,0.32078583538532257
prospective,tiny_controller,0.30909863945578225,0.3254834009955327
