refined_group_count,prediction_change_count,mean_absolute_kl_delta,maximum_absolute_kl_delta
0,0,0.0,0.0
49,0,0.0029464666731655598,0.05291450023651123
98,2,0.0036643849161919206,0.02370515465736389
128,0,0.009671945619629696,0.14268843829631805
160,0,0.0017750418046489358,0.011470310389995575
196,1,0.003549219691194594,0.03160262294113636
245,1,0.0023504189351418367,0.012929150834679604
294,0,0.0024631484411656857,0.009632576256990433
343,3,0.00356006168294698,0.031640663743019104
392,0,0.0,0.0
