method,agreement,candidate_kl_mean,harmful_count
fixed_controller,0.75,0.05126357628614642,2
joint_writer_controller,0.7083333333333334,0.043246360476283975,2
query_cosine,0.75,0.061162121361121535,2
residual_energy,0.75,0.038607815688010305,3
target_gradient_risk,0.9166666666666666,0.029568313068011776,2
writer_dot,0.7083333333333334,0.06822656066894221,2
