sample_id,base_candidate_kl,positive_singleton_count,positive_singleton_fraction
vsi_question_3132,0.025021575391292572,260,0.6632653061224489
vsi_question_5084,0.00034921709448099136,4,0.01020408163265306
vsi_question_1569,0.07413262873888016,147,0.375
vsi_question_3722,0.0,0,0.0
vsi_question_5105,0.007682181894779205,77,0.19642857142857142
vsi_question_2957,0.1386069357395172,147,0.375
vsi_question_1880,0.018969766795635223,58,0.14795918367346939
vsi_question_1053,0.04062887281179428,132,0.336734693877551
vsi_question_1039,0.07674802839756012,106,0.27040816326530615
vsi_question_5150,0.009346075356006622,45,0.11479591836734694
vsi_question_5067,0.019073598086833954,158,0.4030612244897959
vsi_question_1976,0.06998854875564575,279,0.7117346938775511
vsi_question_1077,0.0625557154417038,359,0.9158163265306123
vsi_question_3092,0.06993849575519562,356,0.9081632653061225
vsi_question_5025,0.0014402549713850021,12,0.030612244897959183
vsi_question_5074,0.005811925977468491,1,0.002551020408163265
vsi_question_5086,0.02774042636156082,39,0.09948979591836735
vsi_question_1058,0.054228588938713074,16,0.04081632653061224
vsi_question_994,0.03545239195227623,323,0.8239795918367347
vsi_question_1950,0.050443410873413086,301,0.7678571428571429
vsi_question_2991,0.10105188190937042,222,0.5663265306122449
vsi_question_1071,0.018536899238824844,4,0.01020408163265306
vsi_question_1224,0.0321614146232605,1,0.002551020408163265
vsi_question_5089,0.0,0,0.0
