sample_id,prompt_index,seed,prompt,seconds,executed_sampling_steps,trajectory_complete,final_latent
s00_p00_seed20260740,0,20260740,A red panda runs through a bamboo forest while the camera tracks smoothly.,3.1548862559720874,1,False,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/geometry_generalization_h200_v2/qkv_replays/s00_p00_seed20260740/final_latent.pt
s01_p01_seed20260740,1,20260740,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",2.9332201950019225,1,False,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/geometry_generalization_h200_v2/qkv_replays/s01_p01_seed20260740/final_latent.pt
s02_p00_seed20260741,0,20260741,A red panda runs through a bamboo forest while the camera tracks smoothly.,2.899702274997253,1,False,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/geometry_generalization_h200_v2/qkv_replays/s02_p00_seed20260741/final_latent.pt
s03_p02_seed20260741,2,20260741,"A silver sports car drifts around a mountain road at sunset, tire smoke trailing behind, smooth tracking shot.",2.9572018070030026,1,False,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/geometry_generalization_h200_v2/qkv_replays/s03_p02_seed20260741/final_latent.pt
