layer,method,count,mean_error_mean,mean_error_std,stable_error_mean,stable_error_std,event_like_error_mean,event_like_error_std,mean_centered_error_mean,mean_centered_error_std,stable_centered_error_mean,stable_centered_error_std,event_like_centered_error_mean,event_like_centered_error_std
0,global_bccb_causal,14,0.5241778450037261,0.2895023758956307,0.45037538497644897,0.2724566794033143,0.6723329182869434,0.3354768094716229,0.6110782163846176,0.3329727230021596,0.526740642736113,0.3139353081323478,0.7803632551938371,0.3847573988773426
0,global_bccb_pair,14,0.4457438318769653,0.2574288691380784,0.3852978971244983,0.2547733396634826,0.5614543494180902,0.28297413518898074,0.5159259532627444,0.29014330363884644,0.45347844676894045,0.2913467146310415,0.6323902093728322,0.30707791119348066
0,hidden_shift_cyclic,14,0.5582176532697515,0.33381608152065984,0.4654394307012047,0.32774913609710365,0.7430756530740456,0.38317163680977295,0.6636976269982594,0.3920071658441868,0.5492883143076924,0.3783575146978853,0.8984289791817507,0.4640307739920015
0,identity,14,0.5590242061965591,0.33427022689868197,0.4657568032739928,0.3281867633034631,0.7447110029548999,0.38426520921397517,0.6646450622940581,0.3926362478941199,0.5496839151305221,0.3789027138096803,0.9002999947840361,0.46601654416242655
0,local_bccb_causal,14,0.511431403591287,0.28154989411849574,0.44073395067011617,0.2681513059944088,0.6563436518723903,0.32307639923956094,0.5925588025273253,0.3200771990490592,0.5128035362256047,0.3064577556137812,0.7561629400985661,0.36345093737356476
0,local_bccb_pair,14,0.46995005191908507,0.2724560994479012,0.4007683091499103,0.2677373433736658,0.6040188980298075,0.30419219388893803,0.5460207196765265,0.30969679313004944,0.4714658170768939,0.3065693770629107,0.6888731177803127,0.33826170446413933
0,local_bttb_causal,14,0.5126452745399731,0.2823113297441388,0.4418643805811261,0.2689309558465426,0.6572088697405721,0.32339957676031234,0.5936564264408133,0.32080746607499655,0.5135133722566898,0.3069361839393247,0.7574990093276364,0.3638863396227542
0,local_bttb_pair,14,0.47146522659281215,0.27336672091533243,0.4016197600859197,0.2684808535740886,0.6067511011451193,0.30558653076848036,0.5472730967002274,0.3105250135312863,0.47218166690964786,0.307161249114731,0.6910146037846331,0.33933626312962206
0,optical_flow_warp,14,0.5704184064956591,0.26411923023979583,0.4983461101679266,0.2522093934094472,0.7176108396430321,0.3127489333224173,0.6845725877585461,0.3098099556385732,0.5999684335518148,0.29029639030093823,0.8659991370291926,0.37890492284300575
0,pixel_shift_cyclic,14,0.5903603671711244,0.30450892415803993,0.4926629513932304,0.3035034507253748,0.7877341918423982,0.35122181534442004,0.7495900755618382,0.3635920738071092,0.6285444790457645,0.3710963285708833,1.0012849818767477,0.40663407647098765
0,pixel_shift_zero,14,0.5993164838485799,0.29899963980430433,0.5028354686543277,0.30169851762342287,0.7936278004972047,0.33945487476196395,0.7743202010514657,0.39799872526747776,0.6537597592756484,0.4122883676308202,1.0249238931889544,0.423533551029173
15,global_bccb_causal,14,0.9472924327906488,0.4976765449812924,0.896304703516404,0.5090252053120025,1.0531416835832266,0.4989296426610084,0.975128505904847,0.5126014172117563,0.9230735655144938,0.5248290540596439,1.0830318853489393,0.5128661555743886
15,global_bccb_pair,14,0.4244105012904507,0.2191918503008321,0.39382836092071233,0.2191221483745423,0.48549519071801556,0.2284451370091769,0.43481011099948985,0.22450116997829883,0.40477202573535387,0.2249741388286688,0.49404180624362143,0.23260362040871846
15,hidden_shift_cyclic,14,0.746895062308199,0.4039346946646935,0.673775371120073,0.39238245306157943,0.9082311997350978,0.4462352602558398,0.7682273330073105,0.4154094031664404,0.6935461926268456,0.40375269620150717,0.9328163694806576,0.45802990464912774
15,identity,14,0.7909430058437757,0.43547869779203713,0.7167099525037495,0.4245773718396693,0.9423160005098129,0.4689268428907166,0.8136677910021523,0.4479872001908398,0.7377948266712037,0.4369222885774456,0.968082819948228,0.48160911613569746
