category,layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
camera_motion,0,identity,0.05,30,0.24620046135822313,0.1682134863110558,0.14039392669972328,0.08394255787107376,0.47420248916466784,0.22675990279172983
camera_motion,0,identity,0.1,30,0.3718104133858973,0.2179818663483245,0.24590888293405844,0.1396092294480544,0.47420248916466784,0.22675990279172983
camera_motion,0,identity,0.2,30,0.5327521582543653,0.22564827267775495,0.44333562341917976,0.22845212142689791,0.47420248916466784,0.22675990279172983
camera_motion,0,local_bccb_causal,0.05,28,0.21952902837331137,0.16081855506927625,0.13335034157458125,0.08385550923467579,0.41272513283776074,0.23784489669756123
camera_motion,0,local_bccb_causal,0.1,28,0.3352541037879548,0.21261661632446124,0.2275746380856344,0.13435806008780743,0.41272513283776074,0.23784489669756123
camera_motion,0,local_bccb_causal,0.2,28,0.4866174507769906,0.22506369450094332,0.4225090725574184,0.2229451717735898,0.41272513283776074,0.23784489669756123
camera_motion,0,local_bttb_causal,0.05,28,0.21948134335332586,0.16087654105426,0.13255669078093044,0.08500086512483107,0.4126088212299642,0.23802031000704088
camera_motion,0,local_bttb_causal,0.1,28,0.33520369123283544,0.2126838239904723,0.22945053996153628,0.1320867698898995,0.4126088212299642,0.23802031000704088
camera_motion,0,local_bttb_causal,0.2,28,0.48650291432842774,0.22519557332078657,0.4236784965606889,0.22174668536856235,0.4126088212299642,0.23802031000704088
camera_motion,0,optical_flow_warp,0.05,30,0.2060884213505618,0.10680765778721961,0.1319303370757921,0.07879127419282607,0.4436383992730571,0.20380085426532715
camera_motion,0,optical_flow_warp,0.1,30,0.3232405033250315,0.14710803367702546,0.214717016209324,0.11253733699911862,0.4436383992730571,0.20380085426532715
camera_motion,0,optical_flow_warp,0.2,30,0.494513357218212,0.1789379949712978,0.3801669453357311,0.16590003158389263,0.4436383992730571,0.20380085426532715
