split,cell,method,density,family,generators,records,aggregate_output_relative_l2,worst_record_output_relative_l2,subspace_overlap_mean,dynamic_scalars,dynamic_scalar_ratio_to_rank_basis,extra_work_ratio,aggregate_quality_gate,worst_quality_gate,work_gate,generator_gate,payload_gate,requested_gate_pass,anti_tautology_gate_pass
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,adaptive,0,72,0.002653194907863095,0.009928288380893808,1.0,2048,1.0,0.0014652014652014652,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,butterfly,1,72,0.00457410519199522,0.018229153977033754,0.802982756542011,64,0.03125,0.0004998473748473748,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,butterfly,16,72,0.003966616951169956,0.016823432234048308,0.8213649158493952,1024,0.5,0.0006715506715506716,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,butterfly,2,72,0.0045490225711046885,0.01818075405891616,0.8035527810909507,128,0.0625,0.0005112942612942613,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,butterfly,4,72,0.004498230016646341,0.01807354746980738,0.8048127293214757,256,0.125,0.0005341880341880342,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,butterfly,8,72,0.00433762804396224,0.017684330779179743,0.8093666548425885,512,0.25,0.00057997557997558,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,dcd,1,72,0.004517152971191169,0.018144663349448368,0.8043887957289417,319,0.15576171875,0.0006372100122100122,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,dcd,16,72,0.0042001272697123745,0.01771888406122174,0.813491414835822,5104,2.4921875,0.0028693528693528696,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,dcd,2,72,0.004414481762698965,0.018030269164558424,0.8068969673745722,638,0.3115234375,0.000786019536019536,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,dcd,4,72,0.004343281018443258,0.018064213012598352,0.8092526889279689,1276,0.623046875,0.0010836385836385837,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,dcd,8,72,0.004314980169825525,0.01792426891413285,0.8100311338648003,2552,1.24609375,0.001678876678876679,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,frozen,0,72,0.004592630089537613,0.01826001514282554,0.802562569119205,0,0.0,0.0004884004884004884,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,full_procrustes,128,72,0.002653194907863095,0.009928288380893808,1.0,2048,1.0,0.0014652014652014652,True,True,True,False,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,givens,1,72,0.004591486623395843,0.01826001514282554,0.8026058945243889,3,0.00146484375,0.000488579346001221,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,givens,16,72,0.004591319285075655,0.01826001514282554,0.8026622849387831,48,0.0234375,0.00049126221001221,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,givens,2,72,0.00459143867505748,0.01826001514282554,0.8026252277209613,6,0.0029296875,0.0004887582036019536,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,givens,4,72,0.004591352611452396,0.01826001514282554,0.8026459822390882,12,0.005859375,0.0004891159188034188,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,givens,8,72,0.004591319285075655,0.01826001514282554,0.8026622849387831,24,0.01171875,0.0004898313492063492,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,householder,1,72,0.004387698687319862,0.01762274977591586,0.8372566092058203,128,0.0625,0.0005036630036630037,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,householder,16,72,0.0026531949078609867,0.009928288380893808,1.0,2048,1.0,0.0007326007326007326,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,householder,2,72,0.004169509600661612,0.01647834340092906,0.8680032588025626,256,0.125,0.0005189255189255189,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,householder,4,72,0.003760319950701463,0.014379656277130993,0.9175342702060701,512,0.25,0.0005494505494505495,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,householder,8,72,0.003043758926575453,0.011441328486141468,0.9731752454249357,1024,0.5,0.0006105006105006105,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,1,72,0.004572769717818619,0.018238275697559477,0.8029341170791117,56,0.02734375,0.0005647130647130648,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,16,72,0.004017824583369927,0.016869927305190453,0.819539973541615,896,0.4375,0.0017094017094017094,True,False,True,True,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,2,72,0.0045528250332162465,0.018212010952581282,0.8033719860271422,112,0.0546875,0.000641025641025641,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,4,72,0.004507567066496265,0.018154114354793305,0.8044249641634952,224,0.109375,0.0007936507936507937,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,8,72,0.004396125810244157,0.017882912051319134,0.8072196282891009,448,0.21875,0.001098901098901099,True,False,True,True,True,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,adaptive,0,72,0.0009857616290537606,0.004008543329691168,1.0,2048,1.0,0.0014652014652014652,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,butterfly,1,72,0.0016789083474560446,0.007156713566946007,0.8061629928175592,64,0.03125,0.0004998473748473748,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,butterfly,16,72,0.0015053634303740944,0.00663069946650442,0.8229616202276219,1024,0.5,0.0006715506715506716,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,butterfly,2,72,0.0016700510398887482,0.007142585570906392,0.8067197731371357,128,0.0625,0.0005112942612942613,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,butterfly,4,72,0.0016527389654705338,0.007097050904546498,0.8079616525637641,256,0.125,0.0005341880341880342,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,butterfly,8,72,0.001604636961697553,0.006953416936087287,0.8121921905484175,512,0.25,0.00057997557997558,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,dcd,1,72,0.001659561568186461,0.007116987209679068,0.8075138873560221,319,0.15576171875,0.0006372100122100122,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,dcd,16,72,0.0015692133084695492,0.006881971102710025,0.8159112852901973,5104,2.4921875,0.0028693528693528696,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,dcd,2,72,0.0016268230195965383,0.007101744124612478,0.8099352833190063,638,0.3115234375,0.000786019536019536,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,dcd,4,72,0.001607494710163997,0.007088579500330556,0.8119101258586833,1276,0.623046875,0.0010836385836385837,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,dcd,8,72,0.0016001163181954998,0.006982657218167927,0.8126858846864378,2552,1.24609375,0.001678876678876679,True,True,True,True,False,True,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,frozen,0,72,0.0016846163531801213,0.007166522353951401,0.8058119520758202,0,0.0,0.0004884004884004884,True,True,True,True,True,True,True
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,full_procrustes,128,72,0.0009857616290537606,0.004008543329691168,1.0,2048,1.0,0.0014652014652014652,True,True,True,False,False,False,False
prompt_holdout,layer00_step00_capacity_control,contribution_norm,0.25,givens,1,72,0.0016843094779936739,0.007166522353951401,0.8058844599565442,3,0.00146484375,0.000488579346001221,True,True,True,True,True,True,True
