cell,method,density,family,generators,fallback_heads,fallback_head_count,total_heads,max_kept_aggregate_output_relative_l2,max_kept_worst_record_output_relative_l2,dynamic_scalars,extra_work_ratio,effective_attention_work_ratio_upper_bound,ideal_attention_speedup_upper_bound,quality_gate_after_oracle_head_fallback,payload_gate,speed_upper_bound_gate,oracle_hybrid_gate,claim_warning
layer00_step00_capacity_control,contribution_norm,0.125,butterfly,1,0;1;2;3;7;8;9;10,8,12,0.0027973639647564377,0.005680948854895826,64,0.0004998473748473748,0.7084999491249491,1.4114327054434874,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,butterfly,16,0;1;7;8;9,5,12,0.002748904754244673,0.008134317513874107,1024,0.0006715506715506716,0.4899750712250712,2.040920158447505,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,butterfly,2,0;1;2;3;7;8;9;10,8,12,0.0026981128130176596,0.005431191949493162,128,0.0005112942612942613,0.7085037647537648,1.4114251042089276,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,butterfly,4,0;1;7;8;9,5,12,0.0038049544874319222,0.009406410403063186,256,0.0005341880341880342,0.489894943019943,2.0412539754656973,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,butterfly,8,0;1;7;8;9,5,12,0.003020458070757749,0.007988185719368919,512,0.00057997557997558,0.4899216524216524,2.041142690993676,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,dcd,1,0;1;2;7;8;9,6,12,0.0034696853190749077,0.009955737276064752,319,0.0006372100122100122,0.562818605006105,1.7767713986447777,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,dcd,16,0;1;2;3;7;8;9;10,8,12,0.0016152388792034682,0.002436181179557281,5104,0.0028693528693528696,0.7092897842897843,1.409860993558938,True,False,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,dcd,2,0;1;7;8;9,5,12,0.0037389601368489787,0.009935706932667663,638,0.000786019536019536,0.49004184472934476,2.0406420609903435,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,dcd,4,0;1;7;8;9,5,12,0.0034978934569752564,0.009596805055439916,1276,0.0010836385836385837,0.49021545584045584,2.039919362161966,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,dcd,8,0;1;3;7;8;9,6,12,0.0030555579700791706,0.009767254248552288,2552,0.001678876678876679,0.5633394383394383,1.7751286914115416,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,givens,1,0;1;2;3;7;8;9;10,8,12,0.0028718996220348657,0.005861634280407155,3,0.000488579346001221,0.7084961931153337,1.4114401879887213,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,givens,16,0;1;2;3;7;8;9;10,8,12,0.0026617802837770026,0.004971937476250703,48,0.00049126221001221,0.7084970874033374,1.4114384064231362,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,givens,2,0;1;2;3;7;8;9;10,8,12,0.0028462700622078085,0.005765857150719612,6,0.0004887582036019536,0.708496252734534,1.4114400692175424,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,givens,4,0;1;2;3;7;8;9;10,8,12,0.002808380192898282,0.005587882948233903,12,0.0004891159188034188,0.7084963719729345,1.4114398316752443,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,givens,8,0;1;2;3;7;8;9;10,8,12,0.00274454938036174,0.005297910355361499,24,0.0004898313492063492,0.7084966104497354,1.4114393565908885,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,householder,1,0;1;2;3;7;8;9;10,8,12,0.0027801076717489156,0.005440436371943516,128,0.0005036630036630037,0.7085012210012209,1.4114301716895372,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,householder,16,,0,12,0.002712778948141795,0.009928288380893808,2048,0.0007326007326007326,0.12573260073260073,7.953386744355426,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,householder,2,0;1;2;3;7;8;9;10,8,12,0.002662396093464576,0.005027574943677215,256,0.0005189255189255189,0.7085063085063085,1.411420036764706,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,householder,4,0;1;2;3;7;8;9;10,8,12,0.0024834368710490665,0.004431247707811876,512,0.0005494505494505495,0.7085164835164834,1.411399767351687,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,householder,8,0;1;2;3;7;8;9;10,8,12,0.002063640817122108,0.0035349129296684324,1024,0.0006105006105006105,0.7085368335368335,1.4113592302721334,True,False,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,1,0;1;2;3;7;8;9;10,8,12,0.0027891044431320494,0.005575293322229992,56,0.0005647130647130648,0.708521571021571,1.4113896328634925,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,16,0;1;7;8;9,5,12,0.0027917370827315615,0.007970766813082007,896,0.0017094017094017094,0.49058048433048435,2.0384015099270445,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,2,0;1;2;3;7;8;9;10,8,12,0.0026920865384129724,0.005284768745953481,112,0.000641025641025641,0.7085470085470085,1.411338962605549,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,4,0;1;7;8;9,5,12,0.0038094095431172683,0.009429703964138005,224,0.0007936507936507937,0.4900462962962963,2.040623523854511,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.125,orthogonal_bcm,8,0;1;7;8;9,5,12,0.0031140951057016327,0.007854510756640152,448,0.001098901098901099,0.490224358974359,2.0398823144818565,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,butterfly,1,0;2;3;7;8;9;10,7,12,0.003242160491770286,0.009545734193516425,64,0.0004998473748473748,0.6877082697395198,1.4541049511863011,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,butterfly,16,8;9,2,12,0.0022854740196876235,0.007840598934531038,1024,0.0006715506715506716,0.3755596255596255,2.6626930371173128,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,butterfly,2,0;2;3;7;8;9,6,12,0.0037612494960253353,0.009868098343737771,128,0.0005112942612942613,0.6252556471306472,1.5993458109320362,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,butterfly,4,7;8;9,3,12,0.0034731108590218026,0.008416820153640881,256,0.0005341880341880342,0.437900641025641,2.283623055809698,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,butterfly,8,7;8;9,3,12,0.002619340063188432,0.006679378575168668,512,0.00057997557997558,0.4379349816849817,2.2834439855716453,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,dcd,1,7;8;9,3,12,0.0038363783442311576,0.009592936089677278,319,0.0006372100122100122,0.4379779075091575,2.2832201872627365,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,dcd,16,0;2;3;8;9,5,12,0.002140448243551143,0.009581024758316516,5104,0.0028693528693528696,0.5641737891737891,1.772503471783866,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,dcd,2,7;8;9,3,12,0.0032350350068809453,0.008773440714796873,638,0.000786019536019536,0.4380895146520146,2.282638516912063,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,dcd,4,7;8;9,3,12,0.002843911839336388,0.008435213628194937,1276,0.0010836385836385837,0.43831272893772893,2.281476064871641,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,dcd,8,7;8;9,3,12,0.0026990755356614783,0.008338528602051367,2552,0.001678876678876679,0.4387591575091575,2.2791547091051396,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,givens,1,0;2;3;7;8;9;10,7,12,0.0033185228599053613,0.009781615881723566,3,0.000488579346001221,0.6877035747275005,1.4541148784870654,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,givens,16,0;2;3;7;8;9;10,7,12,0.0031368798101900344,0.00920160958607363,48,0.00049126221001221,0.6877046925875051,1.4541125148317318,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,givens,2,0;2;3;7;8;9;10,7,12,0.0033036363615334386,0.009734928139007712,6,0.0004887582036019536,0.6877036492515008,1.4541147209098042,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,givens,4,0;2;3;7;8;9;10,7,12,0.0032743217828592195,0.009647965111783096,12,0.0004891159188034188,0.6877037982995015,1.4541144057553839,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,givens,8,0;2;3;7;8;9;10,7,12,0.0032264567020654764,0.009496004822481488,24,0.0004898313492063492,0.6877040963955027,1.4541137754469535,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,householder,1,0;2;3;7;8;9;10,7,12,0.00323742593075276,0.009586885710847438,128,0.0005036630036630037,0.6877098595848596,1.4541015895913667,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,householder,16,,0,12,0.000999478418732335,0.004008543329691168,2048,0.0007326007326007326,0.25073260073260073,3.9883126369612856,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,householder,2,0;2;3;7;8;9;10,7,12,0.0031577473351733767,0.009449622114205055,256,0.0005189255189255189,0.687716218966219,1.4540881433670543,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,householder,4,0;2;3;7;8;9;10,7,12,0.002973256442163412,0.00891008610117,512,0.0005494505494505495,0.6877289377289377,1.4540612516644473,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,householder,8,0;2;3;7;8;9,6,12,0.0031379937553808954,0.007779685547726548,1024,0.0006105006105006105,0.6253052503052503,1.5992189406883086,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,orthogonal_bcm,1,0;2;3;7;8;9;10,7,12,0.0032744230923906614,0.009662537984918387,56,0.0005647130647130648,0.6877352971102971,1.454047806186139,True,True,False,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,orthogonal_bcm,16,9,1,12,0.002488578593669668,0.009245682203591316,896,0.0017094017094017094,0.3140669515669515,3.1840344710284616,True,False,True,False,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,orthogonal_bcm,2,0;2;3;7;8;9,6,12,0.003613215346130185,0.009295509458590069,112,0.000641025641025641,0.6253205128205128,1.5991799077396207,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,orthogonal_bcm,4,7;8;9,3,12,0.0034963137901571173,0.008875577470574929,224,0.0007936507936507937,0.4380952380952381,2.282608695652174,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
layer00_step00_capacity_control,contribution_norm,0.25,orthogonal_bcm,8,7;9,2,12,0.0029091792010346573,0.009190314387997766,448,0.001098901098901099,0.3759157509157509,2.6601705237515225,True,True,True,True,fallback heads and transform parameters are selected post-hoc from held-out dense defects
