rank,eigenvalue,cumulative_energy,tail_energy_fraction
1,20321390.0,0.38345443153361863,0.6165455684663814
2,2647970.5,0.4334203060527973,0.5665796939472028
3,1210409.625,0.45626012826363993,0.5437398717363601
4,1065953.5,0.47637413588731975,0.5236258641126803
5,917395.3125,0.49368492506297623,0.5063150749370238
6,748135.375,0.5078018641567497,0.49219813584325034
7,621248.0,0.5195245021594354,0.48047549784056465
8,592927.8125,0.530712752435753,0.469287247564247
9,532021.8125,0.5407517370561787,0.45924826294382126
10,496750.3125,0.5501251661716986,0.4498748338283014
11,430488.21875,0.5582482628300818,0.4417517371699182
12,386142.21875,0.5655345727223634,0.4344654272776366
13,366746.8125,0.5724549010317928,0.42754509896820725
14,360588.96875,0.5792590339198149,0.4207409660801851
15,340256.03125,0.5856794944807733,0.4143205055192267
16,296248.90625,0.5912695626768243,0.4087304373231757
17,283629.125,0.5966215019336002,0.4033784980663998
18,267091.5,0.6016613845056074,0.39833861549439264
19,259659.875,0.6065610360432343,0.3934389639567657
20,243667.265625,0.6111589150674341,0.38884108493256586
21,233808.3125,0.6155707605936271,0.38442923940637286
22,226500.5625,0.6198447125445262,0.3801552874554738
23,220101.75,0.6239979221146297,0.3760020778853703
24,208428.171875,0.6279308571235991,0.3720691428764009
25,202027.0,0.6317430052315505,0.36825699476844953
26,194964.984375,0.6354218966485489,0.36457810335145113
27,184757.28125,0.6389081738300515,0.3610918261699485
28,179481.859375,0.6422949064481075,0.3577050935518925
29,170245.25,0.6455073488824119,0.3544926511175881
30,164809.90625,0.6486172291077411,0.3513827708922589
31,163068.21875,0.6516942445639663,0.3483057554360337
32,158270.453125,0.654680728590483,0.345319271409517
33,151962.09375,0.6575481770412811,0.3424518229587189
34,148299.890625,0.6603465215568929,0.3396534784431071
35,145505.140625,0.663092130542478,0.33690786945752205
36,143565.515625,0.6658011397776639,0.33419886022233614
37,138485.53125,0.6684142922569529,0.3315857077430471
38,133659.171875,0.6709363737568199,0.3290636262431801
39,130655.5234375,0.673401777917975,0.32659822208202505
40,129212.2734375,0.6758399486758878,0.3241600513241122
41,122841.4765625,0.6781579056937899,0.32184209430621014
42,119785.9140625,0.6804182057806722,0.31958179421932775
43,117457.8046875,0.6826345756119501,0.31736542438804993
44,114625.7890625,0.6847975067295583,0.3152024932704417
45,111229.375,0.6868963492182102,0.3131036507817898
46,108926.0703125,0.6889517295032631,0.3110482704967369
47,107736.484375,0.6909846628986384,0.30901533710136164
48,106494.0390625,0.692994151974456,0.307005848025544
49,103906.6875,0.694954819024685,0.30504518097531497
50,101504.734375,0.6968701624248037,0.3031298375751963
51,99892.828125,0.6987550899628785,0.3012449100371215
52,97073.8984375,0.7005868257123574,0.2994131742876426
53,94390.1875,0.7023679211831969,0.2976320788168031
54,93822.890625,0.7041383120466886,0.29586168795331136
55,92338.9765625,0.7058807021964849,0.2941192978035151
56,90172.8671875,0.7075822189493812,0.2924177810506188
57,88574.421875,0.7092535738413692,0.2907464261586308
58,87117.3046875,0.710897433663246,0.289102566336754
59,86013.9453125,0.7125204736474089,0.2874795263525911
60,84369.078125,0.7141124758131779,0.28588752418682206
61,83068.8125,0.7156799426191081,0.28432005738089194
62,81588.09375,0.7172194690052862,0.2827805309947138
63,81136.0546875,0.7187504656411993,0.28124953435880073
64,79840.828125,0.7202570220018539,0.27974297799814607
65,79652.671875,0.7217600279484925,0.2782399720515075
66,78424.203125,0.723239853306294,0.27676014669370597
67,77745.4140625,0.7247068702551189,0.27529312974488107
68,76543.3203125,0.7261512042981212,0.2738487957018788
69,75878.890625,0.7275830008863473,0.2724169991136527
70,74550.546875,0.728989732294606,0.27101026770539405
71,72118.734375,0.7303505766213321,0.26964942337866793
72,71534.0390625,0.7317003880409256,0.26829961195907437
73,71199.78125,0.733043892183336,0.266956107816664
74,69805.6015625,0.7343610888546764,0.26563891114532356
75,68794.2890625,0.7356592025666431,0.2643407974333569
76,67816.6328125,0.7369388683957837,0.2630611316042163
77,67110.234375,0.7382052048408967,0.2617947951591033
78,65774.390625,0.7394463345848059,0.2605536654151941
79,65635.40625,0.7406848417633046,0.2593151582366954
80,64264.0859375,0.7418974728156682,0.2581025271843318
81,63691.05078125,0.7430992909821964,0.2569007090178036
