domain,videos,rows,rank,tail_energy_fraction,absolute_eigengap,relative_eigengap
source,120,376320,456,0.024967104196548462,0.00018656253814697266,0.000744284363463521
target,120,376320,456,0.03642755746841431,0.0003122687339782715,0.0008802088559605181
vsi,120,376320,456,0.028179390355944633,0.0003573596477508545,0.001319100265391171
