sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,linear_shift,exact_final_margin
vsi_question_1320,source_pca_r456,1,0,1.5,0.0,-0.02051069587469101,1.5
vsi_question_1320,vsi_pca_r456,1,0,1.5,0.0,0.003933165222406387,1.5
vsi_question_3068,source_pca_r456,1,0,2.875,-0.125,-0.16535544395446777,2.75
vsi_question_3068,source_pca_r456,1,2,3.125,-0.125,-0.22985459864139557,3.0
vsi_question_3068,source_pca_r456,1,3,2.875,-0.125,-0.12232813984155655,2.75
vsi_question_3068,vsi_pca_r456,1,0,2.875,-0.125,-0.03330424055457115,2.75
vsi_question_3068,vsi_pca_r456,1,2,3.125,-0.125,-0.0998411476612091,3.0
vsi_question_3068,vsi_pca_r456,1,3,2.875,-0.125,-0.010010202415287495,2.75
vsi_question_1585,source_pca_r456,2,0,0.25,0.125,0.05134804546833038,0.375
vsi_question_1585,source_pca_r456,2,1,0.125,0.125,0.004104738123714924,0.25
vsi_question_1585,vsi_pca_r456,2,0,0.25,0.125,0.04951100796461105,0.375
vsi_question_1585,vsi_pca_r456,2,1,0.125,0.125,0.06124008446931839,0.25
vsi_question_3110,source_pca_r456,3,0,2.625,-0.25,-0.20635414123535156,2.375
vsi_question_3110,source_pca_r456,3,1,2.125,-0.125,-0.05580602213740349,2.0
vsi_question_3110,source_pca_r456,3,2,2.125,0.0,-0.06624263525009155,2.125
vsi_question_3110,vsi_pca_r456,3,0,2.625,-0.125,-0.10107837617397308,2.5
vsi_question_3110,vsi_pca_r456,3,1,2.125,-0.125,-0.027657758444547653,2.0
vsi_question_3110,vsi_pca_r456,3,2,2.125,0.0,-0.04705848544836044,2.125
vsi_question_1360,source_pca_r456,1,0,1.0,-0.375,-0.26930972933769226,0.625
vsi_question_1360,source_pca_r456,1,2,3.625,-0.25,-0.1490081548690796,3.375
vsi_question_1360,source_pca_r456,1,3,4.25,-0.125,-0.16019399464130402,4.125
vsi_question_1360,vsi_pca_r456,1,0,1.0,-0.125,-0.18433527648448944,0.875
vsi_question_1360,vsi_pca_r456,1,2,3.625,-0.125,-0.11203145235776901,3.5
vsi_question_1360,vsi_pca_r456,1,3,4.25,-0.125,-0.1565438061952591,4.125
vsi_question_1529,source_pca_r456,0,1,2.0,0.0,-0.0173522736877203,2.0
vsi_question_1529,source_pca_r456,0,2,2.75,-0.125,-0.06102018803358078,2.625
vsi_question_1529,vsi_pca_r456,0,1,2.0,0.0,-0.02297268435359001,2.0
vsi_question_1529,vsi_pca_r456,0,2,2.75,0.0,-0.00778147391974926,2.75
vsi_question_1128,source_pca_r456,0,1,0.875,-0.125,-0.13191403448581696,0.75
vsi_question_1128,source_pca_r456,0,2,1.25,0.0,-0.009911241941154003,1.25
vsi_question_1128,vsi_pca_r456,0,1,0.875,-0.25,-0.10498029738664627,0.625
vsi_question_1128,vsi_pca_r456,0,2,1.25,-0.125,-0.038175422698259354,1.125
vsi_question_5059,source_pca_r456,3,0,0.5,0.125,-0.020751457661390305,0.625
vsi_question_5059,source_pca_r456,3,1,0.125,0.125,0.00359312049113214,0.25
vsi_question_5059,source_pca_r456,3,2,0.75,0.125,-0.02839476428925991,0.875
vsi_question_5059,vsi_pca_r456,3,0,0.5,0.0,-0.010906114242970943,0.5
vsi_question_5059,vsi_pca_r456,3,1,0.125,0.0,-0.009187187999486923,0.125
vsi_question_5059,vsi_pca_r456,3,2,0.75,0.125,-0.006494997534900904,0.875
vsi_question_1344,source_pca_r456,1,0,2.625,0.375,0.3072751760482788,3.0
vsi_question_1344,source_pca_r456,1,2,0.625,0.25,0.13785123825073242,0.875
vsi_question_1344,source_pca_r456,1,3,1.125,0.375,0.15898168087005615,1.5
vsi_question_1344,vsi_pca_r456,1,0,2.625,0.125,0.13083094358444214,2.75
vsi_question_1344,vsi_pca_r456,1,2,0.625,0.125,0.15150856971740723,0.75
vsi_question_1344,vsi_pca_r456,1,3,1.125,0.375,0.10263026505708694,1.5
vsi_question_3758,source_pca_r456,1,0,0.75,0.125,0.125421404838562,0.875
vsi_question_3758,vsi_pca_r456,1,0,0.75,0.0,0.02163396216928959,0.75
vsi_question_5018,source_pca_r456,1,0,1.0,0.0,-0.01851402036845684,1.0
vsi_question_5018,source_pca_r456,1,2,1.125,0.0,-0.013988858088850975,1.125
