left,right,per_domain_sample_size,total_sample_size,replicate,tail_energy_fraction,overlap_with_left,overlap_with_right
source,target,20,40,0,0.029338419437408447,0.8912115693092346,0.8998945951461792
source,target,20,40,1,0.029589274898171425,0.8889666795730591,0.8996493816375732
source,target,20,40,2,0.029854129999876022,0.8969701528549194,0.8978381752967834
source,target,20,40,3,0.029201708734035492,0.8919610381126404,0.9004256129264832
source,target,20,40,4,0.027986640110611916,0.8939567804336548,0.8979601263999939
source,target,20,40,5,0.028906717896461487,0.891915500164032,0.8986461758613586
source,target,20,40,6,0.029977234080433846,0.8870100975036621,0.9036751389503479
source,target,20,40,7,0.028162378817796707,0.8876602053642273,0.8894354701042175
source,target,60,120,0,0.031453780829906464,0.9171984195709229,0.9274412989616394
source,target,60,120,1,0.031020257622003555,0.9164621829986572,0.9293935894966125
source,target,60,120,2,0.03142585977911949,0.9147460460662842,0.9280962944030762
source,target,60,120,3,0.030014457181096077,0.9173699617385864,0.9262075424194336
source,target,60,120,4,0.030159080401062965,0.912905216217041,0.9222163558006287
source,target,60,120,5,0.031168684363365173,0.9161033034324646,0.9256172776222229
source,target,60,120,6,0.03125797584652901,0.9186612963676453,0.9295653700828552
source,target,60,120,7,0.030922457575798035,0.9156072735786438,0.9239821434020996
source,target,120,240,0,0.032035261392593384,0.9237277507781982,0.9371821284294128
source,target,120,240,1,0.0319756455719471,0.927013635635376,0.9370132684707642
source,target,120,240,2,0.03173886239528656,0.9275521636009216,0.936647355556488
source,target,120,240,3,0.031485363841056824,0.9244810342788696,0.9369997382164001
source,target,120,240,4,0.03211221098899841,0.9242345094680786,0.9383542537689209
source,target,120,240,5,0.03189016506075859,0.9252214431762695,0.9349910020828247
source,target,120,240,6,0.03207847848534584,0.9223653078079224,0.9380491971969604
source,target,120,240,7,0.0318739227950573,0.9241982698440552,0.9375864863395691
