domain,sample_size,replicate,overlap,minimum_squared_cosine,median_squared_cosine
source,20,0,0.87557452917099,0.0012409494956955314,0.9693957567214966
source,20,1,0.8769813776016235,7.131780876079574e-05,0.969484806060791
source,20,2,0.8879079818725586,2.1033578377682716e-05,0.9740244746208191
source,20,3,0.8834412693977356,0.0007274446543306112,0.9724639058113098
source,20,4,0.8832435011863708,2.0320692328823498e-06,0.9720132350921631
source,20,5,0.8845540881156921,0.0024488114286214113,0.9726451635360718
source,20,6,0.8872342705726624,0.0006373169599100947,0.974209189414978
source,20,7,0.8699228763580322,0.001005838275887072,0.9668570160865784
source,60,0,0.9428099393844604,0.0001772271207300946,0.9916573166847229
source,60,1,0.9420458078384399,0.023101208731532097,0.9909099340438843
source,60,2,0.9289893507957458,4.0783139411360025e-05,0.9874204397201538
source,60,3,0.9236202836036682,0.00040714399074204266,0.9856699705123901
source,60,4,0.9337500333786011,0.000653374707326293,0.9891278743743896
source,60,5,0.9342762231826782,0.0004596284416038543,0.9889753460884094
source,60,6,0.9383471012115479,0.0006634959718212485,0.9902021288871765
source,60,7,0.9301167726516724,2.7304697596264305e-06,0.9877167344093323
source,120,0,0.958547830581665,0.0009761051624082029,0.9953339099884033
source,120,1,0.9621294736862183,8.55410035001114e-05,0.9952961802482605
source,120,2,0.9618488550186157,0.011067880317568779,0.9954773187637329
source,120,3,0.958160400390625,0.0009356001392006874,0.9947017431259155
source,120,4,0.9609485268592834,0.00036072731018066406,0.9950237274169922
source,120,5,0.9589634537696838,0.01311785914003849,0.9948462247848511
source,120,6,0.954512894153595,0.0057120416313409805,0.9942587018013
source,120,7,0.9599756598472595,0.004363786894828081,0.9954456686973572
target,20,0,0.9190146327018738,2.163803219445981e-05,0.9841806888580322
target,20,1,0.9151732921600342,5.033015986555256e-05,0.9830741882324219
target,20,2,0.9110009074211121,7.955022010719404e-05,0.9812772274017334
target,20,3,0.9160563945770264,5.313528163242154e-05,0.9832318425178528
target,20,4,0.9127111434936523,0.001537770265713334,0.9821601510047913
target,20,5,0.9130432605743408,3.617071797634708e-08,0.982526421546936
target,20,6,0.9090774059295654,0.00045775805483572185,0.9812777042388916
target,20,7,0.9045662879943848,0.00048790033906698227,0.9797554612159729
target,60,0,0.9540565609931946,0.004767948761582375,0.993750810623169
target,60,1,0.9539282917976379,0.0029897086787968874,0.9933276772499084
target,60,2,0.9607926607131958,0.00024181314802262932,0.9948228001594543
target,60,3,0.9617531299591064,0.006107617635279894,0.9949145913124084
target,60,4,0.9466044902801514,1.2193567044960218e-07,0.9921280741691589
target,60,5,0.952820897102356,0.0015195409068837762,0.9932498931884766
target,60,6,0.9584071636199951,0.006683248560875654,0.994295060634613
target,60,7,0.9530516266822815,0.0004909565905109048,0.9933606386184692
target,120,0,0.9727179408073425,0.005486165173351765,0.9971424341201782
target,120,1,0.9728277325630188,0.0003272687899880111,0.9971079230308533
target,120,2,0.9730136394500732,0.022944394499063492,0.9972559213638306
target,120,3,0.9713663458824158,0.00721867848187685,0.9970361590385437
target,120,4,0.9713351726531982,0.00844134483486414,0.9971188902854919
target,120,5,0.969149112701416,0.043574340641498566,0.9966402649879456
target,120,6,0.975128173828125,0.016178643330931664,0.9974304437637329
target,120,7,0.9695532321929932,0.00876198336482048,0.9963155388832092
vsi,20,0,0.9379726648330688,0.000634517113212496,0.9888054728507996
vsi,20,1,0.9290266036987305,0.00010426342487335205,0.9869042634963989
vsi,20,2,0.932457685470581,0.000724090205039829,0.9876501560211182
vsi,20,3,0.9397538900375366,0.00010858956375159323,0.9894909858703613
vsi,20,4,0.9334495663642883,0.002049084519967437,0.9877451658248901
vsi,20,5,0.9370939135551453,2.6180414351983927e-06,0.9889370203018188
vsi,20,6,0.934991717338562,0.0010735364630818367,0.9884741306304932
vsi,20,7,0.935502290725708,0.0075395298190414906,0.9883983135223389
vsi,60,0,0.9700326323509216,0.019305605441331863,0.9960113167762756
vsi,60,1,0.9730847477912903,0.0022866674698889256,0.9966462254524231
vsi,60,2,0.9597602486610413,0.010473407804965973,0.9941408634185791
vsi,60,3,0.9696208834648132,0.0003471255477052182,0.9962965250015259
vsi,60,4,0.9723350405693054,0.003396430052816868,0.9966317415237427
vsi,60,5,0.9678208827972412,0.004758600145578384,0.9955935478210449
vsi,60,6,0.9711350798606873,0.009224606677889824,0.9963494539260864
vsi,60,7,0.9752978086471558,0.040402140468358994,0.9968262910842896
vsi,120,0,0.9832249879837036,0.07935867458581924,0.9982418417930603
vsi,120,1,0.9847753643989563,0.1008807122707367,0.9984135031700134
vsi,120,2,0.9791597127914429,0.003166892798617482,0.9976298809051514
vsi,120,3,0.9793177843093872,0.005189906340092421,0.9975907802581787
vsi,120,4,0.9782072901725769,0.00036940418067388237,0.9976880550384521
vsi,120,5,0.9818068146705627,0.03435925021767616,0.9980823397636414
vsi,120,6,0.9789630770683289,0.004090172704309225,0.9978609681129456
vsi,120,7,0.9839535355567932,0.10025758296251297,0.9983149766921997
