method,landmark_mode,landmarks,pinv_rtol,density,deployable,records,aggregate_error,worst_error,work_ratio,speedup_upper_bound,mass_absolute_error_mean
nystrom_signed,segment,32,0.0001,0.0,True,48,1.3330174086114792,4.882356481994298,0.0019536019536019536,511.875,0.0
landmark_linear,segment,32,0.0001,0.0,True,48,1.1971242669760898,2.705817655647287,0.0019536019536019536,511.875,0.0
nystrom_nonnegative_clamped,segment,32,0.0001,0.0,False,48,1.0946982392141242,1.919348522727703,0.626953601953602,1.5950143629193243,0.0
proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,True,48,0.4464268629073672,2.2591007400450045,0.1347711969089668,7.419983074539768,0.08296677144244313
dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,False,48,0.41007941347515703,1.9356361331932257,0.1347711969089668,7.419983074539768,0.08296677144244313
proxy_mass_landmark_partition,segment,32,0.0001,0.125,True,48,0.35940670215875714,1.0280013159977501,0.16651087113620852,6.005613886807332,0.08296677144244313
dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,False,48,0.3302781122857992,1.0568179551677834,0.16651087113620852,6.005613886807332,0.08296677144244313
proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,True,48,0.3075852058203802,1.580421340316352,0.2597712043595474,3.849541378019356,0.06001981305113683
dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,False,48,0.2605282175139925,1.3817587762936696,0.2597712043595474,3.849541378019356,0.06001981305113683
proxy_mass_landmark_partition,segment,32,0.0001,0.25,True,48,0.2465788730910394,0.5735839021574483,0.32276088044943424,3.0982689060939848,0.06001981305113683
dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,False,48,0.19878411701101398,0.5568703783937774,0.32276088044943424,3.0982689060939848,0.06001981305113683
nystrom_signed,segment,64,0.0001,0.0,True,48,1.0935220382074067,2.339762205706762,0.003907203907203907,255.9375,0.0
landmark_linear,segment,64,0.0001,0.0,True,48,1.1269608947261354,2.4366617015929757,0.003907203907203907,255.9375,0.0
nystrom_nonnegative_clamped,segment,64,0.0001,0.0,False,48,1.0102687318125814,1.8520726015150104,0.7539072039072039,1.3264231921613086,0.0
proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,True,48,0.32177146683409885,0.8202833769347461,0.13672479886256875,7.313962121861792,0.08296677144244313
dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,False,48,0.29848668718220633,0.7359857586424038,0.13672479886256875,7.313962121861792,0.08296677144244313
proxy_mass_landmark_partition,segment,64,0.0001,0.125,True,48,0.34552946726572403,0.8839156655571713,0.20020414731705216,4.994901521277457,0.08296677144244313
dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,False,48,0.31399168188920007,0.9167713563401978,0.20020414731705216,4.994901521277457,0.08296677144244313
proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,True,48,0.22683915919366082,0.5706188547978598,0.26172480631314937,3.820807106849156,0.06001981305113683
dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,False,48,0.18561168257202754,0.4806846695282254,0.26172480631314937,3.820807106849156,0.06001981305113683
proxy_mass_landmark_partition,segment,64,0.0001,0.25,True,48,0.24132002179518727,0.4958240447186482,0.38770415849292306,2.5792862369265857,0.06001981305113683
dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,False,48,0.1925501088619009,0.487200905981229,0.38770415849292306,2.5792862369265857,0.06001981305113683
nystrom_signed,segment,128,0.0001,0.0,True,48,1.078206584518276,2.941331240460754,0.007814407814407814,127.96875,0.0
landmark_linear,segment,128,0.0001,0.0,True,48,1.0574732973850098,2.192792487709606,0.007814407814407814,127.96875,0.0
nystrom_nonnegative_clamped,segment,128,0.0001,0.0,False,48,0.9215365382295088,1.6276033129891319,1.0078144078144078,0.9922461836685244,0.0
proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,True,48,0.3313088486119257,0.953714959332094,0.14063200276977267,7.110757013374052,0.08296677144244313
dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,False,48,0.30644564639272326,0.8510693029261046,0.14063200276977267,7.110757013374052,0.08296677144244313
proxy_mass_landmark_partition,segment,128,0.0001,0.125,True,48,0.3366839114382145,0.7999199098861148,0.26759069967873944,3.737050656844827,0.08296677144244313
dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,False,48,0.30419789294839156,0.8412646043404335,0.26759069967873944,3.737050656844827,0.08296677144244313
proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,True,48,0.23472533093293368,0.7337387315545492,0.26563201022035327,3.7646065290491784,0.06001981305113683
dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,False,48,0.19536067310179314,0.6543262415185775,0.26563201022035327,3.7646065290491784,0.06001981305113683
proxy_mass_landmark_partition,segment,128,0.0001,0.25,True,48,0.23813446111284134,0.45175175821379837,0.5175907145799007,1.9320284770016476,0.06001981305113683
dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,False,48,0.18879421232890975,0.45181404114037693,0.5175907145799007,1.9320284770016476,0.06001981305113683
