sample_id,head,role,output_error,mass_absolute_error,selected_attention_mass,proxy_selected_mass
s00_p00_seed20260740,0,localized,0.08734369593146549,0.042142175137996674,0.9517656564712524,0.954296886920929
s00_p00_seed20260740,1,diffuse,0.32261100621442484,0.07612507045269012,0.7521864175796509,0.791986346244812
s00_p00_seed20260740,2,diffuse,0.5464884745563447,0.07599660009145737,0.7425819635391235,0.6850448846817017
s00_p00_seed20260740,3,localized,0.18804365621757926,0.049894802272319794,0.9431620836257935,0.9124490022659302
s00_p00_seed20260740,4,localized,0.11458245959296247,0.03263208642601967,0.946985125541687,0.9584550261497498
s00_p00_seed20260740,5,diffuse,0.19581602198348452,0.05061233043670654,0.8592862486839294,0.8447563648223877
s00_p00_seed20260740,6,diffuse,0.30853876117312934,0.05003482103347778,0.5261998772621155,0.49620312452316284
s00_p00_seed20260740,7,diffuse,0.30304736092822904,0.052247948944568634,0.6741046905517578,0.6725879311561584
s00_p00_seed20260740,8,transitional,0.17187085726290072,0.04523434489965439,0.9512277841567993,0.9130710363388062
s00_p00_seed20260740,9,diffuse,0.3519827919177699,0.07965953648090363,0.6807156801223755,0.6189508438110352
s00_p00_seed20260740,10,transitional,0.23234046499659708,0.05550388991832733,0.9039365649223328,0.8551532626152039
s00_p00_seed20260740,11,diffuse,0.260997500815159,0.07136829197406769,0.8615462183952332,0.7965528964996338
s01_p01_seed20260740,0,transitional,0.07476113911115664,0.028175413608551025,0.951892614364624,0.9587587714195251
s01_p01_seed20260740,1,diffuse,0.17683073713557748,0.0968938022851944,0.846608579158783,0.9404962062835693
s01_p01_seed20260740,2,diffuse,0.1833438332500602,0.05560075491666794,0.8245036602020264,0.858466625213623
s01_p01_seed20260740,3,transitional,0.1645332895699891,0.07403109222650528,0.8783295154571533,0.8836995363235474
s01_p01_seed20260740,4,localized,0.14118914242703595,0.02299136109650135,0.9299863576889038,0.9288585782051086
s01_p01_seed20260740,5,diffuse,0.1930745407496982,0.03513617813587189,0.8313471078872681,0.8278610706329346
s01_p01_seed20260740,6,diffuse,0.2753449493486895,0.09305641055107117,0.5874996185302734,0.6663956642150879
s01_p01_seed20260740,7,diffuse,0.22176784838514227,0.0918767973780632,0.7334513664245605,0.8212642669677734
s01_p01_seed20260740,8,transitional,0.17210631867264903,0.049453988671302795,0.8601953983306885,0.8627774715423584
s01_p01_seed20260740,9,diffuse,0.26210975638878176,0.05875060334801674,0.7889299392700195,0.8125457763671875
s01_p01_seed20260740,10,diffuse,0.21616267466412778,0.0565243735909462,0.8315176367759705,0.8133648633956909
s01_p01_seed20260740,11,diffuse,0.164271711664416,0.05247560888528824,0.8786125183105469,0.9176865816116333
s02_p00_seed20260741,0,transitional,0.10154279611481813,0.055280882865190506,0.9096537232398987,0.9498400092124939
s02_p00_seed20260741,1,diffuse,0.11631635109951223,0.07765303552150726,0.8796703815460205,0.894609808921814
s02_p00_seed20260741,2,diffuse,0.5706188547978598,0.11121314764022827,0.758395791053772,0.6701831221580505
s02_p00_seed20260741,3,transitional,0.1837300054368332,0.08112184703350067,0.8348382711410522,0.8289071321487427
s02_p00_seed20260741,4,transitional,0.24139207063976723,0.03942885622382164,0.8883265852928162,0.9231166839599609
s02_p00_seed20260741,5,diffuse,0.20532793875211933,0.038060735911130905,0.7737250924110413,0.775443971157074
s02_p00_seed20260741,6,diffuse,0.29805742919323486,0.033930979669094086,0.47501641511917114,0.4557618498802185
s02_p00_seed20260741,7,diffuse,0.31488138367950413,0.06481945514678955,0.5620629787445068,0.5595216751098633
s02_p00_seed20260741,8,transitional,0.19911376754794985,0.04484765976667404,0.8657654523849487,0.851101279258728
s02_p00_seed20260741,9,diffuse,0.2709604333044816,0.09409058839082718,0.7096899747848511,0.6166686415672302
s02_p00_seed20260741,10,transitional,0.2004455319820813,0.04505757987499237,0.8315613865852356,0.7937384843826294
s02_p00_seed20260741,11,diffuse,0.16306785797108386,0.07781072705984116,0.8997665643692017,0.8304581642150879
s03_p01_seed20260741,0,transitional,0.10511390476294276,0.054459549486637115,0.9319884777069092,0.9488520622253418
s03_p01_seed20260741,1,diffuse,0.20851877347761483,0.09341467916965485,0.8038637638092041,0.8416364789009094
s03_p01_seed20260741,2,diffuse,0.4510990097237609,0.0464012436568737,0.7543931007385254,0.756050705909729
s03_p01_seed20260741,3,transitional,0.18636175616153408,0.09202246367931366,0.8334137201309204,0.8268921971321106
s03_p01_seed20260741,4,transitional,0.12074212642015326,0.028730370104312897,0.9294741153717041,0.9367997646331787
s03_p01_seed20260741,5,diffuse,0.24955302997637988,0.05071893334388733,0.764417827129364,0.7684727907180786
s03_p01_seed20260741,6,diffuse,0.2600181692208964,0.03831503912806511,0.5585904121398926,0.5284343957901001
s03_p01_seed20260741,7,diffuse,0.2157618201321997,0.056800149381160736,0.7151257991790771,0.6889186501502991
s03_p01_seed20260741,8,transitional,0.2145530939361838,0.06613931059837341,0.8383730053901672,0.8278324604034424
s03_p01_seed20260741,9,diffuse,0.2665993711720405,0.07838085293769836,0.7111562490463257,0.679720401763916
s03_p01_seed20260741,10,diffuse,0.2265248280171362,0.05742403492331505,0.8074827790260315,0.7800462245941162
s03_p01_seed20260741,11,diffuse,0.24267494018916985,0.05841062217950821,0.8280550241470337,0.8169417381286621
