landmarks,effective_rank_mean,condition_number_median,condition_number_max,negative_mass_ratio_mean
32,31.604166666666668,270.72153982790985,591560.7730398898,0.10749275500984368
64,61.875,1751.5949307857368,1387226.35223895,0.13391763468825957
128,124.04166666666667,3632.1957654655803,2274551.124598746,0.17800064864422893
