role,records,aggregate_error,worst_error,work_ratio,speedup_upper_bound,mass_absolute_error_mean
diffuse,30,0.26058061786879005,0.5706188547978598,0.2617237888121925,3.8208219609627423,0.06579344508548578
localized,4,0.1374626202272336,0.18804365621757926,0.2617197188083651,3.820881378572068,0.03691510623320937
transitional,14,0.16945686174880867,0.24139207063976723,0.26172844024513814,3.820754057386303,0.05424908921122551
