sample_id,head,output_error
s00_p00_seed20260740,0,0.08734369593146549
s00_p00_seed20260740,1,0.32261100621442484
s00_p00_seed20260740,2,0.5464884745563447
s00_p00_seed20260740,3,0.18804365621757926
s00_p00_seed20260740,4,0.11458245959296247
s00_p00_seed20260740,5,0.19581602198348452
s00_p00_seed20260740,6,0.30853876117312934
s00_p00_seed20260740,7,0.30304736092822904
s00_p00_seed20260740,8,0.17187085726290072
s00_p00_seed20260740,9,0.3519827919177699
s00_p00_seed20260740,10,0.23234046499659708
s00_p00_seed20260740,11,0.260997500815159
s01_p01_seed20260740,0,0.07476113911115664
s01_p01_seed20260740,1,0.17683073713557748
s01_p01_seed20260740,2,0.1833438332500602
s01_p01_seed20260740,3,0.1645332895699891
s01_p01_seed20260740,4,0.14118914242703595
s01_p01_seed20260740,5,0.1930745407496982
s01_p01_seed20260740,6,0.2753449493486895
s01_p01_seed20260740,7,0.22176784838514227
s01_p01_seed20260740,8,0.17210631867264903
s01_p01_seed20260740,9,0.26210975638878176
s01_p01_seed20260740,10,0.21616267466412778
s01_p01_seed20260740,11,0.164271711664416
s02_p00_seed20260741,0,0.10154279611481813
s02_p00_seed20260741,1,0.11631635109951223
s02_p00_seed20260741,2,0.5706188547978598
s02_p00_seed20260741,3,0.1837300054368332
s02_p00_seed20260741,4,0.24139207063976723
s02_p00_seed20260741,5,0.20532793875211933
s02_p00_seed20260741,6,0.29805742919323486
s02_p00_seed20260741,7,0.31488138367950413
s02_p00_seed20260741,8,0.19911376754794985
s02_p00_seed20260741,9,0.2709604333044816
s02_p00_seed20260741,10,0.2004455319820813
s02_p00_seed20260741,11,0.16306785797108386
s03_p01_seed20260741,0,0.10511390476294276
s03_p01_seed20260741,1,0.20851877347761483
s03_p01_seed20260741,2,0.4510990097237609
s03_p01_seed20260741,3,0.18636175616153408
s03_p01_seed20260741,4,0.12074212642015326
s03_p01_seed20260741,5,0.24955302997637988
s03_p01_seed20260741,6,0.2600181692208964
s03_p01_seed20260741,7,0.2157618201321997
s03_p01_seed20260741,8,0.2145530939361838
s03_p01_seed20260741,9,0.2665993711720405
s03_p01_seed20260741,10,0.2265248280171362
s03_p01_seed20260741,11,0.24267494018916985
